pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,670174,800406,field_out,hit_into_play,"Aron Estrada grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,803172,single,hit_into_play,Griff O'Ferrall singles on a line drive to center fielder Max Ferguson.,2025,
,670174,803172,No event,ball,Griff O'Ferrall singles on a line drive to center fielder Max Ferguson.,2025,
,670174,803172,No event,ball,Griff O'Ferrall singles on a line drive to center fielder Max Ferguson.,2025,
,670174,803172,No event,called_strike,Griff O'Ferrall singles on a line drive to center fielder Max Ferguson.,2025,
,670174,803172,No event,ball,Griff O'Ferrall singles on a line drive to center fielder Max Ferguson.,2025,
,670174,675915,field_out,hit_into_play,David Bañuelos pops out to first baseman Blaze Jordan in foul territory.,2025,
,670174,694212,field_out,hit_into_play,"Samuel Basallo grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,694212,No event,swinging_strike,"Samuel Basallo grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,694212,No event,called_strike,"Samuel Basallo grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,703202,field_out,hit_into_play,"Leandro Arias grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,703202,No event,ball,"Leandro Arias grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,703202,No event,ball,"Leandro Arias grounds out, second baseman Kristian Campbell to first baseman Blaze Jordan.",2025,
,670174,690961,single,hit_into_play,Enrique Bradfield Jr. singles on a line drive to center fielder Max Ferguson. Cole Urman scores. Dylan Beavers to 2nd.,2025,
,670174,687637,single,hit_into_play,Dylan Beavers singles on a sharp line drive to center fielder Max Ferguson. Cole Urman to 3rd.,2025,
,670174,700936,strikeout,called_strike,Collin Burns called out on strikes.,2025,
,670174,700936,No event,swinging_strike,Collin Burns called out on strikes.,2025,
,670174,700936,No event,called_strike,Collin Burns called out on strikes.,2025,
,670174,805366,walk,ball,Cole Urman walks. Daz Cameron scores. Wild pitch by pitcher Josh Winckowski.,2025,
,670174,805366,No event,foul,Cole Urman walks. Daz Cameron scores. Wild pitch by pitcher Josh Winckowski.,2025,
