pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,621237,686668,strikeout,swinging_strike,Brenton Doyle strikes out swinging.,2025,Cutter
SI,621237,686668,No event,foul,Brenton Doyle strikes out swinging.,2025,Sinker
SI,621237,686668,No event,ball,Brenton Doyle strikes out swinging.,2025,Sinker
SI,621237,686668,No event,called_strike,Brenton Doyle strikes out swinging.,2025,Sinker
FC,621237,686668,No event,blocked_ball,Brenton Doyle strikes out swinging.,2025,Cutter
FC,621237,671289,strikeout,swinging_strike,Tyler Freeman strikes out swinging.,2025,Cutter
SI,621237,671289,No event,foul,Tyler Freeman strikes out swinging.,2025,Sinker
SI,621237,671289,No event,ball,Tyler Freeman strikes out swinging.,2025,Sinker
CU,621237,671289,No event,ball,Tyler Freeman strikes out swinging.,2025,Curveball
FC,621237,671289,No event,foul,Tyler Freeman strikes out swinging.,2025,Cutter
SI,621237,671289,No event,foul,Tyler Freeman strikes out swinging.,2025,Sinker
SI,621237,571657,single,hit_into_play,Kyle Farmer singles on a line drive to left fielder Max Kepler. Michael Toglia to 3rd. Sean Bouchard to 2nd.,2025,Sinker
SI,621237,571657,No event,called_strike,Kyle Farmer singles on a line drive to left fielder Max Kepler. Michael Toglia to 3rd. Sean Bouchard to 2nd.,2025,Sinker
SI,621237,607732,strikeout,swinging_strike,Jacob Stallings strikes out swinging.,2025,Sinker
SI,621237,607732,No event,foul,Jacob Stallings strikes out swinging.,2025,Sinker
FC,621237,607732,No event,blocked_ball,Jacob Stallings strikes out swinging.,2025,Cutter
SI,621237,607732,No event,foul,Jacob Stallings strikes out swinging.,2025,Sinker
FC,621237,607732,No event,foul,Jacob Stallings strikes out swinging.,2025,Cutter
FC,621237,607732,No event,ball,Jacob Stallings strikes out swinging.,2025,Cutter
CU,621237,607732,No event,blocked_ball,Jacob Stallings strikes out swinging.,2025,Curveball
CU,621237,607732,No event,swinging_strike_blocked,Jacob Stallings strikes out swinging.,2025,Curveball
FC,621237,607732,No event,foul,Jacob Stallings strikes out swinging.,2025,Cutter
FC,621237,656248,single,hit_into_play,"Sean Bouchard singles on a ground ball to left fielder Max Kepler, deflected by third baseman Alec Bohm. Hunter Goodman scores. Michael Toglia to 2nd.",2025,Cutter
SI,621237,656248,No event,foul,"Sean Bouchard singles on a ground ball to left fielder Max Kepler, deflected by third baseman Alec Bohm. Hunter Goodman scores. Michael Toglia to 2nd.",2025,Sinker
SI,621237,669911,single,hit_into_play,Michael Toglia singles on a ground ball to right fielder Nick Castellanos. Hunter Goodman to 3rd.,2025,Sinker
SI,621237,669911,No event,called_strike,Michael Toglia singles on a ground ball to right fielder Nick Castellanos. Hunter Goodman to 3rd.,2025,Sinker
SI,621237,669911,No event,ball,Michael Toglia singles on a ground ball to right fielder Nick Castellanos. Hunter Goodman to 3rd.,2025,Sinker
SI,621237,669911,No event,ball,Michael Toglia singles on a ground ball to right fielder Nick Castellanos. Hunter Goodman to 3rd.,2025,Sinker
SI,621237,669911,No event,ball,Michael Toglia singles on a ground ball to right fielder Nick Castellanos. Hunter Goodman to 3rd.,2025,Sinker
FC,621237,696100,walk,ball,Hunter Goodman walks.,2025,Cutter
SI,621237,696100,No event,ball,Hunter Goodman walks.,2025,Sinker
SI,621237,696100,No event,foul,Hunter Goodman walks.,2025,Sinker
SI,621237,696100,No event,called_strike,Hunter Goodman walks.,2025,Sinker
FC,621237,696100,No event,ball,Hunter Goodman walks.,2025,Cutter
FC,621237,696100,No event,ball,Hunter Goodman walks.,2025,Cutter
FC,621237,669911,strikeout,swinging_strike,Michael Toglia strikes out swinging.,2025,Cutter
FC,621237,669911,No event,ball,Michael Toglia strikes out swinging.,2025,Cutter
FC,621237,669911,No event,swinging_strike,Michael Toglia strikes out swinging.,2025,Cutter
SI,621237,669911,No event,foul,Michael Toglia strikes out swinging.,2025,Sinker
CU,621237,669911,No event,ball,Michael Toglia strikes out swinging.,2025,Curveball
SI,621237,592178,field_out,hit_into_play,Kris Bryant flies out to center fielder Johan Rojas.,2025,Sinker
FC,621237,592178,No event,ball,Kris Bryant flies out to center fielder Johan Rojas.,2025,Cutter
SI,621237,696100,double,hit_into_play,Hunter Goodman doubles (3) on a sharp line drive to center fielder Johan Rojas.,2025,Sinker
SI,621237,641857,strikeout,called_strike,Ryan McMahon called out on strikes.,2025,Sinker
SI,621237,641857,No event,ball,Ryan McMahon called out on strikes.,2025,Sinker
CU,621237,641857,No event,ball,Ryan McMahon called out on strikes.,2025,Curveball
SI,621237,641857,No event,called_strike,Ryan McMahon called out on strikes.,2025,Sinker
SI,621237,641857,No event,called_strike,Ryan McMahon called out on strikes.,2025,Sinker
FC,621237,669911,strikeout,swinging_strike,Michael Toglia strikes out swinging.,2025,Cutter
SI,621237,669911,No event,called_strike,Michael Toglia strikes out swinging.,2025,Sinker
