pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,600917,457759,field_out,hit_into_play,Justin Turner flies out to right fielder Lawrence Butler.,2025,4-Seam Fastball
SI,600917,457759,No event,foul,Justin Turner flies out to right fielder Lawrence Butler.,2025,Sinker
SI,600917,457759,No event,ball,Justin Turner flies out to right fielder Lawrence Butler.,2025,Sinker
FC,600917,663656,walk,blocked_ball,Kyle Tucker walks. Carson Kelly to 3rd. Seiya Suzuki to 2nd.,2025,Cutter
FF,600917,663656,No event,ball,Kyle Tucker walks. Carson Kelly to 3rd. Seiya Suzuki to 2nd.,2025,4-Seam Fastball
SL,600917,663656,No event,blocked_ball,Kyle Tucker walks. Carson Kelly to 3rd. Seiya Suzuki to 2nd.,2025,Slider
SL,600917,663656,No event,blocked_ball,Kyle Tucker walks. Carson Kelly to 3rd. Seiya Suzuki to 2nd.,2025,Slider
FC,600917,663656,No event,swinging_strike,Kyle Tucker walks. Carson Kelly to 3rd. Seiya Suzuki to 2nd.,2025,Cutter
CH,600917,663656,No event,foul,Kyle Tucker walks. Carson Kelly to 3rd. Seiya Suzuki to 2nd.,2025,Changeup
FF,600917,673548,single,hit_into_play,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,4-Seam Fastball
SI,600917,673548,No event,ball,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,Sinker
SL,600917,673548,No event,blocked_ball,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,Slider
FF,600917,673548,No event,foul,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,4-Seam Fastball
SL,600917,673548,No event,called_strike,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,Slider
FF,600917,673548,No event,swinging_strike,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,4-Seam Fastball
FF,600917,673548,No event,ball,Seiya Suzuki singles on a line drive to left fielder Seth Brown. Matt Shaw scores. Carson Kelly to 2nd.,2025,4-Seam Fastball
SL,600917,664023,field_out,hit_into_play,Ian Happ pops out to third baseman Luis Urías on the infield fly rule.,2025,Slider
FC,600917,664023,No event,ball,Ian Happ pops out to third baseman Luis Urías on the infield fly rule.,2025,Cutter
CH,600917,664023,No event,ball,Ian Happ pops out to third baseman Luis Urías on the infield fly rule.,2025,Changeup
SL,600917,664023,No event,ball,Ian Happ pops out to third baseman Luis Urías on the infield fly rule.,2025,Slider
