pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,614179,686611,strikeout,swinging_strike,Dylan Crews strikes out swinging.,2025,Curveball
CH,614179,686611,No event,foul_tip,Dylan Crews strikes out swinging.,2025,Changeup
CH,614179,686611,No event,blocked_ball,Dylan Crews strikes out swinging.,2025,Changeup
SI,614179,686611,No event,called_strike,Dylan Crews strikes out swinging.,2025,Sinker
FF,614179,657557,double,hit_into_play,Paul DeJong doubles (2) on a sharp line drive to left fielder Brandon Marsh.,2025,4-Seam Fastball
FF,614179,657557,No event,foul,Paul DeJong doubles (2) on a sharp line drive to left fielder Brandon Marsh.,2025,4-Seam Fastball
FF,614179,657557,No event,foul,Paul DeJong doubles (2) on a sharp line drive to left fielder Brandon Marsh.,2025,4-Seam Fastball
CH,614179,605137,strikeout,swinging_strike,Josh Bell strikes out swinging.,2025,Changeup
CU,614179,605137,No event,ball,Josh Bell strikes out swinging.,2025,Curveball
CH,614179,605137,No event,foul,Josh Bell strikes out swinging.,2025,Changeup
CH,614179,605137,No event,swinging_strike,Josh Bell strikes out swinging.,2025,Changeup
CU,614179,696285,field_out,hit_into_play,"Jacob Young grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Curveball
CH,614179,696285,No event,blocked_ball,"Jacob Young grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Changeup
SI,614179,696285,No event,foul,"Jacob Young grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
SI,614179,696285,No event,ball,"Jacob Young grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
SI,614179,657557,field_out,hit_into_play,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Sinker
CU,614179,657557,No event,blocked_ball,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Curveball
CU,614179,657557,No event,blocked_ball,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Curveball
CH,614179,657557,No event,foul,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Changeup
FF,614179,657557,No event,foul,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,4-Seam Fastball
CU,614179,657557,No event,foul,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Curveball
CU,614179,657557,No event,blocked_ball,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Curveball
FF,614179,657557,No event,called_strike,"Paul DeJong grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,4-Seam Fastball
CU,614179,660688,double,hit_into_play,Keibert Ruiz doubles (1) on a ground ball to right fielder Nick Castellanos.,2025,Curveball
CU,614179,660688,No event,ball,Keibert Ruiz doubles (1) on a ground ball to right fielder Nick Castellanos.,2025,Curveball
CU,614179,663993,field_out,hit_into_play,"Nathaniel Lowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Curveball
FF,614179,663993,No event,foul,"Nathaniel Lowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,4-Seam Fastball
FF,614179,642708,home_run,hit_into_play,Amed Rosario homers (1) on a fly ball to left field.,2025,4-Seam Fastball
FF,614179,642708,No event,foul,Amed Rosario homers (1) on a fly ball to left field.,2025,4-Seam Fastball
SI,614179,642708,No event,ball,Amed Rosario homers (1) on a fly ball to left field.,2025,Sinker
CU,614179,642708,No event,called_strike,Amed Rosario homers (1) on a fly ball to left field.,2025,Curveball
CU,614179,800440,field_out,hit_into_play,"Narciso Polanco grounds out, second baseman Robert Moore to first baseman Raider Tello.",2025,Curveball
FF,614179,800440,No event,called_strike,"Narciso Polanco grounds out, second baseman Robert Moore to first baseman Raider Tello.",2025,4-Seam Fastball
SI,614179,666624,field_out,hit_into_play,"Christopher Morel grounds out, third baseman Buddy Kennedy to first baseman Raider Tello.",2025,Sinker
CH,614179,807742,field_out,hit_into_play,Colton Ledbetter flies out to left fielder Kody Clemens.,2025,Changeup
FF,614179,807742,No event,ball,Colton Ledbetter flies out to left fielder Kody Clemens.,2025,4-Seam Fastball
CH,614179,672386,field_out,hit_into_play,Alejandro Kirk lines out sharply to shortstop Trea Turner.,2025,Changeup
CU,614179,672386,No event,called_strike,Alejandro Kirk lines out sharply to shortstop Trea Turner.,2025,Curveball
SI,614179,672386,No event,called_strike,Alejandro Kirk lines out sharply to shortstop Trea Turner.,2025,Sinker
SI,614179,672386,No event,ball,Alejandro Kirk lines out sharply to shortstop Trea Turner.,2025,Sinker
SI,614179,543807,home_run,hit_into_play,George Springer homers (1) on a fly ball to center field. Vladimir Guerrero Jr. scores. Anthony Santander scores.,2025,Sinker
CU,614179,543807,No event,blocked_ball,George Springer homers (1) on a fly ball to center field. Vladimir Guerrero Jr. scores. Anthony Santander scores.,2025,Curveball
CH,614179,665926,strikeout,swinging_strike,Andrés Giménez strikes out swinging.,2025,Changeup
CH,614179,665926,No event,foul,Andrés Giménez strikes out swinging.,2025,Changeup
CU,614179,665926,No event,foul,Andrés Giménez strikes out swinging.,2025,Curveball
FF,614179,665926,No event,foul,Andrés Giménez strikes out swinging.,2025,4-Seam Fastball
FF,614179,665926,No event,called_strike,Andrés Giménez strikes out swinging.,2025,4-Seam Fastball
CU,614179,623993,single,hit_into_play,Anthony Santander singles on a fly ball to right fielder Cal Stevenson. Bo Bichette scores. Vladimir Guerrero Jr. to 2nd.,2025,Curveball
FF,614179,623993,No event,foul,Anthony Santander singles on a fly ball to right fielder Cal Stevenson. Bo Bichette scores. Vladimir Guerrero Jr. to 2nd.,2025,4-Seam Fastball
CH,614179,623993,No event,blocked_ball,Anthony Santander singles on a fly ball to right fielder Cal Stevenson. Bo Bichette scores. Vladimir Guerrero Jr. to 2nd.,2025,Changeup
FF,614179,623993,No event,foul,Anthony Santander singles on a fly ball to right fielder Cal Stevenson. Bo Bichette scores. Vladimir Guerrero Jr. to 2nd.,2025,4-Seam Fastball
SI,614179,665489,walk,ball,Vladimir Guerrero Jr. walks. Bo Bichette to 2nd.,2025,Sinker
SI,614179,665489,No event,ball,Vladimir Guerrero Jr. walks. Bo Bichette to 2nd.,2025,Sinker
SI,614179,665489,No event,ball,Vladimir Guerrero Jr. walks. Bo Bichette to 2nd.,2025,Sinker
CU,614179,665489,No event,ball,Vladimir Guerrero Jr. walks. Bo Bichette to 2nd.,2025,Curveball
SI,614179,666182,force_out,hit_into_play,"Bo Bichette grounds into a force out, third baseman Christian Arroyo to second baseman Bryson Stott. Nathan Lukes out at 2nd. Bo Bichette to 1st.",2025,Sinker
CU,614179,664770,single,hit_into_play,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,Curveball
FF,614179,664770,No event,ball,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,4-Seam Fastball
CH,614179,664770,No event,foul,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,Changeup
CU,614179,664770,No event,foul,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,Curveball
CU,614179,664770,No event,ball,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,Curveball
FF,614179,664770,No event,foul,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,4-Seam Fastball
FF,614179,664770,No event,swinging_strike,Nathan Lukes singles on a ground ball to second baseman Bryson Stott.,2025,4-Seam Fastball
FF,614179,665862,field_out,hit_into_play,Jazz Chisholm Jr. lines out to right fielder Cal Stevenson.,2025,4-Seam Fastball
CH,614179,665862,No event,swinging_strike,Jazz Chisholm Jr. lines out to right fielder Cal Stevenson.,2025,Changeup
CH,614179,665862,No event,ball,Jazz Chisholm Jr. lines out to right fielder Cal Stevenson.,2025,Changeup
SI,614179,672724,force_out,hit_into_play,"Oswald Peraza grounds into a force out, shortstop Edmundo Sosa to second baseman Kody Clemens. Dominic Smith out at 2nd. Oswald Peraza to 1st.",2025,Sinker
SI,614179,672724,No event,ball,"Oswald Peraza grounds into a force out, shortstop Edmundo Sosa to second baseman Kody Clemens. Dominic Smith out at 2nd. Oswald Peraza to 1st.",2025,Sinker
FF,614179,642086,single,hit_into_play,Dominic Smith singles on a line drive to left fielder Max Kepler.,2025,4-Seam Fastball
FF,614179,642086,No event,foul,Dominic Smith singles on a line drive to left fielder Max Kepler.,2025,4-Seam Fastball
CH,614179,642086,No event,ball,Dominic Smith singles on a line drive to left fielder Max Kepler.,2025,Changeup
CH,614179,642086,No event,ball,Dominic Smith singles on a line drive to left fielder Max Kepler.,2025,Changeup
FF,614179,642086,No event,ball,Dominic Smith singles on a line drive to left fielder Max Kepler.,2025,4-Seam Fastball
FF,614179,642086,No event,foul,Dominic Smith singles on a line drive to left fielder Max Kepler.,2025,4-Seam Fastball
CH,614179,672642,strikeout,swinging_strike,Steward Berroa strikes out swinging.,2025,Changeup
CH,614179,672642,No event,foul,Steward Berroa strikes out swinging.,2025,Changeup
CH,614179,672642,No event,swinging_strike,Steward Berroa strikes out swinging.,2025,Changeup
CU,614179,672642,No event,called_strike,Steward Berroa strikes out swinging.,2025,Curveball
FF,614179,672642,No event,ball,Steward Berroa strikes out swinging.,2025,4-Seam Fastball
CH,614179,694388,field_out,hit_into_play,Joey Loperfido grounds out to pitcher José Ruiz. Davis Schneider to 3rd. Michael Stefanic to 2nd.,2025,Changeup
CU,614179,694388,No event,ball,Joey Loperfido grounds out to pitcher José Ruiz. Davis Schneider to 3rd. Michael Stefanic to 2nd.,2025,Curveball
CU,614179,694388,No event,swinging_strike,Joey Loperfido grounds out to pitcher José Ruiz. Davis Schneider to 3rd. Michael Stefanic to 2nd.,2025,Curveball
CU,614179,694388,No event,swinging_strike,Joey Loperfido grounds out to pitcher José Ruiz. Davis Schneider to 3rd. Michael Stefanic to 2nd.,2025,Curveball
FF,614179,683021,walk,ball,Michael Stefanic walks.,2025,4-Seam Fastball
CU,614179,683021,No event,ball,Michael Stefanic walks.,2025,Curveball
SI,614179,683021,No event,ball,Michael Stefanic walks.,2025,Sinker
FF,614179,683021,No event,ball,Michael Stefanic walks.,2025,4-Seam Fastball
CU,614179,694661,strikeout,swinging_strike,Riley Tirotta strikes out swinging.,2025,Curveball
CU,614179,694661,No event,ball,Riley Tirotta strikes out swinging.,2025,Curveball
CU,614179,694661,No event,swinging_strike,Riley Tirotta strikes out swinging.,2025,Curveball
SI,614179,694661,No event,called_strike,Riley Tirotta strikes out swinging.,2025,Sinker
FF,614179,676914,double,hit_into_play,Davis Schneider doubles (2) on a ground ball to left fielder Max Kepler.,2025,4-Seam Fastball
SI,614179,676914,No event,called_strike,Davis Schneider doubles (2) on a ground ball to left fielder Max Kepler.,2025,Sinker
FF,614179,668670,field_out,hit_into_play,Jake Rogers lines out sharply to left fielder Edmundo Sosa.,2025,4-Seam Fastball
CH,614179,668670,No event,called_strike,Jake Rogers lines out sharply to left fielder Edmundo Sosa.,2025,Changeup
SI,614179,668670,No event,called_strike,Jake Rogers lines out sharply to left fielder Edmundo Sosa.,2025,Sinker
SI,614179,668670,No event,ball,Jake Rogers lines out sharply to left fielder Edmundo Sosa.,2025,Sinker
CU,614179,668670,No event,ball,Jake Rogers lines out sharply to left fielder Edmundo Sosa.,2025,Curveball
FF,614179,690993,field_out,hit_into_play,Colt Keith grounds out to first baseman Kody Clemens.,2025,4-Seam Fastball
CU,614179,690993,No event,ball,Colt Keith grounds out to first baseman Kody Clemens.,2025,Curveball
FF,614179,690993,No event,foul,Colt Keith grounds out to first baseman Kody Clemens.,2025,4-Seam Fastball
FF,614179,690993,No event,ball,Colt Keith grounds out to first baseman Kody Clemens.,2025,4-Seam Fastball
CH,614179,690993,No event,ball,Colt Keith grounds out to first baseman Kody Clemens.,2025,Changeup
FF,614179,690993,No event,called_strike,Colt Keith grounds out to first baseman Kody Clemens.,2025,4-Seam Fastball
FF,614179,669234,strikeout,called_strike,Justyn-Henry Malloy called out on strikes.,2025,4-Seam Fastball
FF,614179,669234,No event,swinging_strike,Justyn-Henry Malloy called out on strikes.,2025,4-Seam Fastball
SI,614179,669234,No event,called_strike,Justyn-Henry Malloy called out on strikes.,2025,Sinker
CH,614179,620439,strikeout,swinging_strike,Franklin Barreto strikes out swinging.,2025,Changeup
FF,614179,620439,No event,foul,Franklin Barreto strikes out swinging.,2025,4-Seam Fastball
CU,614179,620439,No event,foul,Franklin Barreto strikes out swinging.,2025,Curveball
FF,614179,620439,No event,ball,Franklin Barreto strikes out swinging.,2025,4-Seam Fastball
CU,614179,620439,No event,ball,Franklin Barreto strikes out swinging.,2025,Curveball
CU,614179,620439,No event,swinging_strike,Franklin Barreto strikes out swinging.,2025,Curveball
CU,614179,620439,No event,swinging_strike,Franklin Barreto strikes out swinging.,2025,Curveball
CU,614179,695735,strikeout,swinging_strike,Creed Willems strikes out swinging.,2025,Curveball
FF,614179,695735,No event,foul,Creed Willems strikes out swinging.,2025,4-Seam Fastball
CH,614179,695735,No event,ball,Creed Willems strikes out swinging.,2025,Changeup
FF,614179,695735,No event,called_strike,Creed Willems strikes out swinging.,2025,4-Seam Fastball
SI,614179,677941,field_out,hit_into_play,Jordyn Adams lines out to center fielder Elio Prado.,2025,Sinker
FF,614179,702176,field_out,hit_into_play,Alan Roden lines out to right fielder Gabriel Rincones Jr.,2025,4-Seam Fastball
CU,614179,702176,No event,swinging_strike_blocked,Alan Roden lines out to right fielder Gabriel Rincones Jr.,2025,Curveball
SI,614179,672386,single,hit_into_play,Alejandro Kirk singles on a ground ball to shortstop Trea Turner.,2025,Sinker
CU,614179,672386,No event,ball,Alejandro Kirk singles on a ground ball to shortstop Trea Turner.,2025,Curveball
CU,614179,672386,No event,ball,Alejandro Kirk singles on a ground ball to shortstop Trea Turner.,2025,Curveball
CU,614179,683770,field_out,hit_into_play,Will Robertson flies out to center fielder Óscar Mercado.,2025,Curveball
FF,614179,683770,No event,ball,Will Robertson flies out to center fielder Óscar Mercado.,2025,4-Seam Fastball
FF,614179,683770,No event,foul,Will Robertson flies out to center fielder Óscar Mercado.,2025,4-Seam Fastball
CU,614179,683770,No event,foul,Will Robertson flies out to center fielder Óscar Mercado.,2025,Curveball
FF,614179,665489,field_out,hit_into_play,Vladimir Guerrero Jr. flies out to center fielder Óscar Mercado.,2025,4-Seam Fastball
SI,614179,665489,No event,ball,Vladimir Guerrero Jr. flies out to center fielder Óscar Mercado.,2025,Sinker
SI,614179,578428,single,hit_into_play,"Jose Iglesias singles on a line drive to center fielder Johan Rojas.   Harrison Bader scores.    Brandon Nimmo scores.  Pete Alonso out at home, catcher J.  T. Realmuto to pitcher José Ruiz.",2024,Sinker
SI,614179,578428,No event,called_strike,"Jose Iglesias singles on a line drive to center fielder Johan Rojas.   Harrison Bader scores.    Brandon Nimmo scores.  Pete Alonso out at home, catcher J.  T. Realmuto to pitcher José Ruiz.",2024,Sinker
SI,614179,664056,field_out,hit_into_play,Harrison Bader lines out to shortstop Trea Turner.,2024,Sinker
CU,614179,664056,No event,ball,Harrison Bader lines out to shortstop Trea Turner.,2024,Curveball
CU,614179,664056,No event,blocked_ball,Harrison Bader lines out to shortstop Trea Turner.,2024,Curveball
SI,614179,682626,single,hit_into_play,Francisco Alvarez singles on a sharp ground ball to left fielder Brandon Marsh. J.D. Martinez to 2nd.,2024,Sinker
FF,614179,516782,field_out,hit_into_play,Starling Marte lines out sharply to center fielder Johan Rojas.,2024,4-Seam Fastball
SI,614179,516782,No event,foul,Starling Marte lines out sharply to center fielder Johan Rojas.,2024,Sinker
SI,614179,516782,No event,ball,Starling Marte lines out sharply to center fielder Johan Rojas.,2024,Sinker
SI,614179,516782,No event,ball,Starling Marte lines out sharply to center fielder Johan Rojas.,2024,Sinker
CU,614179,502110,single,hit_into_play,J.D. Martinez singles on a sharp line drive to left fielder Brandon Marsh.,2024,Curveball
SI,614179,502110,No event,foul,J.D. Martinez singles on a sharp line drive to left fielder Brandon Marsh.,2024,Sinker
SI,614179,578428,field_out,hit_into_play,"Jose Iglesias grounds out softly, pitcher José Ruiz to first baseman Bryce Harper.",2024,Sinker
SI,614179,578428,No event,called_strike,"Jose Iglesias grounds out softly, pitcher José Ruiz to first baseman Bryce Harper.",2024,Sinker
CU,614179,624413,home_run,hit_into_play,Pete Alonso homers (2) on a fly ball to right center field.,2024,Curveball
CU,614179,624413,No event,swinging_strike,Pete Alonso homers (2) on a fly ball to right center field.,2024,Curveball
SI,614179,624413,No event,called_strike,Pete Alonso homers (2) on a fly ball to right center field.,2024,Sinker
CU,614179,624413,No event,ball,Pete Alonso homers (2) on a fly ball to right center field.,2024,Curveball
CU,614179,660766,field_out,hit_into_play,Juan Yepez flies out to left fielder Kody Clemens.,2024,Curveball
CU,614179,695578,strikeout,called_strike,James Wood called out on strikes.,2024,Curveball
FF,614179,695578,No event,foul,James Wood called out on strikes.,2024,4-Seam Fastball
CU,614179,695578,No event,foul,James Wood called out on strikes.,2024,Curveball
FF,614179,695578,No event,ball,James Wood called out on strikes.,2024,4-Seam Fastball
FF,614179,695578,No event,foul,James Wood called out on strikes.,2024,4-Seam Fastball
SI,614179,671277,strikeout,foul_tip,Luis García Jr. strikes out on a foul tip.,2024,Sinker
CH,614179,671277,No event,swinging_strike,Luis García Jr. strikes out on a foul tip.,2024,Changeup
SI,614179,671277,No event,foul,Luis García Jr. strikes out on a foul tip.,2024,Sinker
CU,614179,671117,single,hit_into_play,Darren Baker singles on a ground ball to left fielder Kody Clemens. Drew Millas to 3rd. Jacob Young to 2nd.,2024,Curveball
