pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,667755,665155,field_out,hit_into_play,"Nick Maton grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,665155,No event,foul,"Nick Maton grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Sinker
KC,667755,665155,No event,ball,"Nick Maton grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Knuckle Curve
SI,667755,683734,field_out,hit_into_play,"Andrew Vaughn grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Sinker
KC,667755,683734,No event,ball,"Andrew Vaughn grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Knuckle Curve
SI,667755,643217,field_out,hit_into_play,Andrew Benintendi pops out to third baseman Yoán Moncada.,2025,Sinker
SI,667755,643217,No event,ball,Andrew Benintendi pops out to third baseman Yoán Moncada.,2025,Sinker
SL,667755,673357,double_play,hit_into_play,"Luis Robert Jr. pops into a double play, shortstop Kevin Newman to first baseman Nolan Schanuel. Brooks Baldwin out at 1st.",2025,Slider
SL,667755,673357,No event,swinging_strike,"Luis Robert Jr. pops into a double play, shortstop Kevin Newman to first baseman Nolan Schanuel. Brooks Baldwin out at 1st.",2025,Slider
KC,667755,673357,No event,foul,"Luis Robert Jr. pops into a double play, shortstop Kevin Newman to first baseman Nolan Schanuel. Brooks Baldwin out at 1st.",2025,Knuckle Curve
SI,667755,678246,strikeout,called_strike,Miguel Vargas called out on strikes.,2025,Sinker
SL,667755,678246,No event,blocked_ball,Miguel Vargas called out on strikes.,2025,Slider
SL,667755,678246,No event,blocked_ball,Miguel Vargas called out on strikes.,2025,Slider
SI,667755,678246,No event,foul,Miguel Vargas called out on strikes.,2025,Sinker
KC,667755,678246,No event,called_strike,Miguel Vargas called out on strikes.,2025,Knuckle Curve
KC,667755,681460,single,hit_into_play,Brooks Baldwin singles on a ground ball to right fielder Mike Trout.,2025,Knuckle Curve
SI,667755,681460,No event,foul,Brooks Baldwin singles on a ground ball to right fielder Mike Trout.,2025,Sinker
SL,667755,676070,strikeout,called_strike,Jacob Amaya called out on strikes.,2025,Slider
SI,667755,676070,No event,called_strike,Jacob Amaya called out on strikes.,2025,Sinker
SI,667755,676070,No event,called_strike,Jacob Amaya called out on strikes.,2025,Sinker
KC,667755,642136,field_out,hit_into_play,"Matt Thaiss bunt grounds out softly, third baseman Yoán Moncada to first baseman Nolan Schanuel.",2025,Knuckle Curve
KC,667755,672820,strikeout,swinging_strike,Lenyn Sosa strikes out swinging.,2025,Knuckle Curve
FF,667755,672820,No event,ball,Lenyn Sosa strikes out swinging.,2025,4-Seam Fastball
SL,667755,672820,No event,swinging_strike,Lenyn Sosa strikes out swinging.,2025,Slider
KC,667755,672820,No event,called_strike,Lenyn Sosa strikes out swinging.,2025,Knuckle Curve
SI,667755,665155,field_out,hit_into_play,"Nick Maton grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,665155,No event,ball,"Nick Maton grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Sinker
KC,667755,665155,No event,ball,"Nick Maton grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Knuckle Curve
SI,667755,683734,grounded_into_double_play,hit_into_play,"Andrew Vaughn grounds into a double play, shortstop Kevin Newman to second baseman Luis Rengifo to first baseman Nolan Schanuel. Andrew Benintendi out at 2nd. Andrew Vaughn out at 1st.",2025,Sinker
SI,667755,683734,No event,ball,"Andrew Vaughn grounds into a double play, shortstop Kevin Newman to second baseman Luis Rengifo to first baseman Nolan Schanuel. Andrew Benintendi out at 2nd. Andrew Vaughn out at 1st.",2025,Sinker
KC,667755,643217,single,hit_into_play,Andrew Benintendi singles on a ground ball to third baseman Yoán Moncada.,2025,Knuckle Curve
SI,667755,643217,No event,called_strike,Andrew Benintendi singles on a ground ball to third baseman Yoán Moncada.,2025,Sinker
SL,667755,673357,strikeout,swinging_strike,Luis Robert Jr. strikes out swinging.,2025,Slider
SI,667755,673357,No event,foul,Luis Robert Jr. strikes out swinging.,2025,Sinker
SI,667755,673357,No event,foul,Luis Robert Jr. strikes out swinging.,2025,Sinker
SI,667755,678246,field_out,hit_into_play,Miguel Vargas lines out sharply to center fielder Jo Adell.,2025,Sinker
KC,667755,678246,No event,ball,Miguel Vargas lines out sharply to center fielder Jo Adell.,2025,Knuckle Curve
SI,667755,678246,No event,ball,Miguel Vargas lines out sharply to center fielder Jo Adell.,2025,Sinker
SI,667755,681460,strikeout,called_strike,Brooks Baldwin called out on strikes.,2025,Sinker
FF,667755,681460,No event,ball,Brooks Baldwin called out on strikes.,2025,4-Seam Fastball
SI,667755,681460,No event,called_strike,Brooks Baldwin called out on strikes.,2025,Sinker
KC,667755,681460,No event,foul,Brooks Baldwin called out on strikes.,2025,Knuckle Curve
SI,667755,681460,No event,ball,Brooks Baldwin called out on strikes.,2025,Sinker
SI,667755,681460,No event,ball,Brooks Baldwin called out on strikes.,2025,Sinker
SI,667755,676070,field_out,hit_into_play,"Jacob Amaya grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Sinker
KC,667755,676070,No event,ball,"Jacob Amaya grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Knuckle Curve
SI,667755,676070,No event,ball,"Jacob Amaya grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,642136,walk,ball,Matt Thaiss walks.,2025,Sinker
SI,667755,642136,No event,ball,Matt Thaiss walks.,2025,Sinker
SI,667755,642136,No event,ball,Matt Thaiss walks.,2025,Sinker
SI,667755,642136,No event,ball,Matt Thaiss walks.,2025,Sinker
SI,667755,672820,field_out,hit_into_play,"Lenyn Sosa grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Sinker
SL,667755,672820,No event,foul,"Lenyn Sosa grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Slider
SI,667755,672820,No event,called_strike,"Lenyn Sosa grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,672820,No event,called_strike,"Lenyn Sosa grounds out, pitcher José Soriano to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,665155,field_out,hit_into_play,Nick Maton pops out to third baseman Yoán Moncada.,2025,Sinker
SI,667755,683734,field_out,hit_into_play,"Andrew Vaughn grounds out, second baseman Luis Rengifo to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,643217,walk,ball,Andrew Benintendi walks.,2025,Sinker
SI,667755,643217,No event,foul,Andrew Benintendi walks.,2025,Sinker
SI,667755,643217,No event,ball,Andrew Benintendi walks.,2025,Sinker
SI,667755,643217,No event,ball,Andrew Benintendi walks.,2025,Sinker
KC,667755,643217,No event,foul,Andrew Benintendi walks.,2025,Knuckle Curve
SI,667755,643217,No event,ball,Andrew Benintendi walks.,2025,Sinker
SI,667755,643217,No event,swinging_strike,Andrew Benintendi walks.,2025,Sinker
SI,667755,643217,No event,called_strike,Andrew Benintendi walks.,2025,Sinker
SI,667755,673357,field_out,hit_into_play,"Luis Robert Jr. grounds out, third baseman Yoán Moncada to first baseman Nolan Schanuel.",2025,Sinker
SI,667755,673357,No event,ball,"Luis Robert Jr. grounds out, third baseman Yoán Moncada to first baseman Nolan Schanuel.",2025,Sinker
SL,667755,673357,No event,ball,"Luis Robert Jr. grounds out, third baseman Yoán Moncada to first baseman Nolan Schanuel.",2025,Slider
KC,667755,673357,No event,called_strike,"Luis Robert Jr. grounds out, third baseman Yoán Moncada to first baseman Nolan Schanuel.",2025,Knuckle Curve
