pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,686580,668939,field_out,hit_into_play,Adley Rutschman grounds out to first baseman Triston Casas.,2025,Sweeper
CU,686580,668939,No event,ball,Adley Rutschman grounds out to first baseman Triston Casas.,2025,Curveball
CU,686580,668939,No event,foul,Adley Rutschman grounds out to first baseman Triston Casas.,2025,Curveball
FF,686580,668939,No event,foul,Adley Rutschman grounds out to first baseman Triston Casas.,2025,4-Seam Fastball
FC,686580,668939,No event,called_strike,Adley Rutschman grounds out to first baseman Triston Casas.,2025,Cutter
FF,686580,668939,No event,ball,Adley Rutschman grounds out to first baseman Triston Casas.,2025,4-Seam Fastball
FC,686580,656775,field_out,hit_into_play,Cedric Mullins flies out to center fielder Ceddanne Rafaela.,2025,Cutter
CU,686580,656775,No event,blocked_ball,Cedric Mullins flies out to center fielder Ceddanne Rafaela.,2025,Curveball
FF,686580,656775,No event,ball,Cedric Mullins flies out to center fielder Ceddanne Rafaela.,2025,4-Seam Fastball
FC,686580,656775,No event,foul,Cedric Mullins flies out to center fielder Ceddanne Rafaela.,2025,Cutter
FC,686580,656775,No event,foul,Cedric Mullins flies out to center fielder Ceddanne Rafaela.,2025,Cutter
ST,686580,656775,No event,ball,Cedric Mullins flies out to center fielder Ceddanne Rafaela.,2025,Sweeper
ST,686580,666185,strikeout,called_strike,Dylan Carlson called out on strikes.,2025,Sweeper
CU,686580,666185,No event,foul,Dylan Carlson called out on strikes.,2025,Curveball
FC,686580,666185,No event,called_strike,Dylan Carlson called out on strikes.,2025,Cutter
FC,686580,666185,No event,blocked_ball,Dylan Carlson called out on strikes.,2025,Cutter
FF,686580,666185,No event,ball,Dylan Carlson called out on strikes.,2025,4-Seam Fastball
FC,686580,666185,No event,foul,Dylan Carlson called out on strikes.,2025,Cutter
FC,686580,602104,single,hit_into_play,Ramón Urías singles on a line drive to left fielder Jarren Duran.,2025,Cutter
FF,686580,602104,No event,called_strike,Ramón Urías singles on a line drive to left fielder Jarren Duran.,2025,4-Seam Fastball
FF,686580,666185,walk,blocked_ball,Dylan Carlson walks.,2025,4-Seam Fastball
FC,686580,666185,No event,ball,Dylan Carlson walks.,2025,Cutter
CU,686580,666185,No event,ball,Dylan Carlson walks.,2025,Curveball
FC,686580,666185,No event,ball,Dylan Carlson walks.,2025,Cutter
FF,686580,677008,single,hit_into_play,Heston Kjerstad singles on a line drive to left fielder Jarren Duran. Tyler O'Neill scores. Ryan Mountcastle to 3rd.,2025,4-Seam Fastball
FF,686580,677008,No event,ball,Heston Kjerstad singles on a line drive to left fielder Jarren Duran. Tyler O'Neill scores. Ryan Mountcastle to 3rd.,2025,4-Seam Fastball
FC,686580,663624,single,hit_into_play,"Ryan Mountcastle singles on a ground ball to third baseman Alex Bregman. Tyler O'Neill to 3rd. Ryan Mountcastle to 2nd. Tyler O'Neill advances to 3rd, on a throwing error by third baseman Alex Bregman.",2025,Cutter
FF,686580,641933,single,hit_into_play,Tyler O'Neill singles on a fly ball to right fielder Wilyer Abreu.,2025,4-Seam Fastball
FC,686580,641933,No event,foul,Tyler O'Neill singles on a fly ball to right fielder Wilyer Abreu.,2025,Cutter
