pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,686993,457759,field_out,hit_into_play,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,457759,No event,ball,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,457759,No event,ball,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,457759,No event,ball,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,457759,No event,foul,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,457759,No event,called_strike,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,457759,No event,called_strike,Justin Turner pops out to second baseman Max Muncy.,2025,4-Seam Fastball
FF,686993,673548,field_out,hit_into_play,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
ST,686993,673548,No event,ball,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,Sweeper
ST,686993,673548,No event,called_strike,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,Sweeper
ST,686993,673548,No event,ball,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,Sweeper
FC,686993,673548,No event,called_strike,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,Cutter
ST,686993,663656,strikeout,called_strike,Kyle Tucker called out on strikes.,2025,Sweeper
FF,686993,663656,No event,ball,Kyle Tucker called out on strikes.,2025,4-Seam Fastball
FF,686993,663656,No event,foul,Kyle Tucker called out on strikes.,2025,4-Seam Fastball
FF,686993,663656,No event,called_strike,Kyle Tucker called out on strikes.,2025,4-Seam Fastball
ST,686993,664023,field_out,hit_into_play,"Ian Happ grounds out, first baseman Tyler Soderstrom to pitcher Justin Sterner.",2025,Sweeper
FF,686993,664023,No event,ball,"Ian Happ grounds out, first baseman Tyler Soderstrom to pitcher Justin Sterner.",2025,4-Seam Fastball
FF,686993,664023,No event,swinging_strike,"Ian Happ grounds out, first baseman Tyler Soderstrom to pitcher Justin Sterner.",2025,4-Seam Fastball
FC,686993,664023,No event,called_strike,"Ian Happ grounds out, first baseman Tyler Soderstrom to pitcher Justin Sterner.",2025,Cutter
ST,686993,645302,strikeout,swinging_strike,Victor Robles strikes out swinging.,2025,Sweeper
ST,686993,645302,No event,ball,Victor Robles strikes out swinging.,2025,Sweeper
ST,686993,645302,No event,foul,Victor Robles strikes out swinging.,2025,Sweeper
FC,686993,645302,No event,swinging_strike,Victor Robles strikes out swinging.,2025,Cutter
ST,686993,641487,field_out,hit_into_play,J.P. Crawford flies out to center fielder JJ Bleday.,2025,Sweeper
FF,686993,641487,No event,foul,J.P. Crawford flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FC,686993,641487,No event,swinging_strike,J.P. Crawford flies out to center fielder JJ Bleday.,2025,Cutter
FF,686993,641487,No event,ball,J.P. Crawford flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FF,686993,641487,No event,ball,J.P. Crawford flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FF,686993,641487,No event,called_strike,J.P. Crawford flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FF,686993,669208,strikeout,swinging_strike,Ryan Bliss strikes out swinging.,2025,4-Seam Fastball
FF,686993,669208,No event,ball,Ryan Bliss strikes out swinging.,2025,4-Seam Fastball
