pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,458677,702616,field_out,hit_into_play,"Jackson Holliday grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,4-Seam Fastball
FC,458677,702616,No event,ball,"Jackson Holliday grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Cutter
FC,458677,702616,No event,ball,"Jackson Holliday grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Cutter
FF,458677,702616,No event,swinging_strike,"Jackson Holliday grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,4-Seam Fastball
SL,458677,663624,double,hit_into_play,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,Slider
SL,458677,663624,No event,foul,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,Slider
FF,458677,663624,No event,ball,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,4-Seam Fastball
SL,458677,663624,No event,foul,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,Slider
SL,458677,663624,No event,called_strike,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,Slider
SL,458677,663624,No event,ball,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,Slider
SL,458677,663624,No event,foul,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,Slider
FF,458677,663624,No event,ball,Ryan Mountcastle doubles (2) on a ground ball to left fielder Jarren Duran.,2025,4-Seam Fastball
FF,458677,641933,strikeout,swinging_strike,Tyler O'Neill strikes out swinging.,2025,4-Seam Fastball
SL,458677,641933,No event,ball,Tyler O'Neill strikes out swinging.,2025,Slider
FF,458677,641933,No event,foul,Tyler O'Neill strikes out swinging.,2025,4-Seam Fastball
FF,458677,641933,No event,foul,Tyler O'Neill strikes out swinging.,2025,4-Seam Fastball
FF,458677,641933,No event,ball,Tyler O'Neill strikes out swinging.,2025,4-Seam Fastball
SL,458677,641933,No event,foul,Tyler O'Neill strikes out swinging.,2025,Slider
FF,458677,641933,No event,swinging_strike,Tyler O'Neill strikes out swinging.,2025,4-Seam Fastball
FF,458677,641933,No event,swinging_strike,Tyler O'Neill strikes out swinging.,2025,4-Seam Fastball
FC,458677,656811,field_out,hit_into_play,"Ryan O'Hearn grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,Cutter
FC,458677,656811,No event,swinging_strike,"Ryan O'Hearn grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,Cutter
FF,458677,656811,No event,ball,"Ryan O'Hearn grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,4-Seam Fastball
SL,458677,677649,field_out,hit_into_play,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Slider
FS,458677,677649,No event,foul,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Split-Finger
FC,458677,677649,No event,foul,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Cutter
FF,458677,677649,No event,ball,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
FF,458677,677649,No event,ball,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
FC,458677,680716,field_out,hit_into_play,"Jonathan Ornelas bunt grounds out softly, pitcher Justin Wilson to first baseman Triston Casas.",2025,Cutter
SL,458677,665750,strikeout,swinging_strike,Leody Taveras strikes out swinging.,2025,Slider
SL,458677,665750,No event,foul,Leody Taveras strikes out swinging.,2025,Slider
FF,458677,665750,No event,ball,Leody Taveras strikes out swinging.,2025,4-Seam Fastball
FF,458677,665750,No event,swinging_strike,Leody Taveras strikes out swinging.,2025,4-Seam Fastball
SL,458677,592626,grounded_into_double_play,hit_into_play,"Joc Pederson grounds into a double play, second baseman David Hamilton to first baseman Triston Casas. Corey Seager out at 2nd. Joc Pederson out at 1st.",2025,Slider
FC,458677,592626,No event,foul,"Joc Pederson grounds into a double play, second baseman David Hamilton to first baseman Triston Casas. Corey Seager out at 2nd. Joc Pederson out at 1st.",2025,Cutter
FF,458677,592626,No event,ball,"Joc Pederson grounds into a double play, second baseman David Hamilton to first baseman Triston Casas. Corey Seager out at 2nd. Joc Pederson out at 1st.",2025,4-Seam Fastball
FC,458677,592626,No event,foul,"Joc Pederson grounds into a double play, second baseman David Hamilton to first baseman Triston Casas. Corey Seager out at 2nd. Joc Pederson out at 1st.",2025,Cutter
FC,458677,592626,No event,ball,"Joc Pederson grounds into a double play, second baseman David Hamilton to first baseman Triston Casas. Corey Seager out at 2nd. Joc Pederson out at 1st.",2025,Cutter
,458677,679529,field_out,hit_into_play,"Spencer Torkelson grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,
,458677,679529,No event,called_strike,"Spencer Torkelson grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,
,458677,679529,No event,ball,"Spencer Torkelson grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,
,458677,628451,double,hit_into_play,Andy Ibáñez doubles (5) on a ground ball to left fielder Jarren Duran.,2025,
,458677,628451,No event,ball,Andy Ibáñez doubles (5) on a ground ball to left fielder Jarren Duran.,2025,
