pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,445276,687363,field_out,hit_into_play,Victor Scott II flies out to center fielder Jo Adell.,2025,Cutter
FC,445276,687363,No event,called_strike,Victor Scott II flies out to center fielder Jo Adell.,2025,Cutter
FC,445276,687363,No event,ball,Victor Scott II flies out to center fielder Jo Adell.,2025,Cutter
FC,445276,687363,No event,ball,Victor Scott II flies out to center fielder Jo Adell.,2025,Cutter
FC,445276,687363,No event,called_strike,Victor Scott II flies out to center fielder Jo Adell.,2025,Cutter
FC,445276,686780,field_out,hit_into_play,Pedro Pagés flies out to right fielder Mike Trout.,2025,Cutter
FC,445276,686780,No event,foul,Pedro Pagés flies out to right fielder Mike Trout.,2025,Cutter
FC,445276,691023,strikeout,swinging_strike,Jordan Walker strikes out swinging.,2025,Cutter
FC,445276,691023,No event,ball,Jordan Walker strikes out swinging.,2025,Cutter
FC,445276,691023,No event,swinging_strike,Jordan Walker strikes out swinging.,2025,Cutter
FC,445276,691023,No event,called_strike,Jordan Walker strikes out swinging.,2025,Cutter
FC,445276,681460,grounded_into_double_play,hit_into_play,"Brooks Baldwin grounds into a double play, second baseman Luis Rengifo to shortstop Tim Anderson to first baseman Nolan Schanuel. Matt Thaiss out at 2nd. Brooks Baldwin out at 1st.",2025,Cutter
FC,445276,681460,No event,ball,"Brooks Baldwin grounds into a double play, second baseman Luis Rengifo to shortstop Tim Anderson to first baseman Nolan Schanuel. Matt Thaiss out at 2nd. Brooks Baldwin out at 1st.",2025,Cutter
FC,445276,681460,No event,foul,"Brooks Baldwin grounds into a double play, second baseman Luis Rengifo to shortstop Tim Anderson to first baseman Nolan Schanuel. Matt Thaiss out at 2nd. Brooks Baldwin out at 1st.",2025,Cutter
FC,445276,681460,No event,ball,"Brooks Baldwin grounds into a double play, second baseman Luis Rengifo to shortstop Tim Anderson to first baseman Nolan Schanuel. Matt Thaiss out at 2nd. Brooks Baldwin out at 1st.",2025,Cutter
FC,445276,678246,field_out,hit_into_play,Miguel Vargas pops out to shortstop Tim Anderson on the infield fly rule.,2025,Cutter
FC,445276,642136,walk,ball,Matt Thaiss walks.,2025,Cutter
SI,445276,642136,No event,ball,Matt Thaiss walks.,2025,Sinker
SI,445276,642136,No event,swinging_strike,Matt Thaiss walks.,2025,Sinker
SL,445276,642136,No event,blocked_ball,Matt Thaiss walks.,2025,Slider
FC,445276,642136,No event,ball,Matt Thaiss walks.,2025,Cutter
FC,445276,683734,double,hit_into_play,Andrew Vaughn doubles (1) on a line drive to left fielder Taylor Ward.,2025,Cutter
FC,445276,683734,No event,ball,Andrew Vaughn doubles (1) on a line drive to left fielder Taylor Ward.,2025,Cutter
FC,445276,683734,field_out,hit_into_play,"Andrew Vaughn grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Cutter
FC,445276,683734,No event,foul,"Andrew Vaughn grounds out, shortstop Kevin Newman to first baseman Nolan Schanuel.",2025,Cutter
SI,445276,643217,walk,ball,Andrew Benintendi walks.,2025,Sinker
FC,445276,643217,No event,ball,Andrew Benintendi walks.,2025,Cutter
FC,445276,643217,No event,foul,Andrew Benintendi walks.,2025,Cutter
SI,445276,643217,No event,ball,Andrew Benintendi walks.,2025,Sinker
FC,445276,643217,No event,ball,Andrew Benintendi walks.,2025,Cutter
FC,445276,673357,strikeout,called_strike,Luis Robert Jr. called out on strikes.,2025,Cutter
FC,445276,673357,No event,ball,Luis Robert Jr. called out on strikes.,2025,Cutter
FC,445276,673357,No event,swinging_strike,Luis Robert Jr. called out on strikes.,2025,Cutter
FC,445276,673357,No event,called_strike,Luis Robert Jr. called out on strikes.,2025,Cutter
FC,445276,678246,strikeout,foul_tip,Miguel Vargas strikes out on a foul tip.,2025,Cutter
FC,445276,678246,No event,ball,Miguel Vargas strikes out on a foul tip.,2025,Cutter
SL,445276,678246,No event,ball,Miguel Vargas strikes out on a foul tip.,2025,Slider
FC,445276,678246,No event,foul,Miguel Vargas strikes out on a foul tip.,2025,Cutter
