pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,663460,681962,field_out,hit_into_play,"Vinny Capra grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,4-Seam Fastball
FF,663460,681962,No event,foul,"Vinny Capra grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,4-Seam Fastball
CH,663460,681962,No event,foul,"Vinny Capra grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,Changeup
ST,663460,681962,No event,called_strike,"Vinny Capra grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,Sweeper
ST,663460,686217,field_out,hit_into_play,Sal Frelick pops out to shortstop Bobby Witt Jr.,2025,Sweeper
FF,663460,686217,No event,swinging_strike,Sal Frelick pops out to shortstop Bobby Witt Jr.,2025,4-Seam Fastball
FF,663460,686217,No event,called_strike,Sal Frelick pops out to shortstop Bobby Witt Jr.,2025,4-Seam Fastball
FF,663460,686217,No event,ball,Sal Frelick pops out to shortstop Bobby Witt Jr.,2025,4-Seam Fastball
FF,663460,686217,No event,ball,Sal Frelick pops out to shortstop Bobby Witt Jr.,2025,4-Seam Fastball
FF,663460,656555,field_out,hit_into_play,"Rhys Hoskins grounds out, shortstop Bobby Witt Jr. to first baseman Mark Canha.",2025,4-Seam Fastball
FF,663460,656555,No event,ball,"Rhys Hoskins grounds out, shortstop Bobby Witt Jr. to first baseman Mark Canha.",2025,4-Seam Fastball
ST,663460,656555,No event,ball,"Rhys Hoskins grounds out, shortstop Bobby Witt Jr. to first baseman Mark Canha.",2025,Sweeper
ST,663460,661388,field_out,hit_into_play,"William Contreras grounds out softly, pitcher Kris Bubic to first baseman Mark Canha.",2025,Sweeper
ST,663460,592885,field_out,hit_into_play,Christian Yelich flies out to left fielder MJ Melendez.,2025,Sweeper
FF,663460,592885,No event,foul_tip,Christian Yelich flies out to left fielder MJ Melendez.,2025,4-Seam Fastball
FF,663460,592885,No event,ball,Christian Yelich flies out to left fielder MJ Melendez.,2025,4-Seam Fastball
