pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,676710,666018,single,hit_into_play,Jonathan Aranda singles on a line drive to left fielder Tyler O'Neill.   Brandon Lowe scores.    Junior Caminero to 2nd.,2024,Cutter
FC,676710,666018,No event,foul_tip,Jonathan Aranda singles on a line drive to left fielder Tyler O'Neill.   Brandon Lowe scores.    Junior Caminero to 2nd.,2024,Cutter
FC,676710,691406,single,hit_into_play,Junior Caminero singles on a ground ball to pitcher Kutter Crawford.   Yandy Díaz scores.    Brandon Lowe to 2nd.,2024,Cutter
FC,676710,691406,No event,foul,Junior Caminero singles on a ground ball to pitcher Kutter Crawford.   Yandy Díaz scores.    Brandon Lowe to 2nd.,2024,Cutter
FC,676710,691406,No event,ball,Junior Caminero singles on a ground ball to pitcher Kutter Crawford.   Yandy Díaz scores.    Brandon Lowe to 2nd.,2024,Cutter
FC,676710,664040,single,hit_into_play,Brandon Lowe singles on a sharp line drive to right fielder Wilyer Abreu.   Yandy Díaz to 3rd.,2024,Cutter
FS,676710,664040,No event,ball,Brandon Lowe singles on a sharp line drive to right fielder Wilyer Abreu.   Yandy Díaz to 3rd.,2024,Split-Finger
FS,676710,664040,No event,swinging_strike,Brandon Lowe singles on a sharp line drive to right fielder Wilyer Abreu.   Yandy Díaz to 3rd.,2024,Split-Finger
FF,676710,650490,single,hit_into_play,Yandy Díaz singles on a sharp line drive to center fielder Jarren Duran.,2024,4-Seam Fastball
FC,676710,650490,No event,foul,Yandy Díaz singles on a sharp line drive to center fielder Jarren Duran.,2024,Cutter
FC,676710,650490,No event,ball,Yandy Díaz singles on a sharp line drive to center fielder Jarren Duran.,2024,Cutter
FF,676710,650490,No event,ball,Yandy Díaz singles on a sharp line drive to center fielder Jarren Duran.,2024,4-Seam Fastball
ST,676710,650490,No event,called_strike,Yandy Díaz singles on a sharp line drive to center fielder Jarren Duran.,2024,Sweeper
FC,676710,670764,strikeout,swinging_strike,Taylor Walls strikes out swinging.,2024,Cutter
FC,676710,670764,No event,ball,Taylor Walls strikes out swinging.,2024,Cutter
FC,676710,670764,No event,ball,Taylor Walls strikes out swinging.,2024,Cutter
FF,676710,670764,No event,ball,Taylor Walls strikes out swinging.,2024,4-Seam Fastball
KC,676710,670764,No event,foul,Taylor Walls strikes out swinging.,2024,Knuckle Curve
FC,676710,670764,No event,foul,Taylor Walls strikes out swinging.,2024,Cutter
FF,676710,670764,No event,called_strike,Taylor Walls strikes out swinging.,2024,4-Seam Fastball
FC,676710,666163,strikeout,swinging_strike,Ben Rortvedt strikes out swinging.,2024,Cutter
FC,676710,666163,No event,called_strike,Ben Rortvedt strikes out swinging.,2024,Cutter
FS,676710,666163,No event,ball,Ben Rortvedt strikes out swinging.,2024,Split-Finger
FC,676710,666163,No event,foul,Ben Rortvedt strikes out swinging.,2024,Cutter
FF,676710,666163,No event,ball,Ben Rortvedt strikes out swinging.,2024,4-Seam Fastball
FC,676710,642350,double_play,hit_into_play,"Jose Siri lines into a double play, center fielder Jarren Duran to first baseman Triston Casas.   Josh Lowe out at 1st.",2024,Cutter
FC,676710,642350,No event,ball,"Jose Siri lines into a double play, center fielder Jarren Duran to first baseman Triston Casas.   Josh Lowe out at 1st.",2024,Cutter
FC,676710,642350,No event,swinging_strike,"Jose Siri lines into a double play, center fielder Jarren Duran to first baseman Triston Casas.   Josh Lowe out at 1st.",2024,Cutter
FC,676710,642350,No event,ball,"Jose Siri lines into a double play, center fielder Jarren Duran to first baseman Triston Casas.   Josh Lowe out at 1st.",2024,Cutter
FC,676710,666139,walk,ball,Josh Lowe walks.,2024,Cutter
KC,676710,666139,No event,ball,Josh Lowe walks.,2024,Knuckle Curve
FS,676710,666139,No event,foul,Josh Lowe walks.,2024,Split-Finger
FC,676710,666139,No event,called_strike,Josh Lowe walks.,2024,Cutter
FC,676710,666139,No event,ball,Josh Lowe walks.,2024,Cutter
FF,676710,666139,No event,foul,Josh Lowe walks.,2024,4-Seam Fastball
KC,676710,666139,No event,ball,Josh Lowe walks.,2024,Knuckle Curve
FF,676710,666624,field_out,hit_into_play,Christopher Morel flies out to center fielder Jarren Duran.,2024,4-Seam Fastball
ST,676710,666624,No event,ball,Christopher Morel flies out to center fielder Jarren Duran.,2024,Sweeper
FF,676710,666018,strikeout,called_strike,Jonathan Aranda called out on strikes.,2024,4-Seam Fastball
FS,676710,666018,No event,foul,Jonathan Aranda called out on strikes.,2024,Split-Finger
FF,676710,666018,No event,called_strike,Jonathan Aranda called out on strikes.,2024,4-Seam Fastball
ST,676710,691406,home_run,hit_into_play,Junior Caminero homers (6) on a fly ball to left field.   Yandy Díaz scores.,2024,Sweeper
FC,676710,691406,No event,ball,Junior Caminero homers (6) on a fly ball to left field.   Yandy Díaz scores.,2024,Cutter
FS,676710,664040,strikeout,swinging_strike,Brandon Lowe strikes out swinging.,2024,Split-Finger
KC,676710,664040,No event,foul,Brandon Lowe strikes out swinging.,2024,Knuckle Curve
FF,676710,664040,No event,ball,Brandon Lowe strikes out swinging.,2024,4-Seam Fastball
FS,676710,664040,No event,foul,Brandon Lowe strikes out swinging.,2024,Split-Finger
KC,676710,664040,No event,called_strike,Brandon Lowe strikes out swinging.,2024,Knuckle Curve
FC,676710,650490,walk,ball,Yandy Díaz walks.,2024,Cutter
FC,676710,650490,No event,ball,Yandy Díaz walks.,2024,Cutter
ST,676710,650490,No event,ball,Yandy Díaz walks.,2024,Sweeper
FC,676710,650490,No event,called_strike,Yandy Díaz walks.,2024,Cutter
FC,676710,650490,No event,ball,Yandy Díaz walks.,2024,Cutter
FC,676710,670764,field_out,hit_into_play,Taylor Walls flies out to center fielder Jarren Duran.,2024,Cutter
FC,676710,666163,field_out,hit_into_play,"Ben Rortvedt grounds out, second baseman Vaughn Grissom to first baseman Triston Casas.",2024,Cutter
KC,676710,642350,strikeout,swinging_strike_blocked,Jose Siri strikes out swinging.,2024,Knuckle Curve
FC,676710,642350,No event,foul,Jose Siri strikes out swinging.,2024,Cutter
ST,676710,642350,No event,ball,Jose Siri strikes out swinging.,2024,Sweeper
ST,676710,642350,No event,called_strike,Jose Siri strikes out swinging.,2024,Sweeper
FS,676710,666139,strikeout,called_strike,Josh Lowe called out on strikes.,2024,Split-Finger
KC,676710,666139,No event,foul,Josh Lowe called out on strikes.,2024,Knuckle Curve
FF,676710,666139,No event,foul,Josh Lowe called out on strikes.,2024,4-Seam Fastball
FS,676710,666139,No event,swinging_strike,Josh Lowe called out on strikes.,2024,Split-Finger
FC,676710,666139,No event,foul,Josh Lowe called out on strikes.,2024,Cutter
FC,676710,666624,field_out,hit_into_play,Christopher Morel pops out to second baseman Vaughn Grissom on the infield fly rule.,2024,Cutter
FC,676710,666624,No event,ball,Christopher Morel pops out to second baseman Vaughn Grissom on the infield fly rule.,2024,Cutter
ST,676710,666624,No event,foul,Christopher Morel pops out to second baseman Vaughn Grissom on the infield fly rule.,2024,Sweeper
FC,676710,666018,walk,ball,Jonathan Aranda walks.,2024,Cutter
FC,676710,666018,No event,ball,Jonathan Aranda walks.,2024,Cutter
FF,676710,666018,No event,ball,Jonathan Aranda walks.,2024,4-Seam Fastball
KC,676710,666018,No event,ball,Jonathan Aranda walks.,2024,Knuckle Curve
FC,676710,691406,field_out,hit_into_play,"Junior Caminero grounds out, third baseman Romy Gonzalez to first baseman Triston Casas.   Yandy Díaz to 3rd.    Brandon Lowe to 2nd.",2024,Cutter
ST,676710,691406,No event,blocked_ball,"Junior Caminero grounds out, third baseman Romy Gonzalez to first baseman Triston Casas.   Yandy Díaz to 3rd.    Brandon Lowe to 2nd.",2024,Sweeper
ST,676710,691406,No event,swinging_strike,"Junior Caminero grounds out, third baseman Romy Gonzalez to first baseman Triston Casas.   Yandy Díaz to 3rd.    Brandon Lowe to 2nd.",2024,Sweeper
ST,676710,691406,No event,swinging_strike,"Junior Caminero grounds out, third baseman Romy Gonzalez to first baseman Triston Casas.   Yandy Díaz to 3rd.    Brandon Lowe to 2nd.",2024,Sweeper
