pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,606996,680757,field_out,hit_into_play,Steven Kwan flies out to right fielder Fernando Tatis Jr.,2025,Sweeper
SI,606996,680757,No event,called_strike,Steven Kwan flies out to right fielder Fernando Tatis Jr.,2025,Sinker
SL,606996,680757,No event,foul,Steven Kwan flies out to right fielder Fernando Tatis Jr.,2025,Slider
ST,606996,680757,No event,ball,Steven Kwan flies out to right fielder Fernando Tatis Jr.,2025,Sweeper
SI,606996,677587,single,hit_into_play,Brayan Rocchio singles on a ground ball to left fielder Jason Heyward.,2025,Sinker
SI,606996,677587,No event,ball,Brayan Rocchio singles on a ground ball to left fielder Jason Heyward.,2025,Sinker
SI,606996,677587,No event,foul,Brayan Rocchio singles on a ground ball to left fielder Jason Heyward.,2025,Sinker
SI,606996,677587,No event,swinging_strike,Brayan Rocchio singles on a ground ball to left fielder Jason Heyward.,2025,Sinker
CH,606996,677587,No event,ball,Brayan Rocchio singles on a ground ball to left fielder Jason Heyward.,2025,Changeup
ST,606996,677587,No event,called_strike,Brayan Rocchio singles on a ground ball to left fielder Jason Heyward.,2025,Sweeper
SI,606996,595978,walk,ball,Austin Hedges walks. Gabriel Arias to 2nd.,2025,Sinker
CH,606996,595978,No event,ball,Austin Hedges walks. Gabriel Arias to 2nd.,2025,Changeup
FF,606996,595978,No event,ball,Austin Hedges walks. Gabriel Arias to 2nd.,2025,4-Seam Fastball
ST,606996,595978,No event,called_strike,Austin Hedges walks. Gabriel Arias to 2nd.,2025,Sweeper
CH,606996,595978,No event,blocked_ball,Austin Hedges walks. Gabriel Arias to 2nd.,2025,Changeup
CH,606996,672356,single,hit_into_play,Gabriel Arias singles on a ground ball to third baseman Manny Machado.,2025,Changeup
SL,606996,672356,No event,ball,Gabriel Arias singles on a ground ball to third baseman Manny Machado.,2025,Slider
FF,606996,671286,field_out,hit_into_play,Johnathan Rodriguez flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
CH,606996,671286,No event,ball,Johnathan Rodriguez flies out to center fielder Jackson Merrill.,2025,Changeup
CH,606996,671286,No event,swinging_strike,Johnathan Rodriguez flies out to center fielder Jackson Merrill.,2025,Changeup
FF,606996,678877,field_out,hit_into_play,Jhonkensy Noel flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
CH,606996,678877,No event,swinging_strike,Jhonkensy Noel flies out to center fielder Jackson Merrill.,2025,Changeup
ST,606996,678877,No event,ball,Jhonkensy Noel flies out to center fielder Jackson Merrill.,2025,Sweeper
FF,606996,678877,No event,foul,Jhonkensy Noel flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
ST,606996,678877,No event,ball,Jhonkensy Noel flies out to center fielder Jackson Merrill.,2025,Sweeper
FF,606996,467793,field_out,hit_into_play,Carlos Santana lines out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
ST,606996,657041,strikeout,called_strike,Lane Thomas called out on strikes.,2025,Sweeper
CH,606996,657041,No event,foul,Lane Thomas called out on strikes.,2025,Changeup
CH,606996,657041,No event,swinging_strike,Lane Thomas called out on strikes.,2025,Changeup
ST,606996,657041,No event,called_strike,Lane Thomas called out on strikes.,2025,Sweeper
ST,606996,608070,double,hit_into_play,José Ramírez doubles (1) on a sharp line drive to left fielder Jason Heyward.,2025,Sweeper
SL,606996,608070,No event,foul,José Ramírez doubles (1) on a sharp line drive to left fielder Jason Heyward.,2025,Slider
CH,606996,608070,No event,ball,José Ramírez doubles (1) on a sharp line drive to left fielder Jason Heyward.,2025,Changeup
ST,606996,608070,No event,ball,José Ramírez doubles (1) on a sharp line drive to left fielder Jason Heyward.,2025,Sweeper
ST,606996,608070,No event,called_strike,José Ramírez doubles (1) on a sharp line drive to left fielder Jason Heyward.,2025,Sweeper
SL,606996,680757,field_out,hit_into_play,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Slider
FF,606996,680757,No event,foul,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,606996,680757,No event,foul,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
ST,606996,680757,No event,foul,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sweeper
ST,606996,680757,No event,foul,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sweeper
CH,606996,680757,No event,foul,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Changeup
SI,606996,680757,No event,called_strike,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sinker
SI,606996,680757,No event,ball,"Steven Kwan grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sinker
FF,606996,677587,field_out,hit_into_play,Brayan Rocchio lines out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
SI,606996,677587,No event,foul,Brayan Rocchio lines out sharply to center fielder Jackson Merrill.,2025,Sinker
CH,606996,677587,No event,ball,Brayan Rocchio lines out sharply to center fielder Jackson Merrill.,2025,Changeup
CH,606996,677587,No event,ball,Brayan Rocchio lines out sharply to center fielder Jackson Merrill.,2025,Changeup
SL,606996,595978,home_run,hit_into_play,Austin Hedges homers (1) on a fly ball to left field.,2025,Slider
FF,606996,595978,No event,ball,Austin Hedges homers (1) on a fly ball to left field.,2025,4-Seam Fastball
ST,606996,672356,strikeout,called_strike,Gabriel Arias called out on strikes.,2025,Sweeper
CH,606996,672356,No event,foul,Gabriel Arias called out on strikes.,2025,Changeup
SI,606996,672356,No event,ball,Gabriel Arias called out on strikes.,2025,Sinker
ST,606996,672356,No event,called_strike,Gabriel Arias called out on strikes.,2025,Sweeper
CH,606996,672356,No event,swinging_strike,Gabriel Arias called out on strikes.,2025,Changeup
SI,606996,672356,No event,ball,Gabriel Arias called out on strikes.,2025,Sinker
SL,606996,672356,No event,ball,Gabriel Arias called out on strikes.,2025,Slider
SL,606996,671286,field_out,hit_into_play,Johnathan Rodriguez pops out to second baseman Jake Cronenworth.,2025,Slider
ST,606996,671286,No event,ball,Johnathan Rodriguez pops out to second baseman Jake Cronenworth.,2025,Sweeper
CH,606996,678877,field_out,hit_into_play,Jhonkensy Noel flies out to left fielder Jason Heyward.,2025,Changeup
CH,606996,678877,No event,swinging_strike,Jhonkensy Noel flies out to left fielder Jason Heyward.,2025,Changeup
SL,606996,467793,field_out,hit_into_play,"Carlos Santana grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Slider
CH,606996,467793,No event,ball,"Carlos Santana grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Changeup
SI,606996,467793,No event,called_strike,"Carlos Santana grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Sinker
ST,606996,467793,No event,ball,"Carlos Santana grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Sweeper
FF,606996,657041,strikeout,swinging_strike,Lane Thomas strikes out swinging.,2025,4-Seam Fastball
SL,606996,657041,No event,foul,Lane Thomas strikes out swinging.,2025,Slider
CH,606996,657041,No event,ball,Lane Thomas strikes out swinging.,2025,Changeup
CH,606996,657041,No event,swinging_strike,Lane Thomas strikes out swinging.,2025,Changeup
SI,606996,608070,home_run,hit_into_play,José Ramírez homers (1) on a fly ball to left field.,2025,Sinker
SL,606996,608070,No event,swinging_strike,José Ramírez homers (1) on a fly ball to left field.,2025,Slider
SL,606996,608070,No event,ball,José Ramírez homers (1) on a fly ball to left field.,2025,Slider
SI,606996,608070,No event,ball,José Ramírez homers (1) on a fly ball to left field.,2025,Sinker
ST,606996,608070,No event,ball,José Ramírez homers (1) on a fly ball to left field.,2025,Sweeper
SI,606996,608070,No event,foul,José Ramírez homers (1) on a fly ball to left field.,2025,Sinker
ST,606996,680757,strikeout,swinging_strike,Steven Kwan strikes out swinging.,2025,Sweeper
ST,606996,680757,No event,foul,Steven Kwan strikes out swinging.,2025,Sweeper
SL,606996,680757,No event,foul,Steven Kwan strikes out swinging.,2025,Slider
ST,606996,680757,No event,ball,Steven Kwan strikes out swinging.,2025,Sweeper
FF,606996,680757,No event,called_strike,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
FF,606996,680757,No event,ball,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
CH,606996,608070,single,hit_into_play,José Ramírez singles on a ground ball to second baseman Eguy Rosario. Will Wilson scores.,2025,Changeup
CH,606996,608070,No event,foul,José Ramírez singles on a ground ball to second baseman Eguy Rosario. Will Wilson scores.,2025,Changeup
CH,606996,608070,No event,foul,José Ramírez singles on a ground ball to second baseman Eguy Rosario. Will Wilson scores.,2025,Changeup
ST,606996,680757,field_out,hit_into_play,Steven Kwan flies out to left fielder Jason Heyward.,2025,Sweeper
FF,606996,624513,field_out,hit_into_play,Dom Nuñez pops out to second baseman Eguy Rosario.,2025,4-Seam Fastball
ST,606996,624513,No event,ball,Dom Nuñez pops out to second baseman Eguy Rosario.,2025,Sweeper
ST,606996,624513,No event,ball,Dom Nuñez pops out to second baseman Eguy Rosario.,2025,Sweeper
SL,606996,624513,No event,swinging_strike,Dom Nuñez pops out to second baseman Eguy Rosario.,2025,Slider
