pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,667725,645277,walk,ball,Ozzie Albies walks.,2025,
,667725,645277,No event,ball,Ozzie Albies walks.,2025,
,667725,645277,No event,ball,Ozzie Albies walks.,2025,
,667725,645277,No event,foul,Ozzie Albies walks.,2025,
,667725,645277,No event,foul,Ozzie Albies walks.,2025,
,667725,645277,No event,ball,Ozzie Albies walks.,2025,
,667725,645277,No event,foul,Ozzie Albies walks.,2025,
,667725,542303,home_run,hit_into_play,Marcell Ozuna homers (3) on a fly ball to center field. Austin Riley scores.,2025,
,667725,621566,strikeout,swinging_strike,Matt Olson strikes out swinging.,2025,
,667725,621566,No event,foul,Matt Olson strikes out swinging.,2025,
,667725,621566,No event,ball,Matt Olson strikes out swinging.,2025,
,667725,621566,No event,ball,Matt Olson strikes out swinging.,2025,
,667725,621566,No event,called_strike,Matt Olson strikes out swinging.,2025,
,667725,663586,force_out,hit_into_play,"Austin Riley grounds into a force out, shortstop Edmundo Sosa to second baseman Christian Arroyo. Jurickson Profar out at 2nd. Austin Riley to 1st.",2025,
,667725,663586,No event,ball,"Austin Riley grounds into a force out, shortstop Edmundo Sosa to second baseman Christian Arroyo. Jurickson Profar out at 2nd. Austin Riley to 1st.",2025,
,667725,663586,No event,foul,"Austin Riley grounds into a force out, shortstop Edmundo Sosa to second baseman Christian Arroyo. Jurickson Profar out at 2nd. Austin Riley to 1st.",2025,
,667725,663586,No event,called_strike,"Austin Riley grounds into a force out, shortstop Edmundo Sosa to second baseman Christian Arroyo. Jurickson Profar out at 2nd. Austin Riley to 1st.",2025,
,667725,595777,single,hit_into_play,Jurickson Profar singles on a line drive to right fielder Óscar Mercado.,2025,
,667725,595777,No event,called_strike,Jurickson Profar singles on a line drive to right fielder Óscar Mercado.,2025,
,667725,595777,No event,ball,Jurickson Profar singles on a line drive to right fielder Óscar Mercado.,2025,
,667725,595777,No event,called_strike,Jurickson Profar singles on a line drive to right fielder Óscar Mercado.,2025,
,667725,595777,No event,ball,Jurickson Profar singles on a line drive to right fielder Óscar Mercado.,2025,
,667725,595777,No event,ball,Jurickson Profar singles on a line drive to right fielder Óscar Mercado.,2025,
,667725,606115,field_out,hit_into_play,Orlando Arcia flies out to right fielder Óscar Mercado.,2025,
,667725,606115,No event,ball,Orlando Arcia flies out to right fielder Óscar Mercado.,2025,
,667725,672284,strikeout,swinging_strike,Jarred Kelenic strikes out swinging.,2025,
,667725,672284,No event,foul,Jarred Kelenic strikes out swinging.,2025,
,667725,672284,No event,called_strike,Jarred Kelenic strikes out swinging.,2025,
,667725,644433,field_out,hit_into_play,"Chadwick Tromp grounds out, second baseman Christian Arroyo to first baseman Buddy Kennedy. Ozzie Albies scores. Michael Harris II to 2nd.",2025,
,667725,644433,No event,ball,"Chadwick Tromp grounds out, second baseman Christian Arroyo to first baseman Buddy Kennedy. Ozzie Albies scores. Michael Harris II to 2nd.",2025,
,667725,644433,No event,ball,"Chadwick Tromp grounds out, second baseman Christian Arroyo to first baseman Buddy Kennedy. Ozzie Albies scores. Michael Harris II to 2nd.",2025,
,667725,671739,single,hit_into_play,Michael Harris II singles on a fly ball to left fielder Cal Stevenson. Marcell Ozuna scores. Ozzie Albies to 3rd.,2025,
,667725,671739,No event,blocked_ball,Michael Harris II singles on a fly ball to left fielder Cal Stevenson. Marcell Ozuna scores. Ozzie Albies to 3rd.,2025,
,667725,671739,No event,ball,Michael Harris II singles on a fly ball to left fielder Cal Stevenson. Marcell Ozuna scores. Ozzie Albies to 3rd.,2025,
,667725,671739,No event,called_strike,Michael Harris II singles on a fly ball to left fielder Cal Stevenson. Marcell Ozuna scores. Ozzie Albies to 3rd.,2025,
,667725,645277,double,hit_into_play,Ozzie Albies doubles (2) on a line drive to right fielder Óscar Mercado. Matt Olson scores. Marcell Ozuna to 3rd.,2025,
,667725,645277,No event,foul,Ozzie Albies doubles (2) on a line drive to right fielder Óscar Mercado. Matt Olson scores. Marcell Ozuna to 3rd.,2025,
,667725,645277,No event,swinging_strike,Ozzie Albies doubles (2) on a line drive to right fielder Óscar Mercado. Matt Olson scores. Marcell Ozuna to 3rd.,2025,
,667725,645277,No event,ball,Ozzie Albies doubles (2) on a line drive to right fielder Óscar Mercado. Matt Olson scores. Marcell Ozuna to 3rd.,2025,
,667725,542303,walk,ball,Marcell Ozuna walks. Matt Olson to 2nd.,2025,
