pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,521230,543877,field_out,hit_into_play,Christian Vázquez pops out to shortstop Trevor Story.,2025,Slider
FF,521230,543877,No event,foul,Christian Vázquez pops out to shortstop Trevor Story.,2025,4-Seam Fastball
CU,521230,543877,No event,foul,Christian Vázquez pops out to shortstop Trevor Story.,2025,Curveball
FF,521230,543877,No event,foul,Christian Vázquez pops out to shortstop Trevor Story.,2025,4-Seam Fastball
SL,521230,543877,No event,swinging_strike,Christian Vázquez pops out to shortstop Trevor Story.,2025,Slider
FF,521230,543877,No event,ball,Christian Vázquez pops out to shortstop Trevor Story.,2025,4-Seam Fastball
FF,521230,543877,No event,ball,Christian Vázquez pops out to shortstop Trevor Story.,2025,4-Seam Fastball
,521230,628451,field_out,hit_into_play,Andy Ibáñez flies out to right fielder Wilyer Abreu.,2025,
,521230,628451,No event,blocked_ball,Andy Ibáñez flies out to right fielder Wilyer Abreu.,2025,
,521230,628451,No event,called_strike,Andy Ibáñez flies out to right fielder Wilyer Abreu.,2025,
,521230,628451,No event,ball,Andy Ibáñez flies out to right fielder Wilyer Abreu.,2025,
,521230,628451,No event,blocked_ball,Andy Ibáñez flies out to right fielder Wilyer Abreu.,2025,
,521230,685382,single,hit_into_play,Andrew Navigato singles on a sharp fly ball to left fielder Kolby Johnson. Roberto Campos scores.,2025,
,521230,685382,No event,ball,Andrew Navigato singles on a sharp fly ball to left fielder Kolby Johnson. Roberto Campos scores.,2025,
,521230,685382,No event,called_strike,Andrew Navigato singles on a sharp fly ball to left fielder Kolby Johnson. Roberto Campos scores.,2025,
,521230,685382,No event,ball,Andrew Navigato singles on a sharp fly ball to left fielder Kolby Johnson. Roberto Campos scores.,2025,
,521230,656716,double,hit_into_play,Zach McKinstry doubles (1) on a fly ball to left fielder Kolby Johnson.,2025,
,521230,676632,field_out,hit_into_play,"Bligh Madris grounds out, second baseman Marcelo Mayer to first baseman Nathan Hickey.",2025,
,521230,676632,No event,ball,"Bligh Madris grounds out, second baseman Marcelo Mayer to first baseman Nathan Hickey.",2025,
,521230,676632,No event,swinging_strike,"Bligh Madris grounds out, second baseman Marcelo Mayer to first baseman Nathan Hickey.",2025,
,521230,676632,No event,ball,"Bligh Madris grounds out, second baseman Marcelo Mayer to first baseman Nathan Hickey.",2025,
,521230,676632,No event,foul,"Bligh Madris grounds out, second baseman Marcelo Mayer to first baseman Nathan Hickey.",2025,
,521230,663330,field_out,hit_into_play,"Jahmai Jones grounds out, shortstop Nick Sogard to first baseman Nathan Hickey.",2025,
