pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,671106,493329,walk,ball,Yuli Gurriel walks.,2025,Sweeper
CH,671106,493329,No event,ball,Yuli Gurriel walks.,2025,Changeup
ST,671106,493329,No event,called_strike,Yuli Gurriel walks.,2025,Sweeper
CH,671106,493329,No event,ball,Yuli Gurriel walks.,2025,Changeup
CH,671106,493329,No event,ball,Yuli Gurriel walks.,2025,Changeup
SI,671106,701538,walk,ball,Jackson Merrill walks.,2025,Sinker
ST,671106,701538,No event,ball,Jackson Merrill walks.,2025,Sweeper
SI,671106,701538,No event,foul,Jackson Merrill walks.,2025,Sinker
CH,671106,701538,No event,ball,Jackson Merrill walks.,2025,Changeup
ST,671106,701538,No event,ball,Jackson Merrill walks.,2025,Sweeper
ST,671106,701538,No event,foul,Jackson Merrill walks.,2025,Sweeper
ST,671106,701538,No event,foul,Jackson Merrill walks.,2025,Sweeper
SI,671106,701538,No event,foul,Jackson Merrill walks.,2025,Sinker
ST,671106,701538,No event,foul,Jackson Merrill walks.,2025,Sweeper
CH,671106,593428,strikeout,swinging_strike,Xander Bogaerts strikes out swinging.,2025,Changeup
ST,671106,593428,No event,ball,Xander Bogaerts strikes out swinging.,2025,Sweeper
CH,671106,593428,No event,foul,Xander Bogaerts strikes out swinging.,2025,Changeup
CH,671106,593428,No event,swinging_strike,Xander Bogaerts strikes out swinging.,2025,Changeup
ST,671106,593428,No event,ball,Xander Bogaerts strikes out swinging.,2025,Sweeper
ST,671106,593428,No event,called_strike,Xander Bogaerts strikes out swinging.,2025,Sweeper
CH,671106,592518,single,hit_into_play,"Manny Machado singles on a line drive to left fielder Steven Kwan. Luis Arraez out at 3rd on the throw, left fielder Steven Kwan to third baseman José Ramírez.",2025,Changeup
ST,671106,592518,No event,blocked_ball,"Manny Machado singles on a line drive to left fielder Steven Kwan. Luis Arraez out at 3rd on the throw, left fielder Steven Kwan to third baseman José Ramírez.",2025,Sweeper
ST,671106,592518,No event,ball,"Manny Machado singles on a line drive to left fielder Steven Kwan. Luis Arraez out at 3rd on the throw, left fielder Steven Kwan to third baseman José Ramírez.",2025,Sweeper
SI,671106,650333,single,hit_into_play,Luis Arraez singles on a line drive to left fielder Steven Kwan. Brandon Lockridge scores.,2025,Sinker
ST,671106,650333,No event,foul,Luis Arraez singles on a line drive to left fielder Steven Kwan. Brandon Lockridge scores.,2025,Sweeper
ST,671106,650333,No event,blocked_ball,Luis Arraez singles on a line drive to left fielder Steven Kwan. Brandon Lockridge scores.,2025,Sweeper
SI,671106,650333,No event,foul,Luis Arraez singles on a line drive to left fielder Steven Kwan. Brandon Lockridge scores.,2025,Sinker
ST,671106,650333,No event,ball,Luis Arraez singles on a line drive to left fielder Steven Kwan. Brandon Lockridge scores.,2025,Sweeper
ST,671106,650333,No event,foul,Luis Arraez singles on a line drive to left fielder Steven Kwan. Brandon Lockridge scores.,2025,Sweeper
FF,671106,665487,sac_fly,hit_into_play,Fernando Tatis Jr. out on a sacrifice fly to center fielder Daniel Schneemann. Jose Iglesias scores. Brandon Lockridge to 3rd.,2025,4-Seam Fastball
FF,671106,665487,No event,called_strike,Fernando Tatis Jr. out on a sacrifice fly to center fielder Daniel Schneemann. Jose Iglesias scores. Brandon Lockridge to 3rd.,2025,4-Seam Fastball
ST,671106,553869,sac_bunt,hit_into_play,Elias Díaz out on a sacrifice bunt to first baseman Carlos Santana. Jose Iglesias to 3rd. Brandon Lockridge to 2nd.,2025,Sweeper
CH,671106,553869,No event,called_strike,Elias Díaz out on a sacrifice bunt to first baseman Carlos Santana. Jose Iglesias to 3rd. Brandon Lockridge to 2nd.,2025,Changeup
SI,671106,553869,No event,foul_bunt,Elias Díaz out on a sacrifice bunt to first baseman Carlos Santana. Jose Iglesias to 3rd. Brandon Lockridge to 2nd.,2025,Sinker
CH,671106,663604,walk,ball,Brandon Lockridge walks.,2025,Changeup
FF,671106,663604,No event,ball,Brandon Lockridge walks.,2025,4-Seam Fastball
CH,671106,663604,No event,ball,Brandon Lockridge walks.,2025,Changeup
CH,671106,663604,No event,swinging_strike,Brandon Lockridge walks.,2025,Changeup
FF,671106,663604,No event,ball,Brandon Lockridge walks.,2025,4-Seam Fastball
FF,671106,663604,No event,called_strike,Brandon Lockridge walks.,2025,4-Seam Fastball
CH,671106,578428,single,hit_into_play,Jose Iglesias singles on a ground ball to shortstop Brayan Rocchio.,2025,Changeup
CH,671106,578428,No event,foul,Jose Iglesias singles on a ground ball to shortstop Brayan Rocchio.,2025,Changeup
