pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,668674,592885,strikeout,swinging_strike,Christian Yelich strikes out swinging.,2025,4-Seam Fastball
CH,668674,592885,No event,foul,Christian Yelich strikes out swinging.,2025,Changeup
FF,668674,592885,No event,ball,Christian Yelich strikes out swinging.,2025,4-Seam Fastball
FF,668674,592885,No event,swinging_strike,Christian Yelich strikes out swinging.,2025,4-Seam Fastball
CH,668674,592885,No event,blocked_ball,Christian Yelich strikes out swinging.,2025,Changeup
FF,668674,592885,No event,ball,Christian Yelich strikes out swinging.,2025,4-Seam Fastball
SL,668674,694192,fielders_choice_out,hit_into_play,"Jackson Chourio reaches on a fielder's choice out, third baseman Jonathan India to catcher Freddy Fermin. Garrett Mitchell out at home. Joey Ortiz to 3rd.",2025,Slider
SI,668674,694192,No event,foul,"Jackson Chourio reaches on a fielder's choice out, third baseman Jonathan India to catcher Freddy Fermin. Garrett Mitchell out at home. Joey Ortiz to 3rd.",2025,Sinker
FF,668674,694192,No event,foul,"Jackson Chourio reaches on a fielder's choice out, third baseman Jonathan India to catcher Freddy Fermin. Garrett Mitchell out at home. Joey Ortiz to 3rd.",2025,4-Seam Fastball
SI,668674,672356,grounded_into_double_play,hit_into_play,"Gabriel Arias grounds into a double play, second baseman Michael Massey to first baseman Salvador Perez. Brayan Rocchio out at 2nd. Gabriel Arias out at 1st.",2025,Sinker
SL,668674,672356,No event,ball,"Gabriel Arias grounds into a double play, second baseman Michael Massey to first baseman Salvador Perez. Brayan Rocchio out at 2nd. Gabriel Arias out at 1st.",2025,Slider
SI,668674,672356,No event,foul,"Gabriel Arias grounds into a double play, second baseman Michael Massey to first baseman Salvador Perez. Brayan Rocchio out at 2nd. Gabriel Arias out at 1st.",2025,Sinker
FF,668674,672356,No event,ball,"Gabriel Arias grounds into a double play, second baseman Michael Massey to first baseman Salvador Perez. Brayan Rocchio out at 2nd. Gabriel Arias out at 1st.",2025,4-Seam Fastball
CH,668674,680757,field_out,hit_into_play,Steven Kwan flies out to center fielder Kyle Isbel.,2025,Changeup
SI,668674,680757,No event,called_strike,Steven Kwan flies out to center fielder Kyle Isbel.,2025,Sinker
SL,668674,677587,single,hit_into_play,Brayan Rocchio singles on a ground ball to pitcher Lucas Erceg.,2025,Slider
SL,668674,677587,No event,foul,Brayan Rocchio singles on a ground ball to pitcher Lucas Erceg.,2025,Slider
FF,668674,677587,No event,foul,Brayan Rocchio singles on a ground ball to pitcher Lucas Erceg.,2025,4-Seam Fastball
FF,668674,677587,No event,foul,Brayan Rocchio singles on a ground ball to pitcher Lucas Erceg.,2025,4-Seam Fastball
CH,668674,677587,No event,called_strike,Brayan Rocchio singles on a ground ball to pitcher Lucas Erceg.,2025,Changeup
FF,668674,677587,No event,ball,Brayan Rocchio singles on a ground ball to pitcher Lucas Erceg.,2025,4-Seam Fastball
SI,668674,657041,field_out,hit_into_play,"Lane Thomas grounds out, third baseman Jonathan India to first baseman Cavan Biggio.",2025,Sinker
SL,668674,657041,No event,ball,"Lane Thomas grounds out, third baseman Jonathan India to first baseman Cavan Biggio.",2025,Slider
SL,668674,657041,No event,called_strike,"Lane Thomas grounds out, third baseman Jonathan India to first baseman Cavan Biggio.",2025,Slider
SI,668674,608070,field_out,hit_into_play,José Ramírez flies out to center fielder Kyle Isbel.,2025,Sinker
SI,668674,608070,No event,foul,José Ramírez flies out to center fielder Kyle Isbel.,2025,Sinker
CH,668674,608070,No event,foul,José Ramírez flies out to center fielder Kyle Isbel.,2025,Changeup
CH,668674,608070,No event,ball,José Ramírez flies out to center fielder Kyle Isbel.,2025,Changeup
SL,668674,608070,No event,foul,José Ramírez flies out to center fielder Kyle Isbel.,2025,Slider
CH,668674,608070,No event,ball,José Ramírez flies out to center fielder Kyle Isbel.,2025,Changeup
FF,668674,608070,No event,called_strike,José Ramírez flies out to center fielder Kyle Isbel.,2025,4-Seam Fastball
CH,668674,694497,strikeout,swinging_strike,Evan Carter strikes out swinging.,2025,Changeup
FF,668674,694497,No event,ball,Evan Carter strikes out swinging.,2025,4-Seam Fastball
SL,668674,694497,No event,foul,Evan Carter strikes out swinging.,2025,Slider
