pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,692285,694212,strikeout,swinging_strike,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,foul,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,foul,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,foul,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,foul,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,foul,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,foul,Samuel Basallo strikes out swinging.,2025,
,692285,694212,No event,ball,Samuel Basallo strikes out swinging.,2025,
,692285,703202,walk,ball,Leandro Arias walks.,2025,
,692285,703202,No event,ball,Leandro Arias walks.,2025,
,692285,703202,No event,called_strike,Leandro Arias walks.,2025,
,692285,703202,No event,ball,Leandro Arias walks.,2025,
,692285,703202,No event,ball,Leandro Arias walks.,2025,
,692285,690961,hit_by_pitch,hit_by_pitch,Enrique Bradfield Jr. hit by pitch. Collin Burns to 2nd.,2025,
,692285,687637,field_out,hit_into_play,Dylan Beavers flies out to left fielder Juan Chacon.,2025,
,692285,687637,No event,ball,Dylan Beavers flies out to left fielder Juan Chacon.,2025,
,692285,687637,No event,called_strike,Dylan Beavers flies out to left fielder Juan Chacon.,2025,
,692285,687637,No event,called_strike,Dylan Beavers flies out to left fielder Juan Chacon.,2025,
,692285,676679,hit_by_pitch,hit_by_pitch,Luis Vazquez hit by pitch.,2025,
,692285,676679,No event,called_strike,Luis Vazquez hit by pitch.,2025,
,692285,670276,walk,ball,Cal Stevenson walks. Kody Clemens to 2nd.,2025,
,692285,670276,No event,ball,Cal Stevenson walks. Kody Clemens to 2nd.,2025,
,692285,670276,No event,swinging_strike,Cal Stevenson walks. Kody Clemens to 2nd.,2025,
,692285,670276,No event,ball,Cal Stevenson walks. Kody Clemens to 2nd.,2025,
,692285,670276,No event,called_strike,Cal Stevenson walks. Kody Clemens to 2nd.,2025,
,692285,670276,No event,ball,Cal Stevenson walks. Kody Clemens to 2nd.,2025,
