pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,695243,673548,strikeout,swinging_strike,Seiya Suzuki strikes out swinging.,2025,4-Seam Fastball
FF,695243,673548,No event,ball,Seiya Suzuki strikes out swinging.,2025,4-Seam Fastball
SL,695243,673548,No event,foul,Seiya Suzuki strikes out swinging.,2025,Slider
SL,695243,673548,No event,swinging_strike,Seiya Suzuki strikes out swinging.,2025,Slider
SL,695243,673548,No event,ball,Seiya Suzuki strikes out swinging.,2025,Slider
SL,695243,664023,field_out,hit_into_play,"Ian Happ grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Slider
FF,695243,664023,No event,ball,"Ian Happ grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
SL,695243,608348,strikeout,swinging_strike,Carson Kelly strikes out swinging.,2025,Slider
SL,695243,608348,No event,ball,Carson Kelly strikes out swinging.,2025,Slider
FF,695243,608348,No event,foul,Carson Kelly strikes out swinging.,2025,4-Seam Fastball
SL,695243,608348,No event,ball,Carson Kelly strikes out swinging.,2025,Slider
FF,695243,608348,No event,foul,Carson Kelly strikes out swinging.,2025,4-Seam Fastball
SL,695243,677594,strikeout,called_strike,Julio Rodríguez called out on strikes.,2025,Slider
SL,695243,677594,No event,swinging_strike_blocked,Julio Rodríguez called out on strikes.,2025,Slider
SL,695243,677594,No event,swinging_strike,Julio Rodríguez called out on strikes.,2025,Slider
FF,695243,645302,strikeout,foul_tip,Victor Robles strikes out on a foul tip.,2025,4-Seam Fastball
SL,695243,645302,No event,foul,Victor Robles strikes out on a foul tip.,2025,Slider
FF,695243,645302,No event,foul,Victor Robles strikes out on a foul tip.,2025,4-Seam Fastball
FF,695243,645302,No event,ball,Victor Robles strikes out on a foul tip.,2025,4-Seam Fastball
SL,695243,641487,single,hit_into_play,J.P. Crawford singles on a fly ball to right fielder Lawrence Butler.,2025,Slider
FF,695243,641487,No event,foul,J.P. Crawford singles on a fly ball to right fielder Lawrence Butler.,2025,4-Seam Fastball
SL,695243,641487,No event,foul,J.P. Crawford singles on a fly ball to right fielder Lawrence Butler.,2025,Slider
FF,695243,641487,No event,ball,J.P. Crawford singles on a fly ball to right fielder Lawrence Butler.,2025,4-Seam Fastball
SL,695243,641487,No event,called_strike,J.P. Crawford singles on a fly ball to right fielder Lawrence Butler.,2025,Slider
SL,695243,641487,No event,called_strike,J.P. Crawford singles on a fly ball to right fielder Lawrence Butler.,2025,Slider
SL,695243,669208,strikeout,swinging_strike,Ryan Bliss strikes out swinging.,2025,Slider
FF,695243,669208,No event,called_strike,Ryan Bliss strikes out swinging.,2025,4-Seam Fastball
FF,695243,669208,No event,swinging_strike,Ryan Bliss strikes out swinging.,2025,4-Seam Fastball
FF,695243,669208,No event,ball,Ryan Bliss strikes out swinging.,2025,4-Seam Fastball
SL,695243,676070,strikeout,swinging_strike,Jacob Amaya strikes out swinging.,2025,Slider
FF,695243,676070,No event,foul,Jacob Amaya strikes out swinging.,2025,4-Seam Fastball
FF,695243,676070,No event,ball,Jacob Amaya strikes out swinging.,2025,4-Seam Fastball
SL,695243,676070,No event,ball,Jacob Amaya strikes out swinging.,2025,Slider
SL,695243,676070,No event,foul,Jacob Amaya strikes out swinging.,2025,Slider
SL,695243,676070,No event,called_strike,Jacob Amaya strikes out swinging.,2025,Slider
FF,695243,572191,field_out,hit_into_play,Michael A. Taylor bunt pops out softly to pitcher Mason Miller.,2025,4-Seam Fastball
FF,695243,672820,double,hit_into_play,Lenyn Sosa doubles (4) on a sharp line drive to center fielder Henry Bolte. Miguel Vargas scores.,2025,4-Seam Fastball
FF,695243,672820,No event,ball,Lenyn Sosa doubles (4) on a sharp line drive to center fielder Henry Bolte. Miguel Vargas scores.,2025,4-Seam Fastball
FF,695243,678246,walk,ball,Miguel Vargas walks.,2025,4-Seam Fastball
FF,695243,678246,No event,foul,Miguel Vargas walks.,2025,4-Seam Fastball
FF,695243,678246,No event,ball,Miguel Vargas walks.,2025,4-Seam Fastball
SL,695243,678246,No event,ball,Miguel Vargas walks.,2025,Slider
SL,695243,678246,No event,ball,Miguel Vargas walks.,2025,Slider
FF,695243,678246,No event,called_strike,Miguel Vargas walks.,2025,4-Seam Fastball
FF,695243,680757,grounded_into_double_play,hit_into_play,"Steven Kwan grounds into a double play, shortstop Ali Camarillo to first baseman T.J. Schofield-Sam. Johnathan Rodriguez out at 2nd. Steven Kwan out at 1st.",2025,4-Seam Fastball
FF,695243,680757,No event,foul,"Steven Kwan grounds into a double play, shortstop Ali Camarillo to first baseman T.J. Schofield-Sam. Johnathan Rodriguez out at 2nd. Steven Kwan out at 1st.",2025,4-Seam Fastball
CH,695243,680757,No event,ball,"Steven Kwan grounds into a double play, shortstop Ali Camarillo to first baseman T.J. Schofield-Sam. Johnathan Rodriguez out at 2nd. Steven Kwan out at 1st.",2025,Changeup
FF,695243,680757,No event,ball,"Steven Kwan grounds into a double play, shortstop Ali Camarillo to first baseman T.J. Schofield-Sam. Johnathan Rodriguez out at 2nd. Steven Kwan out at 1st.",2025,4-Seam Fastball
SL,695243,680757,No event,called_strike,"Steven Kwan grounds into a double play, shortstop Ali Camarillo to first baseman T.J. Schofield-Sam. Johnathan Rodriguez out at 2nd. Steven Kwan out at 1st.",2025,Slider
FF,695243,671286,single,hit_into_play,Johnathan Rodriguez singles on a line drive to right fielder Drew Avans.,2025,4-Seam Fastball
FF,695243,671286,No event,swinging_strike,Johnathan Rodriguez singles on a line drive to right fielder Drew Avans.,2025,4-Seam Fastball
FF,695243,671286,No event,ball,Johnathan Rodriguez singles on a line drive to right fielder Drew Avans.,2025,4-Seam Fastball
FF,695243,671286,No event,ball,Johnathan Rodriguez singles on a line drive to right fielder Drew Avans.,2025,4-Seam Fastball
SL,695243,682877,field_out,hit_into_play,Juan Brito lines out to shortstop Luis Urías.,2025,Slider
FF,695243,682877,No event,ball,Juan Brito lines out to shortstop Luis Urías.,2025,4-Seam Fastball
SL,695243,682877,No event,foul,Juan Brito lines out to shortstop Luis Urías.,2025,Slider
FF,695243,682877,No event,ball,Juan Brito lines out to shortstop Luis Urías.,2025,4-Seam Fastball
SL,695243,682877,No event,called_strike,Juan Brito lines out to shortstop Luis Urías.,2025,Slider
,695243,682641,field_out,hit_into_play,Luis Matos flies out to center fielder Drew Avans.,2025,
,695243,682641,No event,called_strike,Luis Matos flies out to center fielder Drew Avans.,2025,
,695243,682641,No event,ball,Luis Matos flies out to center fielder Drew Avans.,2025,
,695243,666464,double,hit_into_play,Jerar Encarnacion doubles (7) on a line drive to center fielder Drew Avans.,2025,
,695243,666464,No event,swinging_strike,Jerar Encarnacion doubles (7) on a line drive to center fielder Drew Avans.,2025,
,695243,666464,No event,foul,Jerar Encarnacion doubles (7) on a line drive to center fielder Drew Avans.,2025,
,695243,656305,strikeout,swinging_strike,Matt Chapman strikes out swinging.,2025,
,695243,656305,No event,swinging_strike,Matt Chapman strikes out swinging.,2025,
,695243,656305,No event,ball,Matt Chapman strikes out swinging.,2025,
,695243,656305,No event,swinging_strike,Matt Chapman strikes out swinging.,2025,
,695243,527038,strikeout,swinging_strike,Wilmer Flores strikes out swinging.,2025,
,695243,527038,No event,foul,Wilmer Flores strikes out swinging.,2025,
,695243,527038,No event,ball,Wilmer Flores strikes out swinging.,2025,
,695243,527038,No event,ball,Wilmer Flores strikes out swinging.,2025,
,695243,527038,No event,called_strike,Wilmer Flores strikes out swinging.,2025,
,695243,677347,field_out,hit_into_play,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,foul,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,ball,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,foul,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,foul,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,ball,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,called_strike,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,677347,No event,called_strike,Kyren Paris pops out to second baseman Zack Gelof.,2025,
,695243,664068,field_out,hit_into_play,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,ball,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,foul,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,ball,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,foul,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,ball,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,swinging_strike,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,664068,No event,called_strike,Scott Kingery pops out to first baseman Miguel Andujar.,2025,
,695243,676116,strikeout,called_strike,Ryan Noda called out on strikes.,2025,
,695243,676116,No event,called_strike,Ryan Noda called out on strikes.,2025,
,695243,676116,No event,ball,Ryan Noda called out on strikes.,2025,
,695243,676116,No event,ball,Ryan Noda called out on strikes.,2025,
,695243,676116,No event,foul,Ryan Noda called out on strikes.,2025,
FF,695243,647304,field_out,hit_into_play,Josh Naylor flies out to center fielder Henry Bolte.,2025,4-Seam Fastball
FF,695243,647304,No event,ball,Josh Naylor flies out to center fielder Henry Bolte.,2025,4-Seam Fastball
FF,695243,647304,No event,ball,Josh Naylor flies out to center fielder Henry Bolte.,2025,4-Seam Fastball
SL,695243,647304,No event,ball,Josh Naylor flies out to center fielder Henry Bolte.,2025,Slider
FF,695243,664983,field_out,hit_into_play,"Jake McCarthy grounds out, shortstop Jacob Wilson to first baseman Nick Kurtz.",2025,4-Seam Fastball
SL,695243,664983,No event,ball,"Jake McCarthy grounds out, shortstop Jacob Wilson to first baseman Nick Kurtz.",2025,Slider
FF,695243,664983,No event,foul,"Jake McCarthy grounds out, shortstop Jacob Wilson to first baseman Nick Kurtz.",2025,4-Seam Fastball
FF,695243,664983,No event,foul,"Jake McCarthy grounds out, shortstop Jacob Wilson to first baseman Nick Kurtz.",2025,4-Seam Fastball
FF,695243,664983,No event,ball,"Jake McCarthy grounds out, shortstop Jacob Wilson to first baseman Nick Kurtz.",2025,4-Seam Fastball
FF,695243,672695,field_out,hit_into_play,Geraldo Perdomo flies out to left fielder Colby Thomas.,2025,4-Seam Fastball
SL,695243,608369,strikeout,swinging_strike,Corey Seager strikes out swinging.,2025,Slider
FF,695243,608369,No event,ball,Corey Seager strikes out swinging.,2025,4-Seam Fastball
FF,695243,608369,No event,foul,Corey Seager strikes out swinging.,2025,4-Seam Fastball
SL,695243,608369,No event,called_strike,Corey Seager strikes out swinging.,2025,Slider
FF,695243,608369,No event,ball,Corey Seager strikes out swinging.,2025,4-Seam Fastball
FF,695243,608369,No event,ball,Corey Seager strikes out swinging.,2025,4-Seam Fastball
SL,695243,543760,field_out,hit_into_play,Marcus Semien pops out to catcher Jhonny Pereda in foul territory.,2025,Slider
FF,695243,543760,No event,foul,Marcus Semien pops out to catcher Jhonny Pereda in foul territory.,2025,4-Seam Fastball
