pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,663362,666464,single,hit_into_play,Jerar Encarnacion singles on a ground ball to right fielder Jake Snider. Charlie Szykowny scores. Sam Huff to 3rd.,2025,
,663362,666464,No event,foul,Jerar Encarnacion singles on a ground ball to right fielder Jake Snider. Charlie Szykowny scores. Sam Huff to 3rd.,2025,
,663362,573262,strikeout,called_strike,Mike Yastrzemski called out on strikes.,2025,
,663362,573262,No event,ball,Mike Yastrzemski called out on strikes.,2025,
,663362,573262,No event,swinging_strike,Mike Yastrzemski called out on strikes.,2025,
,663362,573262,No event,ball,Mike Yastrzemski called out on strikes.,2025,
,663362,573262,No event,called_strike,Mike Yastrzemski called out on strikes.,2025,
,663362,573262,No event,ball,Mike Yastrzemski called out on strikes.,2025,
,663362,669087,hit_by_pitch,hit_by_pitch,Sam Huff hit by pitch.,2025,
,663362,669087,No event,blocked_ball,Sam Huff hit by pitch.,2025,
,663362,669087,No event,ball,Sam Huff hit by pitch.,2025,
,663362,669087,No event,foul,Sam Huff hit by pitch.,2025,
,663362,669087,No event,foul,Sam Huff hit by pitch.,2025,
,663362,669087,No event,foul,Sam Huff hit by pitch.,2025,
,663362,669087,No event,ball,Sam Huff hit by pitch.,2025,
,663362,669087,No event,called_strike,Sam Huff hit by pitch.,2025,
,663362,669087,No event,foul,Sam Huff hit by pitch.,2025,
,663362,527038,single,hit_into_play,Wilmer Flores singles on a fly ball to center fielder Forrest Wall. Victor Bericoto to 2nd.,2025,
,663362,527038,No event,ball,Wilmer Flores singles on a fly ball to center fielder Forrest Wall. Victor Bericoto to 2nd.,2025,
,663362,656305,walk,ball,Matt Chapman walks.,2025,
,663362,656305,No event,ball,Matt Chapman walks.,2025,
,663362,656305,No event,ball,Matt Chapman walks.,2025,
,663362,656305,No event,ball,Matt Chapman walks.,2025,
,663362,656305,No event,called_strike,Matt Chapman walks.,2025,
,663362,808982,field_out,hit_into_play,"Jung Hoo Lee grounds out, first baseman Yuli Gurriel to pitcher Matt Waldron.",2025,
,663362,808982,No event,foul,"Jung Hoo Lee grounds out, first baseman Yuli Gurriel to pitcher Matt Waldron.",2025,
,663362,808982,No event,blocked_ball,"Jung Hoo Lee grounds out, first baseman Yuli Gurriel to pitcher Matt Waldron.",2025,
,663362,642715,strikeout,swinging_strike,Willy Adames strikes out swinging.,2025,
,663362,642715,No event,ball,Willy Adames strikes out swinging.,2025,
,663362,642715,No event,called_strike,Willy Adames strikes out swinging.,2025,
,663362,642715,No event,called_strike,Willy Adames strikes out swinging.,2025,
,663362,671218,single,hit_into_play,Heliot Ramos singles on a ground ball to center fielder Brandon Lockridge.,2025,
,663362,689172,field_out,hit_into_play,Brett Wisely flies out to center fielder Brandon Lockridge.,2025,
,663362,689172,No event,ball,Brett Wisely flies out to center fielder Brandon Lockridge.,2025,
,663362,689172,No event,swinging_strike,Brett Wisely flies out to center fielder Brandon Lockridge.,2025,
,663362,689172,No event,called_strike,Brett Wisely flies out to center fielder Brandon Lockridge.,2025,
,663362,672275,field_out,hit_into_play,Patrick Bailey lines out to shortstop Tyler Wade.,2025,
,663362,672275,No event,blocked_ball,Patrick Bailey lines out to shortstop Tyler Wade.,2025,
,663362,672275,No event,ball,Patrick Bailey lines out to shortstop Tyler Wade.,2025,
,663362,672275,No event,called_strike,Patrick Bailey lines out to shortstop Tyler Wade.,2025,
,663362,527038,walk,blocked_ball,Wilmer Flores walks.,2025,
,663362,527038,No event,blocked_ball,Wilmer Flores walks.,2025,
,663362,527038,No event,ball,Wilmer Flores walks.,2025,
