pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,547179,656555,single,hit_into_play,Rhys Hoskins singles on a ground ball to center fielder Kyle Isbel. Christian Yelich scores. William Contreras to 3rd. Throwing error by center fielder Kyle Isbel.,2025,Cutter
ST,547179,656555,No event,called_strike,Rhys Hoskins singles on a ground ball to center fielder Kyle Isbel. Christian Yelich scores. William Contreras to 3rd. Throwing error by center fielder Kyle Isbel.,2025,Sweeper
CH,547179,686217,strikeout,called_strike,Sal Frelick called out on strikes.,2025,Changeup
ST,547179,686217,No event,ball,Sal Frelick called out on strikes.,2025,Sweeper
FC,547179,686217,No event,ball,Sal Frelick called out on strikes.,2025,Cutter
SI,547179,686217,No event,foul,Sal Frelick called out on strikes.,2025,Sinker
CU,547179,686217,No event,called_strike,Sal Frelick called out on strikes.,2025,Curveball
CH,547179,686217,No event,blocked_ball,Sal Frelick called out on strikes.,2025,Changeup
FF,547179,661388,walk,ball,William Contreras walks.,2025,4-Seam Fastball
CH,547179,661388,No event,blocked_ball,William Contreras walks.,2025,Changeup
SI,547179,661388,No event,foul,William Contreras walks.,2025,Sinker
FF,547179,661388,No event,ball,William Contreras walks.,2025,4-Seam Fastball
ST,547179,661388,No event,ball,William Contreras walks.,2025,Sweeper
ST,547179,661388,No event,swinging_strike,William Contreras walks.,2025,Sweeper
SI,547179,661388,No event,foul,William Contreras walks.,2025,Sinker
CH,547179,592885,walk,ball,Christian Yelich walks.,2025,Changeup
FC,547179,592885,No event,ball,Christian Yelich walks.,2025,Cutter
SI,547179,592885,No event,ball,Christian Yelich walks.,2025,Sinker
FF,547179,592885,No event,ball,Christian Yelich walks.,2025,4-Seam Fastball
FC,547179,592885,No event,foul,Christian Yelich walks.,2025,Cutter
CH,547179,592885,No event,called_strike,Christian Yelich walks.,2025,Changeup
FF,547179,694192,strikeout,swinging_strike,Jackson Chourio strikes out swinging.,2025,4-Seam Fastball
SI,547179,694192,No event,ball,Jackson Chourio strikes out swinging.,2025,Sinker
CH,547179,694192,No event,foul,Jackson Chourio strikes out swinging.,2025,Changeup
ST,547179,694192,No event,foul,Jackson Chourio strikes out swinging.,2025,Sweeper
SI,547179,694192,No event,ball,Jackson Chourio strikes out swinging.,2025,Sinker
