pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,675650,668885,field_out,hit_into_play,Austin Martin lines out to second baseman Buddy Kennedy.,2025,4-Seam Fastball
FF,675650,668885,No event,ball,Austin Martin lines out to second baseman Buddy Kennedy.,2025,4-Seam Fastball
FF,675650,680777,field_out,hit_into_play,"Ryan Jeffers grounds out, second baseman Buddy Kennedy to first baseman Bryce Harper.",2025,4-Seam Fastball
FC,675650,680777,No event,swinging_strike,"Ryan Jeffers grounds out, second baseman Buddy Kennedy to first baseman Bryce Harper.",2025,Cutter
FC,675650,681508,strikeout,swinging_strike,Mickey Gasper strikes out swinging.,2025,Cutter
FC,675650,681508,No event,swinging_strike,Mickey Gasper strikes out swinging.,2025,Cutter
FF,675650,681508,No event,foul,Mickey Gasper strikes out swinging.,2025,4-Seam Fastball
FF,675650,681508,No event,ball,Mickey Gasper strikes out swinging.,2025,4-Seam Fastball
CH,675650,683011,field_out,hit_into_play,"Anthony Volpe grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Changeup
FF,675650,683011,No event,foul,"Anthony Volpe grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,4-Seam Fastball
FC,675650,683011,No event,ball,"Anthony Volpe grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Cutter
FC,675650,683011,No event,swinging_strike,"Anthony Volpe grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Cutter
FC,675650,683011,No event,swinging_strike,"Anthony Volpe grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Cutter
FC,675650,683011,No event,ball,"Anthony Volpe grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Cutter
CH,675650,801276,strikeout,swinging_strike,Juan Matheus strikes out swinging.,2025,Changeup
FC,675650,801276,No event,swinging_strike,Juan Matheus strikes out swinging.,2025,Cutter
FC,675650,801276,No event,swinging_strike,Juan Matheus strikes out swinging.,2025,Cutter
FF,675650,801276,No event,ball,Juan Matheus strikes out swinging.,2025,4-Seam Fastball
FF,675650,641355,home_run,hit_into_play,Cody Bellinger homers (3) on a fly ball to right field. Ben Rice scores.,2025,4-Seam Fastball
FC,675650,641355,No event,foul,Cody Bellinger homers (3) on a fly ball to right field. Ben Rice scores.,2025,Cutter
CU,675650,641355,No event,ball,Cody Bellinger homers (3) on a fly ball to right field. Ben Rice scores.,2025,Curveball
FF,675650,691176,field_out,hit_into_play,Jasson Domínguez lines out to right fielder Nick Castellanos.,2025,4-Seam Fastball
FF,675650,700250,walk,ball,Ben Rice walks.,2025,4-Seam Fastball
CH,675650,700250,No event,ball,Ben Rice walks.,2025,Changeup
FF,675650,700250,No event,foul,Ben Rice walks.,2025,4-Seam Fastball
FC,675650,700250,No event,foul,Ben Rice walks.,2025,Cutter
CU,675650,700250,No event,ball,Ben Rice walks.,2025,Curveball
FF,675650,700250,No event,ball,Ben Rice walks.,2025,4-Seam Fastball
,675650,676679,field_out,hit_into_play,Luis Vazquez lines out to third baseman Buddy Kennedy.,2025,
,675650,676679,No event,called_strike,Luis Vazquez lines out to third baseman Buddy Kennedy.,2025,
,675650,676679,No event,ball,Luis Vazquez lines out to third baseman Buddy Kennedy.,2025,
,675650,687637,strikeout,swinging_strike,Dylan Beavers strikes out swinging.,2025,
,675650,687637,No event,ball,Dylan Beavers strikes out swinging.,2025,
,675650,687637,No event,foul,Dylan Beavers strikes out swinging.,2025,
,675650,687637,No event,swinging_strike,Dylan Beavers strikes out swinging.,2025,
,675650,687637,No event,ball,Dylan Beavers strikes out swinging.,2025,
,675650,663662,strikeout,swinging_strike,Daz Cameron strikes out swinging.,2025,
,675650,663662,No event,foul,Daz Cameron strikes out swinging.,2025,
,675650,663662,No event,foul,Daz Cameron strikes out swinging.,2025,
,675650,663662,No event,ball,Daz Cameron strikes out swinging.,2025,
,675650,800406,field_out,hit_into_play,"Aron Estrada grounds out, second baseman Robert Moore to first baseman Felix Reyes.",2025,
,675650,800406,No event,ball,"Aron Estrada grounds out, second baseman Robert Moore to first baseman Felix Reyes.",2025,
,675650,701689,single,hit_into_play,Vance Honeycutt singles on a line drive to center fielder Cal Stevenson.,2025,
,675650,701689,No event,called_strike,Vance Honeycutt singles on a line drive to center fielder Cal Stevenson.,2025,
,675650,701689,No event,ball,Vance Honeycutt singles on a line drive to center fielder Cal Stevenson.,2025,
,675650,701689,No event,ball,Vance Honeycutt singles on a line drive to center fielder Cal Stevenson.,2025,
,675650,701689,No event,ball,Vance Honeycutt singles on a line drive to center fielder Cal Stevenson.,2025,
,675650,701689,No event,called_strike,Vance Honeycutt singles on a line drive to center fielder Cal Stevenson.,2025,
,675650,675915,field_out,hit_into_play,David Bañuelos flies out to right fielder Matt Kroon.,2025,
,675650,675915,No event,ball,David Bañuelos flies out to right fielder Matt Kroon.,2025,
,675650,675915,No event,swinging_strike,David Bañuelos flies out to right fielder Matt Kroon.,2025,
,675650,675915,No event,called_strike,David Bañuelos flies out to right fielder Matt Kroon.,2025,
,675650,605353,field_out,hit_into_play,"Vimael Machín grounds out, shortstop Bryan Rincon to first baseman Felix Reyes.",2025,
,675650,605353,No event,ball,"Vimael Machín grounds out, shortstop Bryan Rincon to first baseman Felix Reyes.",2025,
,675650,605353,No event,ball,"Vimael Machín grounds out, shortstop Bryan Rincon to first baseman Felix Reyes.",2025,
,675650,605353,No event,ball,"Vimael Machín grounds out, shortstop Bryan Rincon to first baseman Felix Reyes.",2025,
,675650,605353,No event,foul,"Vimael Machín grounds out, shortstop Bryan Rincon to first baseman Felix Reyes.",2025,
,675650,807799,field_out,hit_into_play,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,foul,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,foul,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,ball,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,foul,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,ball,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,ball,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,807799,No event,foul,Masataka Yoshida flies out to left fielder Buddy Kennedy.,2025,
,675650,657136,walk,ball,Connor Wong walks.,2025,
,675650,657136,No event,ball,Connor Wong walks.,2025,
,675650,657136,No event,ball,Connor Wong walks.,2025,
,675650,657136,No event,ball,Connor Wong walks.,2025,
,675650,657136,No event,foul,Connor Wong walks.,2025,
,675650,657136,No event,called_strike,Connor Wong walks.,2025,
,675650,671213,field_out,hit_into_play,"Triston Casas grounds out, second baseman Bryson Stott to first baseman Christian Arroyo.",2025,
,675650,671213,No event,called_strike,"Triston Casas grounds out, second baseman Bryson Stott to first baseman Christian Arroyo.",2025,
FF,675650,641555,field_out,hit_into_play,J.C. Escarra lines out to right fielder Otto Kemp.,2025,4-Seam Fastball
CH,675650,668752,strikeout,swinging_strike_blocked,Duke Ellis strikes out swinging.,2025,Changeup
FC,675650,668752,No event,foul,Duke Ellis strikes out swinging.,2025,Cutter
FF,675650,668752,No event,ball,Duke Ellis strikes out swinging.,2025,4-Seam Fastball
FF,675650,668752,No event,foul,Duke Ellis strikes out swinging.,2025,4-Seam Fastball
CH,675650,668752,No event,swinging_strike,Duke Ellis strikes out swinging.,2025,Changeup
CU,675650,668752,No event,ball,Duke Ellis strikes out swinging.,2025,Curveball
CH,675650,681198,strikeout,swinging_strike,T.J. Rumfield strikes out swinging.,2025,Changeup
CH,675650,681198,No event,ball,T.J. Rumfield strikes out swinging.,2025,Changeup
CU,675650,681198,No event,foul,T.J. Rumfield strikes out swinging.,2025,Curveball
FF,675650,681198,No event,foul,T.J. Rumfield strikes out swinging.,2025,4-Seam Fastball
CH,675650,681198,No event,foul,T.J. Rumfield strikes out swinging.,2025,Changeup
FC,675650,681198,No event,ball,T.J. Rumfield strikes out swinging.,2025,Cutter
FF,675650,681198,No event,called_strike,T.J. Rumfield strikes out swinging.,2025,4-Seam Fastball
FF,675650,692225,strikeout,swinging_strike,Kristian Campbell strikes out swinging.,2025,4-Seam Fastball
FF,675650,692225,No event,ball,Kristian Campbell strikes out swinging.,2025,4-Seam Fastball
FF,675650,692225,No event,ball,Kristian Campbell strikes out swinging.,2025,4-Seam Fastball
FF,675650,692225,No event,foul,Kristian Campbell strikes out swinging.,2025,4-Seam Fastball
FC,675650,692225,No event,foul,Kristian Campbell strikes out swinging.,2025,Cutter
FF,675650,692225,No event,ball,Kristian Campbell strikes out swinging.,2025,4-Seam Fastball
FF,675650,692225,No event,called_strike,Kristian Campbell strikes out swinging.,2025,4-Seam Fastball
FC,675650,701350,walk,ball,Roman Anthony walks. Nick Sogard to 3rd. Nate Eaton to 2nd.,2025,Cutter
CH,675650,701350,No event,blocked_ball,Roman Anthony walks. Nick Sogard to 3rd. Nate Eaton to 2nd.,2025,Changeup
FF,675650,701350,No event,foul,Roman Anthony walks. Nick Sogard to 3rd. Nate Eaton to 2nd.,2025,4-Seam Fastball
FF,675650,701350,No event,ball,Roman Anthony walks. Nick Sogard to 3rd. Nate Eaton to 2nd.,2025,4-Seam Fastball
FC,675650,701350,No event,swinging_strike,Roman Anthony walks. Nick Sogard to 3rd. Nate Eaton to 2nd.,2025,Cutter
CU,675650,701350,No event,ball,Roman Anthony walks. Nick Sogard to 3rd. Nate Eaton to 2nd.,2025,Curveball
FF,675650,681987,walk,ball,Nate Eaton walks. Nick Sogard to 2nd.,2025,4-Seam Fastball
FF,675650,681987,No event,ball,Nate Eaton walks. Nick Sogard to 2nd.,2025,4-Seam Fastball
FC,675650,681987,No event,ball,Nate Eaton walks. Nick Sogard to 2nd.,2025,Cutter
FC,675650,681987,No event,ball,Nate Eaton walks. Nick Sogard to 2nd.,2025,Cutter
FF,675650,572204,strikeout,swinging_strike,Trayce Thompson strikes out swinging.,2025,4-Seam Fastball
FF,675650,572204,No event,ball,Trayce Thompson strikes out swinging.,2025,4-Seam Fastball
CU,675650,572204,No event,blocked_ball,Trayce Thompson strikes out swinging.,2025,Curveball
FC,675650,572204,No event,foul,Trayce Thompson strikes out swinging.,2025,Cutter
FC,675650,572204,No event,swinging_strike,Trayce Thompson strikes out swinging.,2025,Cutter
FF,675650,572204,No event,called_strike,Trayce Thompson strikes out swinging.,2025,4-Seam Fastball
FF,675650,686765,walk,ball,Nick Sogard walks.,2025,4-Seam Fastball
CU,675650,686765,No event,ball,Nick Sogard walks.,2025,Curveball
FF,675650,686765,No event,ball,Nick Sogard walks.,2025,4-Seam Fastball
CU,675650,686765,No event,ball,Nick Sogard walks.,2025,Curveball
,675650,802415,field_out,hit_into_play,Chandler Simpson flies out to center fielder Brandon Marsh.,2025,
,675650,802415,No event,ball,Chandler Simpson flies out to center fielder Brandon Marsh.,2025,
,675650,676609,single,hit_into_play,"José Caballero singles on a ground ball to shortstop Aidan Miller. Curtis Mead scores. José Caballero to 2nd. José Caballero advances to 2nd, on a throwing error by shortstop Aidan Miller.",2025,
,675650,676609,No event,ball,"José Caballero singles on a ground ball to shortstop Aidan Miller. Curtis Mead scores. José Caballero to 2nd. José Caballero advances to 2nd, on a throwing error by shortstop Aidan Miller.",2025,
,675650,676609,No event,ball,"José Caballero singles on a ground ball to shortstop Aidan Miller. Curtis Mead scores. José Caballero to 2nd. José Caballero advances to 2nd, on a throwing error by shortstop Aidan Miller.",2025,
,675650,676609,No event,foul,"José Caballero singles on a ground ball to shortstop Aidan Miller. Curtis Mead scores. José Caballero to 2nd. José Caballero advances to 2nd, on a throwing error by shortstop Aidan Miller.",2025,
,675650,678554,double,hit_into_play,Curtis Mead doubles (1) on a line drive to center fielder Brandon Marsh. Christopher Morel scores.,2025,
,675650,678554,No event,ball,Curtis Mead doubles (1) on a line drive to center fielder Brandon Marsh. Christopher Morel scores.,2025,
,675650,678554,No event,ball,Curtis Mead doubles (1) on a line drive to center fielder Brandon Marsh. Christopher Morel scores.,2025,
,675650,680700,field_out,hit_into_play,Richie Palacios pops out to third baseman Buddy Kennedy.,2025,
,675650,680700,No event,called_strike,Richie Palacios pops out to third baseman Buddy Kennedy.,2025,
,675650,666624,single,hit_into_play,Christopher Morel singles on a line drive to left fielder Justin Crawford.,2025,
,675650,666624,No event,ball,Christopher Morel singles on a line drive to left fielder Justin Crawford.,2025,
,675650,666624,No event,called_strike,Christopher Morel singles on a line drive to left fielder Justin Crawford.,2025,
,675650,666624,No event,swinging_strike,Christopher Morel singles on a line drive to left fielder Justin Crawford.,2025,
,675650,666624,No event,ball,Christopher Morel singles on a line drive to left fielder Justin Crawford.,2025,
,675650,650391,field_out,hit_into_play,"Eloy Jiménez grounds out, pitcher Michael Mercado to first baseman Otto Kemp.",2025,
,675650,650391,No event,called_strike,"Eloy Jiménez grounds out, pitcher Michael Mercado to first baseman Otto Kemp.",2025,
,675650,650391,No event,called_strike,"Eloy Jiménez grounds out, pitcher Michael Mercado to first baseman Otto Kemp.",2025,
,675650,650391,No event,ball,"Eloy Jiménez grounds out, pitcher Michael Mercado to first baseman Otto Kemp.",2025,
,675650,650391,No event,ball,"Eloy Jiménez grounds out, pitcher Michael Mercado to first baseman Otto Kemp.",2025,
,675650,650391,No event,ball,"Eloy Jiménez grounds out, pitcher Michael Mercado to first baseman Otto Kemp.",2025,
FF,675650,670541,home_run,hit_into_play,Yordan Alvarez homers (28) on a line drive to center field.,2024,4-Seam Fastball
