pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,656848,680518,field_out,hit_into_play,Zavier Warren lines out to center fielder Matthew Lugo.,2025,
,656848,800325,single,hit_into_play,Luis Lara singles on a ground ball to third baseman Ben Gobbel.,2025,
,656848,800325,No event,blocked_ball,Luis Lara singles on a ground ball to third baseman Ben Gobbel.,2025,
,656848,800325,No event,called_strike,Luis Lara singles on a ground ball to third baseman Ben Gobbel.,2025,
,656848,699127,strikeout,called_strike,Luis Castillo called out on strikes.,2025,
,656848,699127,No event,ball,Luis Castillo called out on strikes.,2025,
,656848,699127,No event,called_strike,Luis Castillo called out on strikes.,2025,
,656848,699127,No event,called_strike,Luis Castillo called out on strikes.,2025,
,656848,815304,strikeout,swinging_strike,Josh Adamczewski strikes out swinging.,2025,
,656848,815304,No event,ball,Josh Adamczewski strikes out swinging.,2025,
,656848,815304,No event,foul,Josh Adamczewski strikes out swinging.,2025,
,656848,815304,No event,foul,Josh Adamczewski strikes out swinging.,2025,
,656848,815304,No event,ball,Josh Adamczewski strikes out swinging.,2025,
,656848,815304,No event,ball,Josh Adamczewski strikes out swinging.,2025,
,656848,691016,strikeout,called_strike,Tyler Soderstrom called out on strikes.,2025,
,656848,691016,No event,ball,Tyler Soderstrom called out on strikes.,2025,
,656848,691016,No event,ball,Tyler Soderstrom called out on strikes.,2025,
,656848,691016,No event,foul,Tyler Soderstrom called out on strikes.,2025,
,656848,691016,No event,foul,Tyler Soderstrom called out on strikes.,2025,
,656848,669722,field_out,hit_into_play,Logan Davidson flies out to center fielder Jo Adell.,2025,
,656848,669722,No event,ball,Logan Davidson flies out to center fielder Jo Adell.,2025,
,656848,687231,field_out,hit_into_play,Darell Hernaiz flies out to center fielder Jo Adell.,2025,
,656848,687231,No event,called_strike,Darell Hernaiz flies out to center fielder Jo Adell.,2025,
,656848,680769,walk,ball,CJ Alexander walks. Seth Brown to 2nd.,2025,
,656848,680769,No event,ball,CJ Alexander walks. Seth Brown to 2nd.,2025,
,656848,680769,No event,ball,CJ Alexander walks. Seth Brown to 2nd.,2025,
