pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,608379,677587,grounded_into_double_play,hit_into_play,"Brayan Rocchio grounds into a double play, second baseman Michael Massey to shortstop Bobby Witt Jr. to first baseman Salvador Perez. Daniel Schneemann out at 2nd. Brayan Rocchio out at 1st.",2025,Curveball
CH,608379,677587,No event,foul,"Brayan Rocchio grounds into a double play, second baseman Michael Massey to shortstop Bobby Witt Jr. to first baseman Salvador Perez. Daniel Schneemann out at 2nd. Brayan Rocchio out at 1st.",2025,Changeup
FF,608379,677587,No event,foul,"Brayan Rocchio grounds into a double play, second baseman Michael Massey to shortstop Bobby Witt Jr. to first baseman Salvador Perez. Daniel Schneemann out at 2nd. Brayan Rocchio out at 1st.",2025,4-Seam Fastball
CH,608379,677587,No event,called_strike,"Brayan Rocchio grounds into a double play, second baseman Michael Massey to shortstop Bobby Witt Jr. to first baseman Salvador Perez. Daniel Schneemann out at 2nd. Brayan Rocchio out at 1st.",2025,Changeup
FF,608379,677587,No event,ball,"Brayan Rocchio grounds into a double play, second baseman Michael Massey to shortstop Bobby Witt Jr. to first baseman Salvador Perez. Daniel Schneemann out at 2nd. Brayan Rocchio out at 1st.",2025,4-Seam Fastball
FF,608379,682177,walk,ball,Daniel Schneemann walks. Gabriel Arias to 2nd.,2025,4-Seam Fastball
CH,608379,682177,No event,ball,Daniel Schneemann walks. Gabriel Arias to 2nd.,2025,Changeup
CH,608379,682177,No event,blocked_ball,Daniel Schneemann walks. Gabriel Arias to 2nd.,2025,Changeup
FF,608379,682177,No event,ball,Daniel Schneemann walks. Gabriel Arias to 2nd.,2025,4-Seam Fastball
SI,608379,672356,single,hit_into_play,Gabriel Arias singles on a soft bunt ground ball to third baseman Maikel Garcia.,2025,Sinker
CU,608379,666310,strikeout,swinging_strike,Bo Naylor strikes out swinging.,2025,Curveball
SL,608379,666310,No event,foul,Bo Naylor strikes out swinging.,2025,Slider
CU,608379,666310,No event,foul,Bo Naylor strikes out swinging.,2025,Curveball
CH,608379,666134,strikeout,foul_tip,Nolan Jones strikes out on a foul tip.,2025,Changeup
FF,608379,666134,No event,ball,Nolan Jones strikes out on a foul tip.,2025,4-Seam Fastball
FF,608379,666134,No event,foul,Nolan Jones strikes out on a foul tip.,2025,4-Seam Fastball
