pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,671305,677943,grounded_into_double_play,hit_into_play,"Will Banfield grounds into a double play, shortstop Alejo Lopez to second baseman Darell Hernaiz to first baseman Carter Aldrete. Will Benson out at 2nd. Will Banfield out at 1st.",2025,Sinker
SI,671305,677943,No event,ball,"Will Banfield grounds into a double play, shortstop Alejo Lopez to second baseman Darell Hernaiz to first baseman Carter Aldrete. Will Benson out at 2nd. Will Banfield out at 1st.",2025,Sinker
FF,671305,666181,single,hit_into_play,Will Benson singles on a ground ball to right fielder Jared Dickey. Austin Callahan to 3rd.,2025,4-Seam Fastball
FF,671305,666181,No event,ball,Will Benson singles on a ground ball to right fielder Jared Dickey. Austin Callahan to 3rd.,2025,4-Seam Fastball
SL,671305,666181,No event,ball,Will Benson singles on a ground ball to right fielder Jared Dickey. Austin Callahan to 3rd.,2025,Slider
SL,671305,666181,No event,swinging_strike,Will Benson singles on a ground ball to right fielder Jared Dickey. Austin Callahan to 3rd.,2025,Slider
SL,671305,666181,No event,blocked_ball,Will Benson singles on a ground ball to right fielder Jared Dickey. Austin Callahan to 3rd.,2025,Slider
FF,671305,674441,strikeout,foul_tip,Jacob Hurtubise strikes out on a foul tip.,2025,4-Seam Fastball
FF,671305,674441,No event,foul,Jacob Hurtubise strikes out on a foul tip.,2025,4-Seam Fastball
FF,671305,674441,No event,ball,Jacob Hurtubise strikes out on a foul tip.,2025,4-Seam Fastball
FF,671305,674441,No event,swinging_strike,Jacob Hurtubise strikes out on a foul tip.,2025,4-Seam Fastball
FF,671305,674441,No event,ball,Jacob Hurtubise strikes out on a foul tip.,2025,4-Seam Fastball
FF,671305,674441,No event,foul,Jacob Hurtubise strikes out on a foul tip.,2025,4-Seam Fastball
SL,671305,674441,No event,ball,Jacob Hurtubise strikes out on a foul tip.,2025,Slider
FF,671305,702472,walk,ball,Austin Callahan walks.,2025,4-Seam Fastball
FF,671305,702472,No event,swinging_strike,Austin Callahan walks.,2025,4-Seam Fastball
FF,671305,702472,No event,ball,Austin Callahan walks.,2025,4-Seam Fastball
FF,671305,702472,No event,ball,Austin Callahan walks.,2025,4-Seam Fastball
SI,671305,702472,No event,ball,Austin Callahan walks.,2025,Sinker
FF,671305,702472,No event,called_strike,Austin Callahan walks.,2025,4-Seam Fastball
FF,671305,808975,single,hit_into_play,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,4-Seam Fastball
SL,671305,808975,No event,ball,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,Slider
FF,671305,808975,No event,foul,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,4-Seam Fastball
FF,671305,808975,No event,foul,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,4-Seam Fastball
SL,671305,808975,No event,swinging_strike,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,Slider
FF,671305,808975,No event,swinging_strike,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,4-Seam Fastball
FF,671305,808975,No event,ball,Hyeseong Kim singles on a line drive to center fielder Drew Avans. David Bote scores. Chris Taylor scores. Dalton Rushing to 3rd. Hyeseong Kim to 2nd.,2025,4-Seam Fastball
FF,671305,687221,walk,ball,Dalton Rushing walks.,2025,4-Seam Fastball
FF,671305,687221,No event,foul,Dalton Rushing walks.,2025,4-Seam Fastball
FF,671305,687221,No event,ball,Dalton Rushing walks.,2025,4-Seam Fastball
SL,671305,687221,No event,foul,Dalton Rushing walks.,2025,Slider
SI,671305,687221,No event,blocked_ball,Dalton Rushing walks.,2025,Sinker
SL,671305,687221,No event,foul,Dalton Rushing walks.,2025,Slider
FF,671305,687221,No event,ball,Dalton Rushing walks.,2025,4-Seam Fastball
FF,671305,592696,strikeout,swinging_strike,Eddie Rosario strikes out swinging.,2025,4-Seam Fastball
SL,671305,592696,No event,foul,Eddie Rosario strikes out swinging.,2025,Slider
FF,671305,592696,No event,blocked_ball,Eddie Rosario strikes out swinging.,2025,4-Seam Fastball
FF,671305,592696,No event,foul,Eddie Rosario strikes out swinging.,2025,4-Seam Fastball
FF,671305,592696,No event,swinging_strike,Eddie Rosario strikes out swinging.,2025,4-Seam Fastball
SI,671305,592696,No event,ball,Eddie Rosario strikes out swinging.,2025,Sinker
SI,671305,592696,No event,ball,Eddie Rosario strikes out swinging.,2025,Sinker
FF,671305,621035,single,hit_into_play,"Chris Taylor singles on a ground ball to right fielder Carlos Cortes, deflected by first baseman Carter Aldrete. David Bote to 3rd.",2025,4-Seam Fastball
SI,671305,623520,walk,ball,David Bote walks.,2025,Sinker
FF,671305,623520,No event,foul,David Bote walks.,2025,4-Seam Fastball
SL,671305,623520,No event,ball,David Bote walks.,2025,Slider
SL,671305,623520,No event,ball,David Bote walks.,2025,Slider
SL,671305,623520,No event,called_strike,David Bote walks.,2025,Slider
FF,671305,623520,No event,ball,David Bote walks.,2025,4-Seam Fastball
SI,671305,681546,strikeout,called_strike,"Dodgers challenged (pitch result), call on the field was upheld: James Outman called out on strikes.",2025,Sinker
SL,671305,681546,No event,ball,"Dodgers challenged (pitch result), call on the field was upheld: James Outman called out on strikes.",2025,Slider
SL,671305,681546,No event,ball,"Dodgers challenged (pitch result), call on the field was upheld: James Outman called out on strikes.",2025,Slider
FF,671305,681546,No event,swinging_strike,"Dodgers challenged (pitch result), call on the field was upheld: James Outman called out on strikes.",2025,4-Seam Fastball
SL,671305,681546,No event,swinging_strike,"Dodgers challenged (pitch result), call on the field was upheld: James Outman called out on strikes.",2025,Slider
SI,671305,681546,No event,ball,"Dodgers challenged (pitch result), call on the field was upheld: James Outman called out on strikes.",2025,Sinker
,671305,678877,strikeout,swinging_strike,Jhonkensy Noel strikes out swinging.,2025,
,671305,678877,No event,foul,Jhonkensy Noel strikes out swinging.,2025,
,671305,678877,No event,ball,Jhonkensy Noel strikes out swinging.,2025,
,671305,678877,No event,ball,Jhonkensy Noel strikes out swinging.,2025,
,671305,678877,No event,swinging_strike,Jhonkensy Noel strikes out swinging.,2025,
,671305,678877,No event,foul,Jhonkensy Noel strikes out swinging.,2025,
,671305,700932,strikeout,swinging_strike,Kyle Manzardo strikes out swinging.,2025,
