pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,687765,673548,field_out,hit_into_play,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,Curveball
SL,687765,673548,No event,called_strike,Seiya Suzuki flies out to center fielder JJ Bleday.,2025,Slider
CU,687765,664023,field_out,hit_into_play,"Ian Happ grounds out, first baseman Tyler Soderstrom to pitcher Mitch Spence.",2025,Curveball
FC,687765,608348,field_out,hit_into_play,"Carson Kelly grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Cutter
FC,687765,608348,No event,swinging_strike,"Carson Kelly grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Cutter
FC,687765,608348,No event,foul,"Carson Kelly grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Cutter
FC,687765,608348,No event,ball,"Carson Kelly grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Cutter
FC,687765,807713,strikeout,swinging_strike,Matt Shaw strikes out swinging.,2025,Cutter
SL,687765,807713,No event,ball,Matt Shaw strikes out swinging.,2025,Slider
FC,687765,807713,No event,called_strike,Matt Shaw strikes out swinging.,2025,Cutter
SL,687765,807713,No event,blocked_ball,Matt Shaw strikes out swinging.,2025,Slider
SL,687765,807713,No event,called_strike,Matt Shaw strikes out swinging.,2025,Slider
CU,687765,691718,double,hit_into_play,Pete Crow-Armstrong doubles (3) on a line drive to left fielder Seth Brown. Nico Hoerner scores.,2025,Curveball
FC,687765,663538,single,hit_into_play,Nico Hoerner singles on a ground ball to right fielder Lawrence Butler. Kyle Tucker scores. Nico Hoerner to 2nd.,2025,Cutter
FC,687765,621020,strikeout,called_strike,Dansby Swanson called out on strikes.,2025,Cutter
CU,687765,621020,No event,ball,Dansby Swanson called out on strikes.,2025,Curveball
FC,687765,621020,No event,foul,Dansby Swanson called out on strikes.,2025,Cutter
FC,687765,621020,No event,swinging_strike,Dansby Swanson called out on strikes.,2025,Cutter
SL,687765,621020,No event,blocked_ball,Dansby Swanson called out on strikes.,2025,Slider
SL,687765,621020,No event,ball,Dansby Swanson called out on strikes.,2025,Slider
FC,687765,457759,field_out,hit_into_play,Justin Turner lines out to shortstop Jacob Wilson.,2025,Cutter
FC,687765,457759,No event,swinging_strike,Justin Turner lines out to shortstop Jacob Wilson.,2025,Cutter
SL,687765,457759,No event,ball,Justin Turner lines out to shortstop Jacob Wilson.,2025,Slider
SL,687765,457759,No event,ball,Justin Turner lines out to shortstop Jacob Wilson.,2025,Slider
FC,687765,663656,walk,ball,Kyle Tucker walks.,2025,Cutter
FC,687765,663656,No event,called_strike,Kyle Tucker walks.,2025,Cutter
CU,687765,663656,No event,ball,Kyle Tucker walks.,2025,Curveball
CU,687765,663656,No event,ball,Kyle Tucker walks.,2025,Curveball
FC,687765,663656,No event,ball,Kyle Tucker walks.,2025,Cutter
FC,687765,663656,No event,called_strike,Kyle Tucker walks.,2025,Cutter
FC,687765,673548,home_run,hit_into_play,Seiya Suzuki homers (4) on a fly ball to right field.,2025,Cutter
FC,687765,673548,No event,ball,Seiya Suzuki homers (4) on a fly ball to right field.,2025,Cutter
SL,687765,673548,No event,foul,Seiya Suzuki homers (4) on a fly ball to right field.,2025,Slider
FC,687765,673548,No event,foul,Seiya Suzuki homers (4) on a fly ball to right field.,2025,Cutter
FC,687765,673548,No event,ball,Seiya Suzuki homers (4) on a fly ball to right field.,2025,Cutter
FC,687765,683737,single,hit_into_play,Michael Busch singles on a line drive to left fielder Miguel Andujar. Carson Kelly scores. Kyle Tucker scores.,2025,Cutter
FC,687765,683737,No event,ball,Michael Busch singles on a line drive to left fielder Miguel Andujar. Carson Kelly scores. Kyle Tucker scores.,2025,Cutter
CU,687765,683737,No event,blocked_ball,Michael Busch singles on a line drive to left fielder Miguel Andujar. Carson Kelly scores. Kyle Tucker scores.,2025,Curveball
FC,687765,683737,No event,called_strike,Michael Busch singles on a line drive to left fielder Miguel Andujar. Carson Kelly scores. Kyle Tucker scores.,2025,Cutter
CU,687765,683737,No event,blocked_ball,Michael Busch singles on a line drive to left fielder Miguel Andujar. Carson Kelly scores. Kyle Tucker scores.,2025,Curveball
FC,687765,673548,strikeout,swinging_strike,Seiya Suzuki strikes out swinging.,2025,Cutter
CU,687765,673548,No event,blocked_ball,Seiya Suzuki strikes out swinging.,2025,Curveball
FC,687765,673548,No event,ball,Seiya Suzuki strikes out swinging.,2025,Cutter
CU,687765,673548,No event,foul,Seiya Suzuki strikes out swinging.,2025,Curveball
FC,687765,673548,No event,foul,Seiya Suzuki strikes out swinging.,2025,Cutter
SL,687765,673548,No event,called_strike,Seiya Suzuki strikes out swinging.,2025,Slider
SL,687765,673548,No event,swinging_strike,Seiya Suzuki strikes out swinging.,2025,Slider
FC,687765,663656,fielders_choice,hit_into_play,Kyle Tucker reaches on a fielder's choice. Matt Shaw scores. Carson Kelly to 3rd. Kyle Tucker to 2nd. Throwing error by first baseman Tyler Soderstrom.,2025,Cutter
CU,687765,663656,No event,foul,Kyle Tucker reaches on a fielder's choice. Matt Shaw scores. Carson Kelly to 3rd. Kyle Tucker to 2nd. Throwing error by first baseman Tyler Soderstrom.,2025,Curveball
