pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,601713,621566,field_out,hit_into_play,"Matt Olson grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Curveball
FF,601713,663586,field_out,hit_into_play,Austin Riley lines out sharply to third baseman Manny Machado.,2025,4-Seam Fastball
FF,601713,663586,No event,ball,Austin Riley lines out sharply to third baseman Manny Machado.,2025,4-Seam Fastball
CU,601713,595777,field_out,hit_into_play,"Jurickson Profar grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Curveball
FF,601713,595777,No event,called_strike,"Jurickson Profar grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,601713,595777,No event,ball,"Jurickson Profar grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,601713,595777,No event,ball,"Jurickson Profar grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,4-Seam Fastball
CU,601713,595777,No event,called_strike,"Jurickson Profar grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Curveball
FF,601713,644433,strikeout,swinging_strike,Chadwick Tromp strikes out swinging.,2025,4-Seam Fastball
ST,601713,644433,No event,foul,Chadwick Tromp strikes out swinging.,2025,Sweeper
ST,601713,644433,No event,swinging_strike,Chadwick Tromp strikes out swinging.,2025,Sweeper
FF,601713,644433,No event,called_strike,Chadwick Tromp strikes out swinging.,2025,4-Seam Fastball
FF,601713,672284,field_out,hit_into_play,Jarred Kelenic pops out to third baseman Manny Machado in foul territory.,2025,4-Seam Fastball
CU,601713,672284,No event,ball,Jarred Kelenic pops out to third baseman Manny Machado in foul territory.,2025,Curveball
FF,601713,672284,No event,ball,Jarred Kelenic pops out to third baseman Manny Machado in foul territory.,2025,4-Seam Fastball
FF,601713,606115,field_out,hit_into_play,"Orlando Arcia grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,601713,606115,No event,ball,"Orlando Arcia grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,601713,606115,No event,foul,"Orlando Arcia grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,601713,606115,No event,foul,"Orlando Arcia grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,601713,606115,No event,called_strike,"Orlando Arcia grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
ST,601713,606115,No event,ball,"Orlando Arcia grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sweeper
CU,601713,671739,field_out,hit_into_play,Michael Harris II flies out to center fielder Jackson Merrill.,2025,Curveball
CU,601713,671739,No event,foul,Michael Harris II flies out to center fielder Jackson Merrill.,2025,Curveball
FF,601713,671739,No event,foul,Michael Harris II flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
CU,601713,671739,No event,foul,Michael Harris II flies out to center fielder Jackson Merrill.,2025,Curveball
CU,601713,671739,No event,ball,Michael Harris II flies out to center fielder Jackson Merrill.,2025,Curveball
CU,601713,671739,No event,called_strike,Michael Harris II flies out to center fielder Jackson Merrill.,2025,Curveball
ST,601713,645277,field_out,hit_into_play,Ozzie Albies pops out to shortstop Xander Bogaerts.,2025,Sweeper
CU,601713,645277,No event,called_strike,Ozzie Albies pops out to shortstop Xander Bogaerts.,2025,Curveball
FF,601713,645277,No event,foul,Ozzie Albies pops out to shortstop Xander Bogaerts.,2025,4-Seam Fastball
FF,601713,645277,No event,ball,Ozzie Albies pops out to shortstop Xander Bogaerts.,2025,4-Seam Fastball
FF,601713,542303,strikeout,swinging_strike,Marcell Ozuna strikes out swinging.,2025,4-Seam Fastball
FF,601713,542303,No event,foul,Marcell Ozuna strikes out swinging.,2025,4-Seam Fastball
CU,601713,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Curveball
ST,601713,542303,No event,foul,Marcell Ozuna strikes out swinging.,2025,Sweeper
FF,601713,542303,No event,called_strike,Marcell Ozuna strikes out swinging.,2025,4-Seam Fastball
ST,601713,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Sweeper
FC,601713,542303,No event,swinging_strike,Marcell Ozuna strikes out swinging.,2025,Cutter
FF,601713,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,4-Seam Fastball
FF,601713,621566,field_out,hit_into_play,Matt Olson lines out sharply to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
FF,601713,621566,No event,called_strike,Matt Olson lines out sharply to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
FF,601713,663586,field_out,hit_into_play,Austin Riley lines out to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
ST,601713,663586,No event,foul,Austin Riley lines out to right fielder Fernando Tatis Jr.,2025,Sweeper
FF,601713,663586,No event,ball,Austin Riley lines out to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
FC,601713,663586,No event,foul,Austin Riley lines out to right fielder Fernando Tatis Jr.,2025,Cutter
ST,601713,663586,No event,ball,Austin Riley lines out to right fielder Fernando Tatis Jr.,2025,Sweeper
CU,601713,595777,field_out,hit_into_play,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Nick Pivetta.",2025,Curveball
CU,601713,595777,No event,ball,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Nick Pivetta.",2025,Curveball
CU,601713,595777,No event,called_strike,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Nick Pivetta.",2025,Curveball
FF,601713,595777,No event,ball,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Nick Pivetta.",2025,4-Seam Fastball
