pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,668716,663538,single,hit_into_play,Nico Hoerner singles on a ground ball to shortstop Jacob Wilson. Michael Busch scores. Dansby Swanson to 3rd.,2025,Sweeper
FF,668716,663538,No event,foul,Nico Hoerner singles on a ground ball to shortstop Jacob Wilson. Michael Busch scores. Dansby Swanson to 3rd.,2025,4-Seam Fastball
CH,668716,663538,No event,foul,Nico Hoerner singles on a ground ball to shortstop Jacob Wilson. Michael Busch scores. Dansby Swanson to 3rd.,2025,Changeup
ST,668716,663538,No event,ball,Nico Hoerner singles on a ground ball to shortstop Jacob Wilson. Michael Busch scores. Dansby Swanson to 3rd.,2025,Sweeper
CH,668716,663538,No event,swinging_strike,Nico Hoerner singles on a ground ball to shortstop Jacob Wilson. Michael Busch scores. Dansby Swanson to 3rd.,2025,Changeup
SI,668716,663538,No event,called_strike,Nico Hoerner singles on a ground ball to shortstop Jacob Wilson. Michael Busch scores. Dansby Swanson to 3rd.,2025,Sinker
FC,668716,621020,double,hit_into_play,Dansby Swanson doubles (2) on a line drive to right fielder Lawrence Butler. Kyle Tucker scores. Seiya Suzuki scores. Michael Busch to 3rd.,2025,Cutter
CH,668716,683737,hit_by_pitch,hit_by_pitch,Michael Busch hit by pitch. Kyle Tucker to 3rd. Seiya Suzuki to 2nd.,2025,Changeup
FC,668716,683737,No event,foul,Michael Busch hit by pitch. Kyle Tucker to 3rd. Seiya Suzuki to 2nd.,2025,Cutter
CH,668716,683737,No event,called_strike,Michael Busch hit by pitch. Kyle Tucker to 3rd. Seiya Suzuki to 2nd.,2025,Changeup
CH,668716,683737,No event,ball,Michael Busch hit by pitch. Kyle Tucker to 3rd. Seiya Suzuki to 2nd.,2025,Changeup
ST,668716,673548,walk,ball,Seiya Suzuki walks.,2025,Sweeper
ST,668716,673548,No event,ball,Seiya Suzuki walks.,2025,Sweeper
FC,668716,673548,No event,called_strike,Seiya Suzuki walks.,2025,Cutter
CH,668716,673548,No event,called_strike,Seiya Suzuki walks.,2025,Changeup
FC,668716,673548,No event,ball,Seiya Suzuki walks.,2025,Cutter
FC,668716,673548,No event,ball,Seiya Suzuki walks.,2025,Cutter
CH,668716,663656,double,hit_into_play,Kyle Tucker hits a ground-rule double (4) on a fly ball to left-center field. Carson Kelly scores.,2025,Changeup
CH,668716,663656,No event,ball,Kyle Tucker hits a ground-rule double (4) on a fly ball to left-center field. Carson Kelly scores.,2025,Changeup
ST,668716,663656,No event,blocked_ball,Kyle Tucker hits a ground-rule double (4) on a fly ball to left-center field. Carson Kelly scores.,2025,Sweeper
FC,668716,663656,No event,swinging_strike,Kyle Tucker hits a ground-rule double (4) on a fly ball to left-center field. Carson Kelly scores.,2025,Cutter
CH,668716,663656,No event,called_strike,Kyle Tucker hits a ground-rule double (4) on a fly ball to left-center field. Carson Kelly scores.,2025,Changeup
ST,668716,663656,No event,ball,Kyle Tucker hits a ground-rule double (4) on a fly ball to left-center field. Carson Kelly scores.,2025,Sweeper
