pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,689147,666160,field_out,hit_into_play,"Mickey Moniak grounds out, pitcher Orion Kerkering to first baseman Bryce Harper.",2025,Sweeper
FF,689147,666160,No event,foul,"Mickey Moniak grounds out, pitcher Orion Kerkering to first baseman Bryce Harper.",2025,4-Seam Fastball
FF,689147,666160,No event,called_strike,"Mickey Moniak grounds out, pitcher Orion Kerkering to first baseman Bryce Harper.",2025,4-Seam Fastball
ST,689147,666160,No event,called_strike,"Mickey Moniak grounds out, pitcher Orion Kerkering to first baseman Bryce Harper.",2025,Sweeper
FF,689147,607732,strikeout,swinging_strike,Jacob Stallings strikes out swinging.,2025,4-Seam Fastball
FF,689147,607732,No event,swinging_strike,Jacob Stallings strikes out swinging.,2025,4-Seam Fastball
FF,689147,607732,No event,ball,Jacob Stallings strikes out swinging.,2025,4-Seam Fastball
ST,689147,607732,No event,called_strike,Jacob Stallings strikes out swinging.,2025,Sweeper
ST,689147,605361,single,hit_into_play,Nick Martini singles on a ground ball to right fielder Nick Castellanos.,2025,Sweeper
ST,689147,605361,No event,called_strike,Nick Martini singles on a ground ball to right fielder Nick Castellanos.,2025,Sweeper
ST,689147,605361,No event,ball,Nick Martini singles on a ground ball to right fielder Nick Castellanos.,2025,Sweeper
ST,689147,669911,strikeout,swinging_strike,Michael Toglia strikes out swinging.,2025,Sweeper
ST,689147,669911,No event,foul,Michael Toglia strikes out swinging.,2025,Sweeper
FF,689147,669911,No event,foul,Michael Toglia strikes out swinging.,2025,4-Seam Fastball
ST,689147,669911,No event,ball,Michael Toglia strikes out swinging.,2025,Sweeper
ST,689147,669911,No event,called_strike,Michael Toglia strikes out swinging.,2025,Sweeper
ST,689147,571657,field_out,hit_into_play,"Kyle Farmer grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sweeper
SI,689147,571657,No event,called_strike,"Kyle Farmer grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
SI,689147,571657,No event,called_strike,"Kyle Farmer grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
FF,689147,669911,field_out,hit_into_play,Michael Toglia flies out to left fielder Max Kepler.,2025,4-Seam Fastball
ST,689147,669911,No event,ball,Michael Toglia flies out to left fielder Max Kepler.,2025,Sweeper
ST,689147,669911,No event,ball,Michael Toglia flies out to left fielder Max Kepler.,2025,Sweeper
