pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,663776,660271,walk,ball,Shohei Ohtani walks.,2024,Sinker
SL,663776,660271,No event,foul,Shohei Ohtani walks.,2024,Slider
FF,663776,660271,No event,ball,Shohei Ohtani walks.,2024,4-Seam Fastball
ST,663776,660271,No event,ball,Shohei Ohtani walks.,2024,Sweeper
SI,663776,660271,No event,ball,Shohei Ohtani walks.,2024,Sinker
ST,663776,660271,No event,foul,Shohei Ohtani walks.,2024,Sweeper
SL,663776,660271,No event,foul,Shohei Ohtani walks.,2024,Slider
SI,663776,605131,field_out,hit_into_play,Austin Barnes grounds out sharply to first baseman Nolan Schanuel.   Chris Taylor to 2nd.,2024,Sinker
SI,663776,621035,single,hit_into_play,Chris Taylor singles on a line drive to left fielder Taylor Ward.,2024,Sinker
CH,663776,571771,field_out,hit_into_play,"Enrique Hernández grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",2024,Changeup
SL,663776,571771,No event,called_strike,"Enrique Hernández grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",2024,Slider
CH,663776,571771,No event,ball,"Enrique Hernández grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",2024,Changeup
CH,663776,571771,No event,called_strike,"Enrique Hernández grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",2024,Changeup
SL,663776,571771,No event,ball,"Enrique Hernández grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",2024,Slider
SL,663776,571771,No event,ball,"Enrique Hernández grounds out, shortstop Zach Neto to first baseman Nolan Schanuel.",2024,Slider
SI,663776,678246,single,hit_into_play,Miguel Vargas singles on a sharp ground ball to left fielder Taylor Ward.,2024,Sinker
SI,663776,678246,No event,ball,Miguel Vargas singles on a sharp ground ball to left fielder Taylor Ward.,2024,Sinker
FF,663776,500743,field_out,hit_into_play,Miguel Rojas pops out to first baseman Nolan Schanuel.,2024,4-Seam Fastball
FF,663776,500743,No event,ball,Miguel Rojas pops out to first baseman Nolan Schanuel.,2024,4-Seam Fastball
CU,663776,500743,No event,ball,Miguel Rojas pops out to first baseman Nolan Schanuel.,2024,Curveball
SL,663776,681624,strikeout,swinging_strike,Andy Pages strikes out swinging.,2024,Slider
CH,663776,681624,No event,foul,Andy Pages strikes out swinging.,2024,Changeup
FF,663776,681624,No event,foul,Andy Pages strikes out swinging.,2024,4-Seam Fastball
SL,663776,681624,No event,called_strike,Andy Pages strikes out swinging.,2024,Slider
SI,663776,518692,grounded_into_double_play,hit_into_play,"Freddie Freeman grounds into a double play, shortstop Zach Neto to first baseman Nolan Schanuel.   Teoscar Hernández out at 2nd.    Freddie Freeman out at 1st.",2024,Sinker
SL,663776,606192,force_out,hit_into_play,"Teoscar Hernández grounds into a force out, third baseman Luis Rengifo to second baseman Michael Stefanic.   Shohei Ohtani out at 2nd.    Teoscar Hernández to 1st.",2024,Slider
SL,663776,606192,No event,foul,"Teoscar Hernández grounds into a force out, third baseman Luis Rengifo to second baseman Michael Stefanic.   Shohei Ohtani out at 2nd.    Teoscar Hernández to 1st.",2024,Slider
SL,663776,606192,No event,called_strike,"Teoscar Hernández grounds into a force out, third baseman Luis Rengifo to second baseman Michael Stefanic.   Shohei Ohtani out at 2nd.    Teoscar Hernández to 1st.",2024,Slider
SL,663776,660271,walk,ball,Shohei Ohtani walks.,2024,Slider
SL,663776,660271,No event,called_strike,Shohei Ohtani walks.,2024,Slider
ST,663776,660271,No event,ball,Shohei Ohtani walks.,2024,Sweeper
SI,663776,660271,No event,ball,Shohei Ohtani walks.,2024,Sinker
SI,663776,660271,No event,swinging_strike,Shohei Ohtani walks.,2024,Sinker
