pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,623149,553869,field_out,hit_into_play,Elias Díaz flies out to center fielder Daniel Schneemann.,2025,4-Seam Fastball
FF,623149,553869,No event,called_strike,Elias Díaz flies out to center fielder Daniel Schneemann.,2025,4-Seam Fastball
ST,623149,518792,strikeout,swinging_strike,Jason Heyward strikes out swinging.,2025,Sweeper
ST,623149,518792,No event,swinging_strike,Jason Heyward strikes out swinging.,2025,Sweeper
FF,623149,518792,No event,foul,Jason Heyward strikes out swinging.,2025,4-Seam Fastball
FF,623149,630105,single,hit_into_play,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,4-Seam Fastball
ST,623149,630105,No event,ball,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,Sweeper
FF,623149,630105,No event,foul,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,4-Seam Fastball
ST,623149,630105,No event,ball,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,Sweeper
FF,623149,630105,No event,foul,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,4-Seam Fastball
FF,623149,630105,No event,ball,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,4-Seam Fastball
FF,623149,630105,No event,foul,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,4-Seam Fastball
FF,623149,630105,No event,called_strike,Jake Cronenworth singles on a line drive to center fielder Daniel Schneemann. Jackson Merrill scores. Yuli Gurriel to 3rd.,2025,4-Seam Fastball
ST,623149,663697,field_out,hit_into_play,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,Sweeper
ST,623149,663697,No event,ball,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,Sweeper
