pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,682990,668843,walk,ball,Conner Capel walks.,2025,
,682990,668843,No event,foul,Conner Capel walks.,2025,
,682990,668843,No event,foul,Conner Capel walks.,2025,
,682990,668843,No event,foul,Conner Capel walks.,2025,
,682990,668843,No event,blocked_ball,Conner Capel walks.,2025,
,682990,668843,No event,ball,Conner Capel walks.,2025,
,682990,668843,No event,foul,Conner Capel walks.,2025,
,682990,668843,No event,ball,Conner Capel walks.,2025,
,682990,695462,single,hit_into_play,Cal Conley singles on a ground ball to left fielder Rob Refsnyder.,2025,
,682990,506702,strikeout,swinging_strike,Sandy León strikes out swinging.,2025,
,682990,506702,No event,ball,Sandy León strikes out swinging.,2025,
,682990,506702,No event,ball,Sandy León strikes out swinging.,2025,
,682990,506702,No event,ball,Sandy León strikes out swinging.,2025,
,682990,506702,No event,foul,Sandy León strikes out swinging.,2025,
,682990,506702,No event,called_strike,Sandy León strikes out swinging.,2025,
,682990,506702,No event,called_strike,Sandy León strikes out swinging.,2025,
,682990,650559,field_out,hit_into_play,Bryan De La Cruz lines out sharply to center fielder Jarren Duran.,2025,
,682990,650559,No event,swinging_strike,Bryan De La Cruz lines out sharply to center fielder Jarren Duran.,2025,
,682990,650559,No event,ball,Bryan De La Cruz lines out sharply to center fielder Jarren Duran.,2025,
,682990,650559,No event,ball,Bryan De La Cruz lines out sharply to center fielder Jarren Duran.,2025,
,682990,643265,strikeout,swinging_strike,Garrett Cooper strikes out swinging.,2025,
,682990,643265,No event,ball,Garrett Cooper strikes out swinging.,2025,
,682990,643265,No event,swinging_strike,Garrett Cooper strikes out swinging.,2025,
,682990,643265,No event,swinging_strike,Garrett Cooper strikes out swinging.,2025,
,682990,686948,field_out,hit_into_play,Drake Baldwin grounds out to first baseman Triston Casas. Nick Allen to 3rd.,2025,
,682990,686948,No event,blocked_ball,Drake Baldwin grounds out to first baseman Triston Casas. Nick Allen to 3rd.,2025,
,682990,686948,No event,blocked_ball,Drake Baldwin grounds out to first baseman Triston Casas. Nick Allen to 3rd.,2025,
,682990,642201,field_out,hit_into_play,"Eli White grounds out, shortstop Trevor Story to first baseman Triston Casas. Christian Cairo scores. Nick Allen to 2nd.",2025,
,682990,642201,No event,foul,"Eli White grounds out, shortstop Trevor Story to first baseman Triston Casas. Christian Cairo scores. Nick Allen to 2nd.",2025,
,682990,669397,single,hit_into_play,Nick Allen singles on a line drive to right fielder Wilyer Abreu. Christian Cairo to 3rd.,2025,
,682990,669397,No event,foul,Nick Allen singles on a line drive to right fielder Wilyer Abreu. Christian Cairo to 3rd.,2025,
,682990,686551,double,hit_into_play,Christian Cairo doubles (2) on a ground ball to right fielder Wilyer Abreu. Conner Capel scores.,2025,
,682990,686551,No event,called_strike,Christian Cairo doubles (2) on a ground ball to right fielder Wilyer Abreu. Conner Capel scores.,2025,
,682990,668843,double,hit_into_play,Conner Capel doubles (2) on a fly ball to left fielder Rob Refsnyder.,2025,
,682990,695462,strikeout,swinging_strike,Cal Conley strikes out swinging.,2025,
,682990,695462,No event,ball,Cal Conley strikes out swinging.,2025,
,682990,695462,No event,swinging_strike,Cal Conley strikes out swinging.,2025,
,682990,695462,No event,foul,Cal Conley strikes out swinging.,2025,
,682990,506702,strikeout,swinging_strike,Sandy León strikes out swinging.,2025,
,682990,506702,No event,called_strike,Sandy León strikes out swinging.,2025,
,682990,506702,No event,swinging_strike,Sandy León strikes out swinging.,2025,
,682990,650559,force_out,hit_into_play,"Bryan De La Cruz grounds into a force out, third baseman Alex Bregman to catcher Blake Sabol. Eli White out at home. Drake Baldwin to 3rd. Garrett Cooper to 2nd. Bryan De La Cruz to 1st.",2025,
,682990,643265,walk,ball,Garrett Cooper walks. Nick Allen scores. Eli White to 3rd. Drake Baldwin to 2nd.,2025,
,682990,643265,No event,called_strike,Garrett Cooper walks. Nick Allen scores. Eli White to 3rd. Drake Baldwin to 2nd.,2025,
,682990,643265,No event,ball,Garrett Cooper walks. Nick Allen scores. Eli White to 3rd. Drake Baldwin to 2nd.,2025,
,682990,643265,No event,ball,Garrett Cooper walks. Nick Allen scores. Eli White to 3rd. Drake Baldwin to 2nd.,2025,
,682990,643265,No event,ball,Garrett Cooper walks. Nick Allen scores. Eli White to 3rd. Drake Baldwin to 2nd.,2025,
,682990,643265,No event,called_strike,Garrett Cooper walks. Nick Allen scores. Eli White to 3rd. Drake Baldwin to 2nd.,2025,
,682990,686948,single,hit_into_play,Drake Baldwin singles on a fly ball to left fielder Rob Refsnyder. Nick Allen to 3rd. Eli White to 2nd.,2025,
,682990,686948,No event,swinging_strike,Drake Baldwin singles on a fly ball to left fielder Rob Refsnyder. Nick Allen to 3rd. Eli White to 2nd.,2025,
,682990,686948,No event,ball,Drake Baldwin singles on a fly ball to left fielder Rob Refsnyder. Nick Allen to 3rd. Eli White to 2nd.,2025,
,682990,686948,No event,called_strike,Drake Baldwin singles on a fly ball to left fielder Rob Refsnyder. Nick Allen to 3rd. Eli White to 2nd.,2025,
,682990,642201,walk,ball,Eli White walks.,2025,
,682990,642201,No event,ball,Eli White walks.,2025,
,682990,642201,No event,ball,Eli White walks.,2025,
,682990,642201,No event,ball,Eli White walks.,2025,
,682990,642201,No event,called_strike,Eli White walks.,2025,
,682990,669397,double,hit_into_play,Nick Allen doubles (2) on a line drive to left fielder Rob Refsnyder.,2025,
,682990,669397,No event,swinging_strike,Nick Allen doubles (2) on a line drive to left fielder Rob Refsnyder.,2025,
,682990,669397,No event,ball,Nick Allen doubles (2) on a line drive to left fielder Rob Refsnyder.,2025,
,682990,669397,No event,called_strike,Nick Allen doubles (2) on a line drive to left fielder Rob Refsnyder.,2025,
,682990,669397,No event,ball,Nick Allen doubles (2) on a line drive to left fielder Rob Refsnyder.,2025,
SI,682990,457705,walk,ball,Andrew McCutchen walks.,2025,Sinker
SI,682990,457705,No event,called_strike,Andrew McCutchen walks.,2025,Sinker
SL,682990,457705,No event,ball,Andrew McCutchen walks.,2025,Slider
SI,682990,457705,No event,ball,Andrew McCutchen walks.,2025,Sinker
FC,682990,457705,No event,called_strike,Andrew McCutchen walks.,2025,Cutter
SI,682990,457705,No event,ball,Andrew McCutchen walks.,2025,Sinker
CU,682990,668804,strikeout,swinging_strike,Bryan Reynolds strikes out swinging.,2025,Curveball
FC,682990,668804,No event,foul,Bryan Reynolds strikes out swinging.,2025,Cutter
FC,682990,668804,No event,called_strike,Bryan Reynolds strikes out swinging.,2025,Cutter
SL,682990,668804,No event,ball,Bryan Reynolds strikes out swinging.,2025,Slider
