pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,681190,645277,field_out,hit_into_play,Ozzie Albies pops out to first baseman Luis Arraez in foul territory.,2025,Sweeper
CU,681190,645277,No event,ball,Ozzie Albies pops out to first baseman Luis Arraez in foul territory.,2025,Curveball
FC,681190,542303,walk,ball,Marcell Ozuna walks.,2025,Cutter
CU,681190,542303,No event,called_strike,Marcell Ozuna walks.,2025,Curveball
ST,681190,542303,No event,ball,Marcell Ozuna walks.,2025,Sweeper
ST,681190,542303,No event,ball,Marcell Ozuna walks.,2025,Sweeper
CU,681190,542303,No event,called_strike,Marcell Ozuna walks.,2025,Curveball
ST,681190,542303,No event,ball,Marcell Ozuna walks.,2025,Sweeper
ST,681190,621566,double,hit_into_play,"Umpire reviewed (home run), call on the field was upheld: Matt Olson doubles (1) on a sharp fly ball to right fielder Fernando Tatis Jr.",2025,Sweeper
ST,681190,621566,No event,ball,"Umpire reviewed (home run), call on the field was upheld: Matt Olson doubles (1) on a sharp fly ball to right fielder Fernando Tatis Jr.",2025,Sweeper
CH,681190,621566,No event,ball,"Umpire reviewed (home run), call on the field was upheld: Matt Olson doubles (1) on a sharp fly ball to right fielder Fernando Tatis Jr.",2025,Changeup
CH,681190,621566,No event,ball,"Umpire reviewed (home run), call on the field was upheld: Matt Olson doubles (1) on a sharp fly ball to right fielder Fernando Tatis Jr.",2025,Changeup
CH,681190,621566,No event,called_strike,"Umpire reviewed (home run), call on the field was upheld: Matt Olson doubles (1) on a sharp fly ball to right fielder Fernando Tatis Jr.",2025,Changeup
FC,681190,663586,strikeout,swinging_strike,Austin Riley strikes out swinging.,2025,Cutter
ST,681190,663586,No event,foul,Austin Riley strikes out swinging.,2025,Sweeper
ST,681190,663586,No event,called_strike,Austin Riley strikes out swinging.,2025,Sweeper
CU,681190,663586,No event,ball,Austin Riley strikes out swinging.,2025,Curveball
FF,681190,663586,No event,ball,Austin Riley strikes out swinging.,2025,4-Seam Fastball
CU,681190,663586,No event,called_strike,Austin Riley strikes out swinging.,2025,Curveball
ST,681190,595777,field_out,hit_into_play,Jurickson Profar flies out to left fielder Jason Heyward.,2025,Sweeper
FC,681190,595777,No event,foul,"With Jurickson Profar batting, Jarred Kelenic picked off and caught stealing 2nd base, shortstop Xander Bogaerts.",2025,Cutter
SI,681190,595777,No event,blocked_ball,"With Jurickson Profar batting, Jarred Kelenic picked off and caught stealing 2nd base, shortstop Xander Bogaerts.",2025,Sinker
CU,681190,595777,No event,ball,"With Jurickson Profar batting, Jarred Kelenic picked off and caught stealing 2nd base, shortstop Xander Bogaerts.",2025,Curveball
CH,681190,672284,single,hit_into_play,Jarred Kelenic singles on a ground ball to center fielder Jackson Merrill.,2025,Changeup
CU,681190,672284,No event,ball,Jarred Kelenic singles on a ground ball to center fielder Jackson Merrill.,2025,Curveball
FF,681190,672284,No event,called_strike,Jarred Kelenic singles on a ground ball to center fielder Jackson Merrill.,2025,4-Seam Fastball
CH,681190,672284,No event,ball,Jarred Kelenic singles on a ground ball to center fielder Jackson Merrill.,2025,Changeup
CU,681190,606115,strikeout,swinging_strike,Orlando Arcia strikes out swinging.,2025,Curveball
SI,681190,606115,No event,called_strike,Orlando Arcia strikes out swinging.,2025,Sinker
FC,681190,606115,No event,foul,Orlando Arcia strikes out swinging.,2025,Cutter
ST,681190,686948,field_out,hit_into_play,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sweeper
CU,681190,686948,No event,ball,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Curveball
ST,681190,686948,No event,foul,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sweeper
CU,681190,686948,No event,foul,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Curveball
FC,681190,686948,No event,ball,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Cutter
CH,681190,686948,No event,ball,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Changeup
CU,681190,686948,No event,called_strike,"Drake Baldwin grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Curveball
FC,681190,671739,grounded_into_double_play,hit_into_play,"Michael Harris II grounds into a double play, second baseman Jake Cronenworth to third baseman Manny Machado to shortstop Xander Bogaerts. Marcell Ozuna out at 3rd. Ozzie Albies out at 2nd.",2025,Cutter
CH,681190,645277,single,hit_into_play,Ozzie Albies singles on a line drive to right fielder Fernando Tatis Jr. Marcell Ozuna to 2nd.,2025,Changeup
CH,681190,645277,No event,blocked_ball,Ozzie Albies singles on a line drive to right fielder Fernando Tatis Jr. Marcell Ozuna to 2nd.,2025,Changeup
SI,681190,542303,walk,blocked_ball,Marcell Ozuna walks.,2025,Sinker
CU,681190,542303,No event,ball,Marcell Ozuna walks.,2025,Curveball
FC,681190,542303,No event,called_strike,Marcell Ozuna walks.,2025,Cutter
ST,681190,542303,No event,ball,Marcell Ozuna walks.,2025,Sweeper
ST,681190,542303,No event,ball,Marcell Ozuna walks.,2025,Sweeper
FC,681190,621566,field_out,hit_into_play,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Cutter
CU,681190,621566,No event,foul,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Curveball
FC,681190,621566,No event,ball,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Cutter
CH,681190,621566,No event,ball,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Changeup
ST,681190,621566,No event,foul,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Sweeper
FF,681190,621566,No event,ball,Matt Olson pops out to second baseman Jake Cronenworth.,2025,4-Seam Fastball
FC,681190,621566,No event,foul,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Cutter
ST,681190,621566,No event,called_strike,Matt Olson pops out to second baseman Jake Cronenworth.,2025,Sweeper
CU,681190,663586,field_out,hit_into_play,Austin Riley flies out to left fielder Jason Heyward.,2025,Curveball
FC,681190,663586,No event,called_strike,Austin Riley flies out to left fielder Jason Heyward.,2025,Cutter
FF,681190,595777,field_out,hit_into_play,Jurickson Profar flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
ST,681190,595777,No event,called_strike,Jurickson Profar flies out to center fielder Jackson Merrill.,2025,Sweeper
CU,681190,595777,No event,called_strike,Jurickson Profar flies out to center fielder Jackson Merrill.,2025,Curveball
FF,681190,672284,field_out,hit_into_play,Jarred Kelenic flies out to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
CU,681190,672284,No event,ball,Jarred Kelenic flies out to right fielder Fernando Tatis Jr.,2025,Curveball
CU,681190,672284,No event,ball,Jarred Kelenic flies out to right fielder Fernando Tatis Jr.,2025,Curveball
SI,681190,606115,field_out,hit_into_play,"Orlando Arcia grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",2025,Sinker
SI,681190,606115,No event,called_strike,"Orlando Arcia grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",2025,Sinker
ST,681190,606115,No event,ball,"Orlando Arcia grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",2025,Sweeper
SI,681190,606115,No event,ball,"Orlando Arcia grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",2025,Sinker
FC,681190,686948,single,hit_into_play,Drake Baldwin singles on a line drive to left fielder Jason Heyward.,2025,Cutter
CU,681190,686948,No event,ball,Drake Baldwin singles on a line drive to left fielder Jason Heyward.,2025,Curveball
FC,681190,686948,No event,ball,Drake Baldwin singles on a line drive to left fielder Jason Heyward.,2025,Cutter
FC,681190,671739,field_out,hit_into_play,Michael Harris II lines out to left fielder Jason Heyward.,2025,Cutter
FC,681190,671739,No event,ball,Michael Harris II lines out to left fielder Jason Heyward.,2025,Cutter
ST,681190,645277,field_out,hit_into_play,Ozzie Albies pops out to third baseman Manny Machado.,2025,Sweeper
CH,681190,645277,No event,swinging_strike,Ozzie Albies pops out to third baseman Manny Machado.,2025,Changeup
CH,681190,645277,No event,ball,Ozzie Albies pops out to third baseman Manny Machado.,2025,Changeup
ST,681190,645277,No event,called_strike,Ozzie Albies pops out to third baseman Manny Machado.,2025,Sweeper
FF,681190,645277,No event,ball,Ozzie Albies pops out to third baseman Manny Machado.,2025,4-Seam Fastball
ST,681190,542303,strikeout,swinging_strike,Marcell Ozuna strikes out swinging.,2025,Sweeper
FF,681190,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,4-Seam Fastball
SI,681190,542303,No event,foul,Marcell Ozuna strikes out swinging.,2025,Sinker
ST,681190,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Sweeper
CU,681190,542303,No event,called_strike,Marcell Ozuna strikes out swinging.,2025,Curveball
FC,681190,621566,grounded_into_double_play,hit_into_play,"Matt Olson grounds into a double play, shortstop Xander Bogaerts to first baseman Luis Arraez. Jurickson Profar to 3rd. Austin Riley out at 2nd. Matt Olson out at 1st.",2025,Cutter
FC,681190,663586,walk,ball,Austin Riley walks. Jurickson Profar to 2nd.,2025,Cutter
CU,681190,663586,No event,blocked_ball,Austin Riley walks. Jurickson Profar to 2nd.,2025,Curveball
FF,681190,663586,No event,foul,Austin Riley walks. Jurickson Profar to 2nd.,2025,4-Seam Fastball
ST,681190,663586,No event,ball,Austin Riley walks. Jurickson Profar to 2nd.,2025,Sweeper
ST,681190,663586,No event,blocked_ball,Austin Riley walks. Jurickson Profar to 2nd.,2025,Sweeper
FF,681190,663586,No event,called_strike,Austin Riley walks. Jurickson Profar to 2nd.,2025,4-Seam Fastball
FC,681190,595777,walk,ball,Jurickson Profar walks.,2025,Cutter
FC,681190,595777,No event,ball,Jurickson Profar walks.,2025,Cutter
FC,681190,595777,No event,foul,Jurickson Profar walks.,2025,Cutter
FC,681190,595777,No event,ball,Jurickson Profar walks.,2025,Cutter
FF,681190,595777,No event,ball,Jurickson Profar walks.,2025,4-Seam Fastball
,681190,668664,field_out,hit_into_play,"Chase Strumpf grounds out, third baseman Francisco Acuna to first baseman Trenton Brooks.",2025,
,681190,668664,No event,foul,"Chase Strumpf grounds out, third baseman Francisco Acuna to first baseman Trenton Brooks.",2025,
,681190,668664,No event,ball,"Chase Strumpf grounds out, third baseman Francisco Acuna to first baseman Trenton Brooks.",2025,
,681190,675628,field_out,hit_into_play,"Darius Hill grounds out, third baseman Francisco Acuna to first baseman Trenton Brooks.",2025,
,681190,675628,No event,called_strike,"Darius Hill grounds out, third baseman Francisco Acuna to first baseman Trenton Brooks.",2025,
,681190,675628,No event,swinging_strike,"Darius Hill grounds out, third baseman Francisco Acuna to first baseman Trenton Brooks.",2025,
,681190,553988,field_out,hit_into_play,Dixon Machado flies out to right fielder Oscar Gonzalez.,2025,
,681190,702333,double,hit_into_play,Haydn McGeary doubles (2) on a sharp line drive to center fielder Forrest Wall.,2025,
,681190,702333,No event,called_strike,Haydn McGeary doubles (2) on a sharp line drive to center fielder Forrest Wall.,2025,
,681190,702333,No event,foul,Haydn McGeary doubles (2) on a sharp line drive to center fielder Forrest Wall.,2025,
,681190,656185,field_out,hit_into_play,Greg Allen flies out to left fielder Connor Joe.,2025,
,681190,656185,No event,foul,Greg Allen flies out to left fielder Connor Joe.,2025,
,681190,656185,No event,swinging_strike,Greg Allen flies out to left fielder Connor Joe.,2025,
,681190,701496,field_out,hit_into_play,Ben Cowles flies out to center fielder Forrest Wall.,2025,
,681190,701496,No event,ball,Ben Cowles flies out to center fielder Forrest Wall.,2025,
,681190,701496,No event,swinging_strike,Ben Cowles flies out to center fielder Forrest Wall.,2025,
,681190,701496,No event,ball,Ben Cowles flies out to center fielder Forrest Wall.,2025,
,681190,701496,No event,swinging_strike,Ben Cowles flies out to center fielder Forrest Wall.,2025,
,681190,675085,field_out,hit_into_play,"Jonathon Long grounds out, shortstop Clay Dungan to first baseman Trenton Brooks.",2025,
,681190,675085,No event,foul,"Jonathon Long grounds out, shortstop Clay Dungan to first baseman Trenton Brooks.",2025,
,681190,675085,No event,foul,"Jonathon Long grounds out, shortstop Clay Dungan to first baseman Trenton Brooks.",2025,
,681190,694208,home_run,hit_into_play,Moises Ballesteros homers (2) on a fly ball to left field.,2025,
,681190,682634,strikeout,swinging_strike,Kevin Alcántara strikes out swinging.,2025,
,681190,682634,No event,ball,Kevin Alcántara strikes out swinging.,2025,
,681190,682634,No event,called_strike,Kevin Alcántara strikes out swinging.,2025,
,681190,682634,No event,foul,Kevin Alcántara strikes out swinging.,2025,
,681190,669398,strikeout,swinging_strike_blocked,Gage Workman strikes out swinging.,2025,
,681190,669398,No event,foul,Gage Workman strikes out swinging.,2025,
,681190,669398,No event,foul,Gage Workman strikes out swinging.,2025,
,681190,669398,No event,foul,Gage Workman strikes out swinging.,2025,
,681190,669398,No event,ball,Gage Workman strikes out swinging.,2025,
,681190,669398,No event,foul,Gage Workman strikes out swinging.,2025,
,681190,669398,No event,called_strike,Gage Workman strikes out swinging.,2025,
,681190,663538,field_out,hit_into_play,"Nico Hoerner grounds out sharply, shortstop Clay Dungan to first baseman Trenton Brooks.",2025,
,681190,660644,strikeout,called_strike,Vidal Bruján called out on strikes.,2025,
,681190,660644,No event,foul_bunt,Vidal Bruján called out on strikes.,2025,
,681190,660644,No event,foul,Vidal Bruján called out on strikes.,2025,
,681190,702333,field_out,hit_into_play,"Haydn McGeary grounds out sharply, second baseman Mason McCoy to first baseman Trenton Brooks.",2025,
,681190,702333,No event,foul,"Haydn McGeary grounds out sharply, second baseman Mason McCoy to first baseman Trenton Brooks.",2025,
,681190,702333,No event,foul,"Haydn McGeary grounds out sharply, second baseman Mason McCoy to first baseman Trenton Brooks.",2025,
,681190,702333,No event,called_strike,"Haydn McGeary grounds out sharply, second baseman Mason McCoy to first baseman Trenton Brooks.",2025,
,681190,656185,strikeout,called_strike,Greg Allen called out on strikes.,2025,
,681190,656185,No event,foul,Greg Allen called out on strikes.,2025,
,681190,656185,No event,foul,Greg Allen called out on strikes.,2025,
