pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,624133,656775,strikeout,called_strike,Cedric Mullins called out on strikes.,2025,Sinker
SI,624133,656775,No event,foul,Cedric Mullins called out on strikes.,2025,Sinker
SL,624133,656775,No event,called_strike,Cedric Mullins called out on strikes.,2025,Slider
SI,624133,668974,field_out,hit_into_play,"Maverick Handley grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Sinker
CH,624133,668974,No event,swinging_strike,"Maverick Handley grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Changeup
FF,624133,676679,field_out,hit_into_play,Luis Vázquez grounds out to first baseman Bryce Harper.,2025,4-Seam Fastball
CH,624133,676679,No event,foul,Luis Vázquez grounds out to first baseman Bryce Harper.,2025,Changeup
CU,624133,676679,No event,called_strike,Luis Vázquez grounds out to first baseman Bryce Harper.,2025,Curveball
SI,624133,676679,No event,ball,Luis Vázquez grounds out to first baseman Bryce Harper.,2025,Sinker
SI,624133,605353,field_out,hit_into_play,Vimael Machín flies out to center fielder Óscar Mercado.,2025,Sinker
SL,624133,605353,No event,ball,Vimael Machín flies out to center fielder Óscar Mercado.,2025,Slider
SI,624133,605353,No event,called_strike,Vimael Machín flies out to center fielder Óscar Mercado.,2025,Sinker
SL,624133,605353,No event,foul,Vimael Machín flies out to center fielder Óscar Mercado.,2025,Slider
SI,624133,691723,sac_fly,hit_into_play,Coby Mayo out on a sacrifice fly to right fielder Nick Castellanos. Emmanuel Rivera scores.,2025,Sinker
CU,624133,691723,No event,foul,Coby Mayo out on a sacrifice fly to right fielder Nick Castellanos. Emmanuel Rivera scores.,2025,Curveball
CH,624133,691723,No event,blocked_ball,Coby Mayo out on a sacrifice fly to right fielder Nick Castellanos. Emmanuel Rivera scores.,2025,Changeup
FF,624133,691723,No event,ball,Coby Mayo out on a sacrifice fly to right fielder Nick Castellanos. Emmanuel Rivera scores.,2025,4-Seam Fastball
CU,624133,691723,No event,called_strike,Coby Mayo out on a sacrifice fly to right fielder Nick Castellanos. Emmanuel Rivera scores.,2025,Curveball
FC,624133,666185,field_out,hit_into_play,Dylan Carlson flies out to left fielder Kyle Schwarber. Emmanuel Rivera to 3rd.,2025,Cutter
FF,624133,666185,No event,ball,Dylan Carlson flies out to left fielder Kyle Schwarber. Emmanuel Rivera to 3rd.,2025,4-Seam Fastball
SI,624133,656896,double,hit_into_play,Emmanuel Rivera doubles (2) on a line drive to right fielder Nick Castellanos.,2025,Sinker
SI,624133,656896,No event,ball,Emmanuel Rivera doubles (2) on a line drive to right fielder Nick Castellanos.,2025,Sinker
SI,624133,677008,field_out,hit_into_play,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Sinker
FF,624133,677008,No event,foul,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,4-Seam Fastball
CH,624133,677008,No event,foul,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Changeup
CH,624133,677008,No event,ball,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Changeup
SI,624133,677008,No event,foul,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Sinker
FC,624133,677008,No event,ball,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Cutter
CH,624133,677008,No event,swinging_strike,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Changeup
CH,624133,677008,No event,ball,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Changeup
SI,624133,677008,No event,swinging_strike,"Heston Kjerstad grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Sinker
FF,624133,663624,strikeout,called_strike,Ryan Mountcastle called out on strikes.,2025,4-Seam Fastball
CU,624133,663624,No event,foul,Ryan Mountcastle called out on strikes.,2025,Curveball
CH,624133,663624,No event,ball,Ryan Mountcastle called out on strikes.,2025,Changeup
FC,624133,663624,No event,foul,Ryan Mountcastle called out on strikes.,2025,Cutter
SI,624133,663624,No event,ball,Ryan Mountcastle called out on strikes.,2025,Sinker
SI,624133,656775,field_out,hit_into_play,Cedric Mullins flies out to shortstop Trea Turner.,2025,Sinker
SI,624133,656775,No event,called_strike,Cedric Mullins flies out to shortstop Trea Turner.,2025,Sinker
CH,624133,669224,strikeout,swinging_strike_blocked,Austin Wells strikes out swinging.,2025,Changeup
SL,624133,669224,No event,blocked_ball,Austin Wells strikes out swinging.,2025,Slider
SI,624133,669224,No event,foul,Austin Wells strikes out swinging.,2025,Sinker
SL,624133,669224,No event,swinging_strike,Austin Wells strikes out swinging.,2025,Slider
CU,624133,669224,No event,blocked_ball,Austin Wells strikes out swinging.,2025,Curveball
FF,624133,682987,single,hit_into_play,Spencer Jones singles on a sharp line drive to center fielder Brandon Marsh.,2025,4-Seam Fastball
SI,624133,682987,No event,ball,Spencer Jones singles on a sharp line drive to center fielder Brandon Marsh.,2025,Sinker
CH,624133,806146,field_out,hit_into_play,"George Lombard Jr. grounds out, pitcher Ranger Suárez to second baseman Bryson Stott to first baseman Bryce Harper.",2025,Changeup
CH,624133,806146,No event,ball,"George Lombard Jr. grounds out, pitcher Ranger Suárez to second baseman Bryson Stott to first baseman Bryce Harper.",2025,Changeup
CU,624133,806146,No event,foul,"George Lombard Jr. grounds out, pitcher Ranger Suárez to second baseman Bryson Stott to first baseman Bryce Harper.",2025,Curveball
FF,624133,806146,No event,called_strike,"George Lombard Jr. grounds out, pitcher Ranger Suárez to second baseman Bryson Stott to first baseman Bryce Harper.",2025,4-Seam Fastball
CH,624133,678391,strikeout,swinging_strike,Jorbit Vivas strikes out swinging.,2025,Changeup
SL,624133,678391,No event,swinging_strike,Jorbit Vivas strikes out swinging.,2025,Slider
SI,624133,678391,No event,called_strike,Jorbit Vivas strikes out swinging.,2025,Sinker
CU,624133,678391,No event,ball,Jorbit Vivas strikes out swinging.,2025,Curveball
CH,624133,622569,field_out,hit_into_play,"Pablo Reyes grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Changeup
FF,624133,622569,No event,ball,"Pablo Reyes grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,4-Seam Fastball
CU,624133,622569,No event,ball,"Pablo Reyes grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Curveball
SI,624133,622569,No event,foul,"Pablo Reyes grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
FF,624133,665828,field_out,hit_into_play,"Oswaldo Cabrera grounds out, pitcher Ranger Suárez to first baseman Bryce Harper.",2025,4-Seam Fastball
CU,624133,665828,No event,ball,"Oswaldo Cabrera grounds out, pitcher Ranger Suárez to first baseman Bryce Harper.",2025,Curveball
CH,624133,665828,No event,foul,"Oswaldo Cabrera grounds out, pitcher Ranger Suárez to first baseman Bryce Harper.",2025,Changeup
FC,624133,665828,No event,foul,"Oswaldo Cabrera grounds out, pitcher Ranger Suárez to first baseman Bryce Harper.",2025,Cutter
FF,624133,641555,field_out,hit_into_play,J.C. Escarra pops out to shortstop Trea Turner.,2025,4-Seam Fastball
CH,624133,641555,No event,ball,J.C. Escarra pops out to shortstop Trea Turner.,2025,Changeup
SI,624133,641555,No event,ball,J.C. Escarra pops out to shortstop Trea Turner.,2025,Sinker
SL,624133,641555,No event,foul,J.C. Escarra pops out to shortstop Trea Turner.,2025,Slider
CH,624133,641555,No event,swinging_strike,J.C. Escarra pops out to shortstop Trea Turner.,2025,Changeup
SI,624133,641555,No event,foul,J.C. Escarra pops out to shortstop Trea Turner.,2025,Sinker
SI,624133,641555,No event,ball,J.C. Escarra pops out to shortstop Trea Turner.,2025,Sinker
SI,624133,607043,strikeout,called_strike,Brandon Nimmo called out on strikes.,2024,Sinker
CH,624133,607043,No event,foul,Brandon Nimmo called out on strikes.,2024,Changeup
CH,624133,607043,No event,ball,Brandon Nimmo called out on strikes.,2024,Changeup
SI,624133,607043,No event,foul,Brandon Nimmo called out on strikes.,2024,Sinker
FF,624133,607043,No event,called_strike,Brandon Nimmo called out on strikes.,2024,4-Seam Fastball
SI,624133,607043,No event,ball,Brandon Nimmo called out on strikes.,2024,Sinker
