pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,690916,543309,field_out,hit_into_play,"Kyle Higashioka grounds out, shortstop David Hamilton to first baseman Triston Casas.",2025,Slider
FF,690916,543309,No event,called_strike,"Kyle Higashioka grounds out, shortstop David Hamilton to first baseman Triston Casas.",2025,4-Seam Fastball
SL,690916,669394,field_out,hit_into_play,"Jake Burger grounds out, shortstop David Hamilton to first baseman Triston Casas.",2025,Slider
SI,690916,669394,No event,foul,"Jake Burger grounds out, shortstop David Hamilton to first baseman Triston Casas.",2025,Sinker
ST,690916,666969,home_run,hit_into_play,Adolis García homers (2) on a fly ball to left center field.,2025,Sweeper
ST,690916,666969,No event,swinging_strike,Adolis García homers (2) on a fly ball to left center field.,2025,Sweeper
SL,690916,666969,No event,foul,Adolis García homers (2) on a fly ball to left center field.,2025,Slider
CU,690916,592626,field_out,hit_into_play,"Joc Pederson grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Curveball
SL,690916,592626,No event,foul,"Joc Pederson grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Slider
CH,690916,592626,No event,called_strike,"Joc Pederson grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Changeup
FF,690916,592626,No event,ball,"Joc Pederson grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
FF,690916,694671,home_run,hit_into_play,Wyatt Langford homers (1) on a line drive to right field.,2025,4-Seam Fastball
ST,690916,694671,No event,ball,Wyatt Langford homers (1) on a line drive to right field.,2025,Sweeper
SL,690916,694671,No event,foul,Wyatt Langford homers (1) on a line drive to right field.,2025,Slider
SL,690916,694671,No event,called_strike,Wyatt Langford homers (1) on a line drive to right field.,2025,Slider
SL,690916,543760,field_out,hit_into_play,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Slider
ST,690916,543760,No event,ball,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,690916,543760,No event,foul,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,690916,543760,No event,foul_tip,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
SL,690916,543760,No event,ball,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Slider
