pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,663158,672356,field_out,hit_into_play,Gabriel Arias flies out to left fielder Brandon Lockridge.,2025,4-Seam Fastball
FF,663158,672356,No event,ball,Gabriel Arias flies out to left fielder Brandon Lockridge.,2025,4-Seam Fastball
FF,663158,672356,No event,ball,Gabriel Arias flies out to left fielder Brandon Lockridge.,2025,4-Seam Fastball
FF,663158,672356,No event,swinging_strike,Gabriel Arias flies out to left fielder Brandon Lockridge.,2025,4-Seam Fastball
FF,663158,672356,No event,ball,Gabriel Arias flies out to left fielder Brandon Lockridge.,2025,4-Seam Fastball
FF,663158,677587,strikeout,swinging_strike,Brayan Rocchio strikes out swinging.,2025,4-Seam Fastball
CH,663158,677587,No event,foul,Brayan Rocchio strikes out swinging.,2025,Changeup
CH,663158,677587,No event,swinging_strike,Brayan Rocchio strikes out swinging.,2025,Changeup
FF,663158,677587,No event,foul,Brayan Rocchio strikes out swinging.,2025,4-Seam Fastball
SI,663158,657041,field_out,hit_into_play,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sinker
FF,663158,657041,No event,called_strike,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,4-Seam Fastball
SI,663158,657041,No event,ball,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sinker
CH,663158,672284,strikeout,swinging_strike,Jarred Kelenic strikes out swinging.,2025,Changeup
CH,663158,672284,No event,ball,Jarred Kelenic strikes out swinging.,2025,Changeup
CH,663158,672284,No event,swinging_strike,Jarred Kelenic strikes out swinging.,2025,Changeup
FF,663158,672284,No event,called_strike,Jarred Kelenic strikes out swinging.,2025,4-Seam Fastball
SI,663158,669397,field_out,hit_into_play,Nick Allen lines out to center fielder Jackson Merrill.,2025,Sinker
FF,663158,669397,No event,foul,Nick Allen lines out to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,663158,669397,No event,swinging_strike,Nick Allen lines out to center fielder Jackson Merrill.,2025,4-Seam Fastball
SI,663158,669397,No event,ball,Nick Allen lines out to center fielder Jackson Merrill.,2025,Sinker
SI,663158,669397,No event,called_strike,Nick Allen lines out to center fielder Jackson Merrill.,2025,Sinker
FF,663158,686948,field_out,hit_into_play,"Drake Baldwin grounds out, pitcher Robert Suarez to first baseman Luis Arraez.",2025,4-Seam Fastball
FF,663158,686948,No event,ball,"Drake Baldwin grounds out, pitcher Robert Suarez to first baseman Luis Arraez.",2025,4-Seam Fastball
CH,663158,686948,No event,ball,"Drake Baldwin grounds out, pitcher Robert Suarez to first baseman Luis Arraez.",2025,Changeup
CH,663158,686948,No event,ball,"Drake Baldwin grounds out, pitcher Robert Suarez to first baseman Luis Arraez.",2025,Changeup
FF,663158,686948,No event,called_strike,"Drake Baldwin grounds out, pitcher Robert Suarez to first baseman Luis Arraez.",2025,4-Seam Fastball
CH,663158,645277,field_out,hit_into_play,"Ozzie Albies grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Changeup
FF,663158,645277,No event,called_strike,"Ozzie Albies grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,4-Seam Fastball
CH,663158,645277,No event,ball,"Ozzie Albies grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Changeup
CH,663158,645277,No event,ball,"Ozzie Albies grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Changeup
SI,663158,542303,strikeout,swinging_strike,Marcell Ozuna strikes out swinging.,2025,Sinker
CH,663158,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Changeup
CH,663158,542303,No event,called_strike,Marcell Ozuna strikes out swinging.,2025,Changeup
CH,663158,542303,No event,swinging_strike,Marcell Ozuna strikes out swinging.,2025,Changeup
CH,663158,542303,No event,blocked_ball,Marcell Ozuna strikes out swinging.,2025,Changeup
SI,663158,621566,walk,ball,Matt Olson walks. Austin Riley to 2nd.,2025,Sinker
FF,663158,621566,No event,ball,Matt Olson walks. Austin Riley to 2nd.,2025,4-Seam Fastball
