pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,676760,814439,double,hit_into_play,Ryan Waldschmidt doubles (1) on a line drive to center fielder Brandon Lockridge. Geraldo Perdomo scores.,2025,Sweeper
FF,676760,814439,No event,foul,Ryan Waldschmidt doubles (1) on a line drive to center fielder Brandon Lockridge. Geraldo Perdomo scores.,2025,4-Seam Fastball
ST,676760,814439,No event,ball,Ryan Waldschmidt doubles (1) on a line drive to center fielder Brandon Lockridge. Geraldo Perdomo scores.,2025,Sweeper
FF,676760,814439,No event,ball,Ryan Waldschmidt doubles (1) on a line drive to center fielder Brandon Lockridge. Geraldo Perdomo scores.,2025,4-Seam Fastball
ST,676760,814439,No event,called_strike,Ryan Waldschmidt doubles (1) on a line drive to center fielder Brandon Lockridge. Geraldo Perdomo scores.,2025,Sweeper
ST,676760,814439,No event,called_strike,Ryan Waldschmidt doubles (1) on a line drive to center fielder Brandon Lockridge. Geraldo Perdomo scores.,2025,Sweeper
FF,676760,672695,walk,ball,Geraldo Perdomo walks.,2025,4-Seam Fastball
CH,676760,672695,No event,foul,Geraldo Perdomo walks.,2025,Changeup
FF,676760,672695,No event,foul,Geraldo Perdomo walks.,2025,4-Seam Fastball
FF,676760,672695,No event,foul,Geraldo Perdomo walks.,2025,4-Seam Fastball
FF,676760,672695,No event,called_strike,Geraldo Perdomo walks.,2025,4-Seam Fastball
FF,676760,672695,No event,ball,Geraldo Perdomo walks.,2025,4-Seam Fastball
FF,676760,672695,No event,ball,Geraldo Perdomo walks.,2025,4-Seam Fastball
CH,676760,672695,No event,swinging_strike,Geraldo Perdomo walks.,2025,Changeup
ST,676760,672695,No event,ball,Geraldo Perdomo walks.,2025,Sweeper
FF,676760,553993,home_run,hit_into_play,Eugenio Suárez homers (3) on a fly ball to left field. Andy Weber scores.,2025,4-Seam Fastball
FF,676760,553993,No event,foul_tip,Eugenio Suárez homers (3) on a fly ball to left field. Andy Weber scores.,2025,4-Seam Fastball
FF,676760,553993,No event,ball,Eugenio Suárez homers (3) on a fly ball to left field. Andy Weber scores.,2025,4-Seam Fastball
CH,676760,647304,field_out,hit_into_play,Josh Naylor pops out to third baseman Eguy Rosario in foul territory.,2025,Changeup
ST,676760,666971,single,hit_into_play,Lourdes Gurriel Jr. singles on a sharp line drive to right fielder Tim Locastro. Junior Franco scores.,2025,Sweeper
FF,676760,672515,field_out,hit_into_play,Gabriel Moreno flies out sharply to center fielder Brandon Lockridge. Junior Franco to 3rd.,2025,4-Seam Fastball
CH,676760,672515,No event,ball,Gabriel Moreno flies out sharply to center fielder Brandon Lockridge. Junior Franco to 3rd.,2025,Changeup
FF,676760,672515,No event,ball,Gabriel Moreno flies out sharply to center fielder Brandon Lockridge. Junior Franco to 3rd.,2025,4-Seam Fastball
FF,676760,672515,No event,swinging_strike,Gabriel Moreno flies out sharply to center fielder Brandon Lockridge. Junior Franco to 3rd.,2025,4-Seam Fastball
FF,676760,672515,No event,called_strike,Gabriel Moreno flies out sharply to center fielder Brandon Lockridge. Junior Franco to 3rd.,2025,4-Seam Fastball
CH,676760,606466,single,hit_into_play,Ketel Marte singles on a ground ball to center fielder Brandon Lockridge.,2025,Changeup
FF,676760,606466,No event,foul,Ketel Marte singles on a ground ball to center fielder Brandon Lockridge.,2025,4-Seam Fastball
CH,676760,815154,strikeout,called_strike,Slade Caldwell called out on strikes.,2025,Changeup
FF,676760,815154,No event,foul,Slade Caldwell called out on strikes.,2025,4-Seam Fastball
FF,676760,815154,No event,swinging_strike,Slade Caldwell called out on strikes.,2025,4-Seam Fastball
FF,676760,815154,No event,called_strike,Slade Caldwell called out on strikes.,2025,4-Seam Fastball
FF,676760,815154,No event,ball,Slade Caldwell called out on strikes.,2025,4-Seam Fastball
CH,676760,695521,double,hit_into_play,Gavin Conticello doubles (1) on a sharp fly ball to center fielder Brandon Lockridge.,2025,Changeup
FF,676760,814439,No event,foul,Ryan Waldschmidt strikes out on automatic strike.,2025,4-Seam Fastball
CH,676760,814439,No event,ball,Ryan Waldschmidt strikes out on automatic strike.,2025,Changeup
FF,676760,814439,No event,foul,Ryan Waldschmidt strikes out on automatic strike.,2025,4-Seam Fastball
FF,676760,814439,No event,ball,Ryan Waldschmidt strikes out on automatic strike.,2025,4-Seam Fastball
