pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,696270,691026,field_out,hit_into_play,Masyn Winn lines out to center fielder Jo Adell.,2025,Cutter
FC,696270,691026,No event,swinging_strike,Masyn Winn lines out to center fielder Jo Adell.,2025,Cutter
FC,696270,691026,No event,foul,Masyn Winn lines out to center fielder Jo Adell.,2025,Cutter
FC,696270,687363,single,hit_into_play,Victor Scott II singles on a sharp line drive to right fielder Mike Trout. Iván Herrera scores.,2025,Cutter
CH,696270,687363,No event,ball,Victor Scott II singles on a sharp line drive to right fielder Mike Trout. Iván Herrera scores.,2025,Changeup
FC,696270,687363,No event,foul,Victor Scott II singles on a sharp line drive to right fielder Mike Trout. Iván Herrera scores.,2025,Cutter
FC,696270,687363,No event,called_strike,Victor Scott II singles on a sharp line drive to right fielder Mike Trout. Iván Herrera scores.,2025,Cutter
SI,696270,687363,No event,ball,Victor Scott II singles on a sharp line drive to right fielder Mike Trout. Iván Herrera scores.,2025,Sinker
SI,696270,687363,No event,ball,Victor Scott II singles on a sharp line drive to right fielder Mike Trout. Iván Herrera scores.,2025,Sinker
FC,696270,671056,force_out,hit_into_play,"Iván Herrera grounds into a force out, third baseman Yoán Moncada to second baseman Luis Rengifo. Nolan Gorman out at 2nd.",2025,Cutter
FC,696270,671056,No event,called_strike,"Iván Herrera grounds into a force out, third baseman Yoán Moncada to second baseman Luis Rengifo. Nolan Gorman out at 2nd.",2025,Cutter
FC,696270,691023,field_out,hit_into_play,Jordan Walker flies out to right fielder Mike Trout.,2025,Cutter
ST,696270,691023,No event,ball,Jordan Walker flies out to right fielder Mike Trout.,2025,Sweeper
FC,696270,691023,No event,foul,Jordan Walker flies out to right fielder Mike Trout.,2025,Cutter
FC,696270,691023,No event,called_strike,Jordan Walker flies out to right fielder Mike Trout.,2025,Cutter
FC,696270,571448,single,hit_into_play,Nolan Arenado singles on a ground ball to right fielder Mike Trout. Michael Siani scores. Brendan Donovan to 3rd.,2025,Cutter
FC,696270,571448,No event,swinging_strike,Nolan Arenado singles on a ground ball to right fielder Mike Trout. Michael Siani scores. Brendan Donovan to 3rd.,2025,Cutter
FC,696270,571448,No event,ball,Nolan Arenado singles on a ground ball to right fielder Mike Trout. Michael Siani scores. Brendan Donovan to 3rd.,2025,Cutter
ST,696270,691026,strikeout,foul_tip,Masyn Winn strikes out on a foul tip.,2025,Sweeper
ST,696270,691026,No event,foul,Masyn Winn strikes out on a foul tip.,2025,Sweeper
FC,696270,691026,No event,ball,Masyn Winn strikes out on a foul tip.,2025,Cutter
FC,696270,691026,No event,called_strike,Masyn Winn strikes out on a foul tip.,2025,Cutter
FC,696270,687363,sac_fly,hit_into_play,Victor Scott II out on a sacrifice fly to right fielder Mike Trout. Pedro Pagés scores.,2025,Cutter
CH,696270,687363,No event,ball,Victor Scott II out on a sacrifice fly to right fielder Mike Trout. Pedro Pagés scores.,2025,Changeup
SI,696270,687363,No event,swinging_strike,Victor Scott II out on a sacrifice fly to right fielder Mike Trout. Pedro Pagés scores.,2025,Sinker
FC,696270,687363,No event,called_strike,Victor Scott II out on a sacrifice fly to right fielder Mike Trout. Pedro Pagés scores.,2025,Cutter
FC,696270,687363,No event,ball,Victor Scott II out on a sacrifice fly to right fielder Mike Trout. Pedro Pagés scores.,2025,Cutter
SI,696270,676475,single,hit_into_play,Alec Burleson singles on a ground ball to center fielder Kyren Paris. Pedro Pagés to 3rd.,2025,Sinker
CH,696270,676475,No event,ball,Alec Burleson singles on a ground ball to center fielder Kyren Paris. Pedro Pagés to 3rd.,2025,Changeup
SI,696270,676475,No event,ball,Alec Burleson singles on a ground ball to center fielder Kyren Paris. Pedro Pagés to 3rd.,2025,Sinker
SI,696270,676475,No event,foul,Alec Burleson singles on a ground ball to center fielder Kyren Paris. Pedro Pagés to 3rd.,2025,Sinker
CH,696270,680977,field_out,hit_into_play,Brendan Donovan flies out to right fielder Mike Trout.,2025,Changeup
SI,696270,680977,No event,foul,Brendan Donovan flies out to right fielder Mike Trout.,2025,Sinker
FC,696270,680977,No event,ball,Brendan Donovan flies out to right fielder Mike Trout.,2025,Cutter
SI,696270,680977,No event,foul,Brendan Donovan flies out to right fielder Mike Trout.,2025,Sinker
SI,696270,680977,No event,foul,Brendan Donovan flies out to right fielder Mike Trout.,2025,Sinker
SI,696270,680977,No event,ball,Brendan Donovan flies out to right fielder Mike Trout.,2025,Sinker
SI,696270,680977,No event,called_strike,Brendan Donovan flies out to right fielder Mike Trout.,2025,Sinker
SI,696270,686676,No event,ball,Korey Lee walks.,2025,Sinker
FC,696270,672820,home_run,hit_into_play,Lenyn Sosa homers (1) on a fly ball to left center field. Travis Jankowski scores.,2025,Cutter
FC,696270,672820,No event,called_strike,Lenyn Sosa homers (1) on a fly ball to left center field. Travis Jankowski scores.,2025,Cutter
FC,696270,665155,walk,ball,Nick Maton walks.,2025,Cutter
FF,696270,665155,No event,ball,Nick Maton walks.,2025,4-Seam Fastball
CH,696270,665155,No event,ball,Nick Maton walks.,2025,Changeup
FC,696270,665155,No event,swinging_strike,Nick Maton walks.,2025,Cutter
FF,696270,665155,No event,ball,Nick Maton walks.,2025,4-Seam Fastball
FC,696270,683734,field_out,hit_into_play,Andrew Vaughn pops out to first baseman Nolan Schanuel.,2025,Cutter
FC,696270,683734,No event,called_strike,Andrew Vaughn pops out to first baseman Nolan Schanuel.,2025,Cutter
FC,696270,683734,No event,ball,Andrew Vaughn pops out to first baseman Nolan Schanuel.,2025,Cutter
FF,696270,643217,home_run,hit_into_play,Andrew Benintendi homers (1) on a fly ball to right field. Michael A. Taylor scores. Miguel Vargas scores.,2025,4-Seam Fastball
CH,696270,643217,No event,ball,Andrew Benintendi homers (1) on a fly ball to right field. Michael A. Taylor scores. Miguel Vargas scores.,2025,Changeup
