pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,666171,575929,strikeout,swinging_strike,Willson Contreras strikes out swinging.,2025,Sweeper
FC,666171,575929,No event,called_strike,Willson Contreras strikes out swinging.,2025,Cutter
FF,666171,575929,No event,ball,Willson Contreras strikes out swinging.,2025,4-Seam Fastball
FF,666171,575929,No event,foul,Willson Contreras strikes out swinging.,2025,4-Seam Fastball
FF,666171,663457,field_out,hit_into_play,Lars Nootbaar flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666171,663457,No event,foul,Lars Nootbaar flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666171,663457,No event,ball,Lars Nootbaar flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FC,666171,663457,No event,called_strike,Lars Nootbaar flies out to left fielder Taylor Ward.,2025,Cutter
FF,666171,571448,field_out,hit_into_play,Nolan Arenado pops out to first baseman Nolan Schanuel.,2025,4-Seam Fastball
FC,666171,571448,No event,called_strike,Nolan Arenado pops out to first baseman Nolan Schanuel.,2025,Cutter
FC,666171,678246,No event,ball,Miguel Vargas walks.,2025,Cutter
FC,666171,678246,No event,called_strike,Miguel Vargas walks.,2025,Cutter
FC,666171,678246,No event,ball,Miguel Vargas walks.,2025,Cutter
FC,666171,678246,No event,swinging_strike,Miguel Vargas walks.,2025,Cutter
FC,666171,678246,No event,ball,Miguel Vargas walks.,2025,Cutter
FC,666171,642136,double,hit_into_play,Matt Thaiss doubles (1) on a sharp line drive to center fielder Kyren Paris.,2025,Cutter
FC,666171,642136,No event,called_strike,Matt Thaiss doubles (1) on a sharp line drive to center fielder Kyren Paris.,2025,Cutter
ST,666171,683734,strikeout,swinging_strike,Andrew Vaughn strikes out swinging.,2025,Sweeper
ST,666171,683734,No event,ball,Andrew Vaughn strikes out swinging.,2025,Sweeper
FC,666171,683734,No event,foul,Andrew Vaughn strikes out swinging.,2025,Cutter
FC,666171,683734,No event,called_strike,Andrew Vaughn strikes out swinging.,2025,Cutter
FF,666171,606192,strikeout,swinging_strike,Teoscar Hernández strikes out swinging.,2025,4-Seam Fastball
FC,666171,606192,No event,swinging_strike,Teoscar Hernández strikes out swinging.,2025,Cutter
FF,666171,606192,No event,ball,Teoscar Hernández strikes out swinging.,2025,4-Seam Fastball
FF,666171,606192,No event,called_strike,Teoscar Hernández strikes out swinging.,2025,4-Seam Fastball
FC,666171,694838,strikeout,swinging_strike,Joe Vetrano strikes out swinging.,2025,Cutter
FF,666171,694838,No event,ball,Joe Vetrano strikes out swinging.,2025,4-Seam Fastball
FC,666171,694838,No event,foul,Joe Vetrano strikes out swinging.,2025,Cutter
ST,666171,694838,No event,ball,Joe Vetrano strikes out swinging.,2025,Sweeper
ST,666171,694838,No event,called_strike,Joe Vetrano strikes out swinging.,2025,Sweeper
ST,666171,694838,No event,ball,Joe Vetrano strikes out swinging.,2025,Sweeper
FF,666171,694838,No event,foul,Joe Vetrano strikes out swinging.,2025,4-Seam Fastball
ST,666171,681624,field_out,hit_into_play,"Andy Pages grounds out sharply, shortstop David Mershon to first baseman Nolan Schanuel.",2025,Sweeper
FC,666171,681624,No event,foul,"Andy Pages grounds out sharply, shortstop David Mershon to first baseman Nolan Schanuel.",2025,Cutter
FC,666171,681624,No event,ball,"Andy Pages grounds out sharply, shortstop David Mershon to first baseman Nolan Schanuel.",2025,Cutter
FC,666171,621035,field_out,hit_into_play,Chris Taylor flies out to center fielder Mickey Moniak.,2025,Cutter
FC,666171,621035,No event,ball,Chris Taylor flies out to center fielder Mickey Moniak.,2025,Cutter
FC,666171,605131,field_out,hit_into_play,"Austin Barnes grounds out, second baseman Tim Anderson to first baseman Nolan Schanuel.",2025,Cutter
FC,666171,605131,No event,foul,"Austin Barnes grounds out, second baseman Tim Anderson to first baseman Nolan Schanuel.",2025,Cutter
FC,666171,605131,No event,foul_tip,"Austin Barnes grounds out, second baseman Tim Anderson to first baseman Nolan Schanuel.",2025,Cutter
FC,666171,605131,No event,foul,"Austin Barnes grounds out, second baseman Tim Anderson to first baseman Nolan Schanuel.",2025,Cutter
FC,666171,500743,field_out,hit_into_play,Miguel Rojas lines out to right fielder Mike Trout.,2025,Cutter
FC,666171,500743,No event,foul,Miguel Rojas lines out to right fielder Mike Trout.,2025,Cutter
FC,666171,500743,No event,called_strike,Miguel Rojas lines out to right fielder Mike Trout.,2025,Cutter
ST,666171,572191,field_out,hit_into_play,Michael A. Taylor flies out to left fielder Taylor Ward.,2025,Sweeper
FF,666171,572191,No event,swinging_strike,Michael A. Taylor flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FC,666171,572191,No event,foul,Michael A. Taylor flies out to left fielder Taylor Ward.,2025,Cutter
ST,666171,686676,single,hit_into_play,Korey Lee singles on a ground ball to second baseman Tim Anderson.,2025,Sweeper
FF,666171,686676,No event,ball,Korey Lee singles on a ground ball to second baseman Tim Anderson.,2025,4-Seam Fastball
FF,666171,686676,No event,foul,Korey Lee singles on a ground ball to second baseman Tim Anderson.,2025,4-Seam Fastball
FC,666171,805367,field_out,hit_into_play,Chase Meidroth flies out to right fielder Jorge Soler.,2025,Cutter
FF,666171,805367,No event,foul,Chase Meidroth flies out to right fielder Jorge Soler.,2025,4-Seam Fastball
FF,666171,805367,No event,called_strike,Chase Meidroth flies out to right fielder Jorge Soler.,2025,4-Seam Fastball
ST,666171,805367,No event,ball,Chase Meidroth flies out to right fielder Jorge Soler.,2025,Sweeper
ST,666171,672820,field_out,hit_into_play,Lenyn Sosa flies out to center fielder Mickey Moniak.,2025,Sweeper
FC,666171,672820,No event,ball,Lenyn Sosa flies out to center fielder Mickey Moniak.,2025,Cutter
FF,666171,665155,field_out,hit_into_play,Nick Maton flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666171,665155,No event,foul,Nick Maton flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
ST,666171,665155,No event,called_strike,Nick Maton flies out to left fielder Taylor Ward.,2025,Sweeper
FC,666171,678246,walk,ball,Miguel Vargas walks.,2025,Cutter
FF,666171,678246,No event,ball,Miguel Vargas walks.,2025,4-Seam Fastball
FC,666171,678246,No event,ball,Miguel Vargas walks.,2025,Cutter
FC,666171,678246,No event,ball,Miguel Vargas walks.,2025,Cutter
ST,666171,683734,double,hit_into_play,Andrew Vaughn doubles (2) on a fly ball to left fielder Taylor Ward. Travis Jankowski scores. Luis Robert Jr. scores.,2025,Sweeper
FC,666171,683734,No event,ball,Andrew Vaughn doubles (2) on a fly ball to left fielder Taylor Ward. Travis Jankowski scores. Luis Robert Jr. scores.,2025,Cutter
FC,666171,683734,No event,ball,Andrew Vaughn doubles (2) on a fly ball to left fielder Taylor Ward. Travis Jankowski scores. Luis Robert Jr. scores.,2025,Cutter
,666171,702391,field_out,hit_into_play,Demetrio Nadal flies out to right fielder Kevyn Castillo.,2025,
,666171,806983,strikeout,called_strike,Yophery Rodriguez called out on strikes.,2025,
,666171,806983,No event,ball,Yophery Rodriguez called out on strikes.,2025,
,666171,806983,No event,ball,Yophery Rodriguez called out on strikes.,2025,
,666171,806983,No event,called_strike,Yophery Rodriguez called out on strikes.,2025,
,666171,806983,No event,foul,Yophery Rodriguez called out on strikes.,2025,
,666171,806995,field_out,hit_into_play,Filippo Di Turi lines out to center fielder Matthew Lugo.,2025,
,666171,806995,No event,foul,Filippo Di Turi lines out to center fielder Matthew Lugo.,2025,
,666171,806995,No event,called_strike,Filippo Di Turi lines out to center fielder Matthew Lugo.,2025,
,666171,806995,No event,ball,Filippo Di Turi lines out to center fielder Matthew Lugo.,2025,
FC,666171,683734,strikeout,swinging_strike,Andrew Vaughn strikes out swinging.,2025,Cutter
FF,666171,683734,No event,ball,Andrew Vaughn strikes out swinging.,2025,4-Seam Fastball
ST,666171,683734,No event,swinging_strike,Andrew Vaughn strikes out swinging.,2025,Sweeper
ST,666171,683734,No event,ball,Andrew Vaughn strikes out swinging.,2025,Sweeper
FF,666171,683734,No event,called_strike,Andrew Vaughn strikes out swinging.,2025,4-Seam Fastball
FF,666171,678246,walk,ball,Miguel Vargas walks. Terrell Tatum to 2nd.,2025,4-Seam Fastball
FF,666171,678246,No event,called_strike,Miguel Vargas walks. Terrell Tatum to 2nd.,2025,4-Seam Fastball
FC,666171,678246,No event,called_strike,Miguel Vargas walks. Terrell Tatum to 2nd.,2025,Cutter
FF,666171,678246,No event,ball,Miguel Vargas walks. Terrell Tatum to 2nd.,2025,4-Seam Fastball
FF,666171,678246,No event,ball,Miguel Vargas walks. Terrell Tatum to 2nd.,2025,4-Seam Fastball
FF,666171,678246,No event,ball,Miguel Vargas walks. Terrell Tatum to 2nd.,2025,4-Seam Fastball
FC,666171,673357,single,hit_into_play,"Luis Robert Jr. singles on a ground ball to shortstop Kyren Paris. Nick Maton to 3rd. Nick Maton advances to 3rd, on a throwing error by shortstop Kyren Paris.",2025,Cutter
FF,666171,673357,No event,ball,"Luis Robert Jr. singles on a ground ball to shortstop Kyren Paris. Nick Maton to 3rd. Nick Maton advances to 3rd, on a throwing error by shortstop Kyren Paris.",2025,4-Seam Fastball
FF,666171,665155,walk,ball,Nick Maton walks.,2025,4-Seam Fastball
FC,666171,665155,No event,called_strike,Nick Maton walks.,2025,Cutter
FC,666171,665155,No event,ball,Nick Maton walks.,2025,Cutter
ST,666171,665155,No event,ball,Nick Maton walks.,2025,Sweeper
ST,666171,665155,No event,ball,Nick Maton walks.,2025,Sweeper
FF,666171,666150,field_out,hit_into_play,Dominic Fletcher flies out to left fielder Scott Kingery.,2025,4-Seam Fastball
FF,666171,666150,No event,ball,Dominic Fletcher flies out to left fielder Scott Kingery.,2025,4-Seam Fastball
FC,666171,572191,strikeout,swinging_strike,Michael A. Taylor strikes out swinging.,2025,Cutter
FC,666171,572191,No event,swinging_strike,Michael A. Taylor strikes out swinging.,2025,Cutter
FC,666171,572191,No event,ball,Michael A. Taylor strikes out swinging.,2025,Cutter
FF,666171,572191,No event,ball,Michael A. Taylor strikes out swinging.,2025,4-Seam Fastball
FF,666171,572191,No event,ball,Michael A. Taylor strikes out swinging.,2025,4-Seam Fastball
