pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,691951,671221,strikeout,called_strike,"Royals challenged (pitch result), call on the field was upheld: Drew Waters called out on strikes.",2025,Changeup
SL,691951,671221,No event,foul,"Royals challenged (pitch result), call on the field was upheld: Drew Waters called out on strikes.",2025,Slider
CH,691951,671221,No event,called_strike,"Royals challenged (pitch result), call on the field was upheld: Drew Waters called out on strikes.",2025,Changeup
SL,691951,671221,No event,swinging_strike,"Royals challenged (pitch result), call on the field was upheld: Drew Waters called out on strikes.",2025,Slider
CH,691951,671221,No event,ball,"Royals challenged (pitch result), call on the field was upheld: Drew Waters called out on strikes.",2025,Changeup
SL,691951,800051,strikeout,swinging_strike,"Austin Charles strikes out swinging, catcher Sebastián Rivero to first baseman Niko Kavadas.",2025,Slider
SL,691951,800051,No event,swinging_strike,"Austin Charles strikes out swinging, catcher Sebastián Rivero to first baseman Niko Kavadas.",2025,Slider
FF,691951,800051,No event,foul,"Austin Charles strikes out swinging, catcher Sebastián Rivero to first baseman Niko Kavadas.",2025,4-Seam Fastball
SL,691951,668472,strikeout,swinging_strike,Nick Pratto strikes out swinging.,2025,Slider
SL,691951,668472,No event,swinging_strike,Nick Pratto strikes out swinging.,2025,Slider
FF,691951,668472,No event,called_strike,Nick Pratto strikes out swinging.,2025,4-Seam Fastball
SL,691951,668472,No event,ball,Nick Pratto strikes out swinging.,2025,Slider
CH,691951,657247,home_run,hit_into_play,Brian O'Keefe homers (1) on a line drive to left field.,2025,Changeup
FF,691951,657247,No event,ball,Brian O'Keefe homers (1) on a line drive to left field.,2025,4-Seam Fastball
FF,691951,686469,home_run,hit_into_play,Vinnie Pasquantino homers (1) on a fly ball to right field.,2025,4-Seam Fastball
FF,691951,605170,walk,ball,Victor Caratini walks.,2024,4-Seam Fastball
CH,691951,605170,No event,blocked_ball,Victor Caratini walks.,2024,Changeup
CU,691951,605170,No event,ball,Victor Caratini walks.,2024,Curveball
FF,691951,605170,No event,foul,Victor Caratini walks.,2024,4-Seam Fastball
CH,691951,605170,No event,ball,Victor Caratini walks.,2024,Changeup
SL,691951,665161,double,hit_into_play,Jeremy Peña doubles (24) on a ground ball to left fielder Taylor Ward.,2024,Slider
FF,691951,608324,home_run,hit_into_play,Alex Bregman homers (23) on a fly ball to left field. Kyle Tucker scores.,2024,4-Seam Fastball
FF,691951,663656,single,hit_into_play,Kyle Tucker singles on a sharp line drive to right fielder Jordyn Adams.,2024,4-Seam Fastball
