pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,656529,595879,field_out,hit_into_play,"Javier Báez grounds out, shortstop Brayan Rocchio to first baseman David Fry.",2024,Curveball
CU,656529,595879,No event,foul,"Javier Báez grounds out, shortstop Brayan Rocchio to first baseman David Fry.",2024,Curveball
CU,656529,595879,No event,called_strike,"Javier Báez grounds out, shortstop Brayan Rocchio to first baseman David Fry.",2024,Curveball
CU,656529,595879,No event,foul,"Javier Báez grounds out, shortstop Brayan Rocchio to first baseman David Fry.",2024,Curveball
CU,656529,570482,field_out,hit_into_play,"Gio Urshela grounds out, third baseman José Ramírez to first baseman David Fry.",2024,Curveball
FF,656529,570482,No event,foul,"Gio Urshela grounds out, third baseman José Ramírez to first baseman David Fry.",2024,4-Seam Fastball
SL,656529,570482,No event,foul,"Gio Urshela grounds out, third baseman José Ramírez to first baseman David Fry.",2024,Slider
SL,656529,570482,No event,ball,"Gio Urshela grounds out, third baseman José Ramírez to first baseman David Fry.",2024,Slider
FF,656529,570482,No event,foul,"Gio Urshela grounds out, third baseman José Ramírez to first baseman David Fry.",2024,4-Seam Fastball
SL,656529,570482,No event,ball,"Gio Urshela grounds out, third baseman José Ramírez to first baseman David Fry.",2024,Slider
SL,656529,682985,double,hit_into_play,Riley Greene doubles (18) on a line drive to right fielder Angel Martínez.,2024,Slider
SL,656529,682985,No event,swinging_strike,Riley Greene doubles (18) on a line drive to right fielder Angel Martínez.,2024,Slider
SI,656529,682985,No event,called_strike,Riley Greene doubles (18) on a line drive to right fielder Angel Martínez.,2024,Sinker
SI,656529,682985,No event,ball,Riley Greene doubles (18) on a line drive to right fielder Angel Martínez.,2024,Sinker
SL,656529,682985,No event,ball,Riley Greene doubles (18) on a line drive to right fielder Angel Martínez.,2024,Slider
SL,656529,663837,strikeout,swinging_strike,Matt Vierling strikes out swinging.,2024,Slider
SI,656529,663837,No event,ball,Matt Vierling strikes out swinging.,2024,Sinker
FF,656529,663837,No event,foul,Matt Vierling strikes out swinging.,2024,4-Seam Fastball
CU,656529,663837,No event,ball,Matt Vierling strikes out swinging.,2024,Curveball
FF,656529,663837,No event,called_strike,Matt Vierling strikes out swinging.,2024,4-Seam Fastball
FF,656529,663837,No event,ball,Matt Vierling strikes out swinging.,2024,4-Seam Fastball
CU,656529,663837,No event,called_strike,Matt Vierling strikes out swinging.,2024,Curveball
