pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,669674,668930,single,hit_into_play,Brice Turang singles on a bunt ground ball to pitcher Sam Long. Oliver Dunn scores. Joey Ortiz to 2nd.,2025,Slider
FF,669674,687401,walk,ball,Joey Ortiz walks.,2025,4-Seam Fastball
FF,669674,687401,No event,foul,Joey Ortiz walks.,2025,4-Seam Fastball
SL,669674,687401,No event,foul,Joey Ortiz walks.,2025,Slider
FS,669674,687401,No event,ball,Joey Ortiz walks.,2025,Split-Finger
SL,669674,687401,No event,foul,Joey Ortiz walks.,2025,Slider
FF,669674,687401,No event,ball,Joey Ortiz walks.,2025,4-Seam Fastball
FF,669674,687401,No event,foul,Joey Ortiz walks.,2025,4-Seam Fastball
CU,669674,687401,No event,called_strike,Joey Ortiz walks.,2025,Curveball
CU,669674,687401,No event,ball,Joey Ortiz walks.,2025,Curveball
FF,669674,669003,field_out,hit_into_play,"Garrett Mitchell grounds out, second baseman Cavan Biggio to first baseman Salvador Perez. Oliver Dunn to 3rd.",2025,4-Seam Fastball
SL,669674,669003,No event,blocked_ball,"Garrett Mitchell grounds out, second baseman Cavan Biggio to first baseman Salvador Perez. Oliver Dunn to 3rd.",2025,Slider
SL,669674,669003,No event,called_strike,"Garrett Mitchell grounds out, second baseman Cavan Biggio to first baseman Salvador Perez. Oliver Dunn to 3rd.",2025,Slider
FF,669674,669003,No event,called_strike,"Garrett Mitchell grounds out, second baseman Cavan Biggio to first baseman Salvador Perez. Oliver Dunn to 3rd.",2025,4-Seam Fastball
FF,669674,694192,grounded_into_double_play,hit_into_play,"Jackson Chourio grounds into a double play, shortstop Bobby Witt Jr. to second baseman Michael Massey to first baseman Mark Canha. Brice Turang out at 2nd. Jackson Chourio out at 1st.",2025,4-Seam Fastball
SL,669674,694192,No event,foul,"Jackson Chourio grounds into a double play, shortstop Bobby Witt Jr. to second baseman Michael Massey to first baseman Mark Canha. Brice Turang out at 2nd. Jackson Chourio out at 1st.",2025,Slider
SL,669674,694192,No event,blocked_ball,"Jackson Chourio grounds into a double play, shortstop Bobby Witt Jr. to second baseman Michael Massey to first baseman Mark Canha. Brice Turang out at 2nd. Jackson Chourio out at 1st.",2025,Slider
SL,669674,668930,single,hit_into_play,Brice Turang singles on a ground ball to right fielder Hunter Renfroe.,2025,Slider
SL,669674,668930,No event,called_strike,Brice Turang singles on a ground ball to right fielder Hunter Renfroe.,2025,Slider
CU,669674,668930,No event,ball,Brice Turang singles on a ground ball to right fielder Hunter Renfroe.,2025,Curveball
SL,669674,668930,No event,called_strike,Brice Turang singles on a ground ball to right fielder Hunter Renfroe.,2025,Slider
FF,669674,668930,No event,ball,Brice Turang singles on a ground ball to right fielder Hunter Renfroe.,2025,4-Seam Fastball
FF,669674,606992,strikeout,foul_tip,Eric Haase strikes out on a foul tip.,2025,4-Seam Fastball
FF,669674,606992,No event,foul,Eric Haase strikes out on a foul tip.,2025,4-Seam Fastball
SL,669674,606992,No event,foul,Eric Haase strikes out on a foul tip.,2025,Slider
FF,669674,606992,No event,ball,Eric Haase strikes out on a foul tip.,2025,4-Seam Fastball
FF,669674,606992,No event,ball,Eric Haase strikes out on a foul tip.,2025,4-Seam Fastball
