pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,669308,676609,single,hit_into_play,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,Sweeper
FF,669308,676609,No event,foul,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,4-Seam Fastball
SL,669308,676609,No event,foul,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,Slider
SL,669308,676609,No event,foul,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,Slider
SL,669308,676609,No event,foul,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,Slider
FF,669308,676609,No event,called_strike,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,4-Seam Fastball
SL,669308,676609,No event,ball,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,Slider
SL,669308,676609,No event,swinging_strike,José Caballero singles on a ground ball to left fielder Jurickson Profar. Josh Lowe to 2nd.,2024,Slider
SL,669308,666139,single,hit_into_play,Josh Lowe singles on a ground ball to right fielder Bryce Johnson.,2024,Slider
FF,669308,666139,No event,called_strike,Josh Lowe singles on a ground ball to right fielder Bryce Johnson.,2024,4-Seam Fastball
FF,669308,666139,No event,ball,Josh Lowe singles on a ground ball to right fielder Bryce Johnson.,2024,4-Seam Fastball
SL,669308,666139,No event,swinging_strike,Josh Lowe singles on a ground ball to right fielder Bryce Johnson.,2024,Slider
FF,669308,666139,No event,ball,Josh Lowe singles on a ground ball to right fielder Bryce Johnson.,2024,4-Seam Fastball
SL,669308,666185,strikeout,called_strike,Dylan Carlson called out on strikes.,2024,Slider
CH,669308,666185,No event,ball,Dylan Carlson called out on strikes.,2024,Changeup
FF,669308,666185,No event,ball,Dylan Carlson called out on strikes.,2024,4-Seam Fastball
SL,669308,666185,No event,foul,Dylan Carlson called out on strikes.,2024,Slider
FF,669308,666185,No event,ball,Dylan Carlson called out on strikes.,2024,4-Seam Fastball
FF,669308,666185,No event,swinging_strike,Dylan Carlson called out on strikes.,2024,4-Seam Fastball
SL,669308,691406,strikeout,swinging_strike,Junior Caminero strikes out swinging.,2024,Slider
ST,669308,691406,No event,foul,Junior Caminero strikes out swinging.,2024,Sweeper
FF,669308,691406,No event,foul,Junior Caminero strikes out swinging.,2024,4-Seam Fastball
SL,669308,691406,No event,ball,Junior Caminero strikes out swinging.,2024,Slider
ST,669308,691406,No event,foul_tip,Junior Caminero strikes out swinging.,2024,Sweeper
SL,669308,691406,No event,called_strike,Junior Caminero strikes out swinging.,2024,Slider
SL,669308,666018,strikeout,swinging_strike,Jonathan Aranda strikes out swinging.,2024,Slider
FF,669308,666018,No event,swinging_strike,Jonathan Aranda strikes out swinging.,2024,4-Seam Fastball
FF,669308,666018,No event,ball,Jonathan Aranda strikes out swinging.,2024,4-Seam Fastball
FF,669308,666018,No event,ball,Jonathan Aranda strikes out swinging.,2024,4-Seam Fastball
SL,669308,666018,No event,foul,Jonathan Aranda strikes out swinging.,2024,Slider
SL,669308,656577,strikeout,swinging_strike_blocked,Alex Jackson strikes out swinging.,2024,Slider
FF,669308,656577,No event,foul,Alex Jackson strikes out swinging.,2024,4-Seam Fastball
SL,669308,656577,No event,ball,Alex Jackson strikes out swinging.,2024,Slider
SL,669308,656577,No event,swinging_strike,Alex Jackson strikes out swinging.,2024,Slider
SL,669308,656577,No event,blocked_ball,Alex Jackson strikes out swinging.,2024,Slider
SL,669308,656577,No event,called_strike,Alex Jackson strikes out swinging.,2024,Slider
SL,669308,670764,walk,ball,Taylor Walls walks.,2024,Slider
FF,669308,670764,No event,swinging_strike,Taylor Walls walks.,2024,4-Seam Fastball
SL,669308,670764,No event,ball,Taylor Walls walks.,2024,Slider
FF,669308,670764,No event,ball,Taylor Walls walks.,2024,4-Seam Fastball
FF,669308,670764,No event,called_strike,Taylor Walls walks.,2024,4-Seam Fastball
FF,669308,670764,No event,ball,Taylor Walls walks.,2024,4-Seam Fastball
SL,669308,676356,strikeout,called_strike,Jonny DeLuca called out on strikes.,2024,Slider
FF,669308,676356,No event,foul,Jonny DeLuca called out on strikes.,2024,4-Seam Fastball
FF,669308,676356,No event,swinging_strike,Jonny DeLuca called out on strikes.,2024,4-Seam Fastball
FF,669308,676356,No event,ball,Jonny DeLuca called out on strikes.,2024,4-Seam Fastball
FF,669308,676356,No event,ball,Jonny DeLuca called out on strikes.,2024,4-Seam Fastball
SL,669308,571448,strikeout,swinging_strike_blocked,Nolan Arenado strikes out swinging.,2024,Slider
SL,669308,571448,No event,foul,Nolan Arenado strikes out swinging.,2024,Slider
ST,669308,571448,No event,ball,Nolan Arenado strikes out swinging.,2024,Sweeper
FF,669308,571448,No event,foul,Nolan Arenado strikes out swinging.,2024,4-Seam Fastball
SL,669308,571448,No event,foul,Nolan Arenado strikes out swinging.,2024,Slider
FF,669308,571448,No event,foul,Nolan Arenado strikes out swinging.,2024,4-Seam Fastball
FF,669308,571448,No event,called_strike,Nolan Arenado strikes out swinging.,2024,4-Seam Fastball
FF,669308,571448,No event,ball,Nolan Arenado strikes out swinging.,2024,4-Seam Fastball
SL,669308,571448,No event,called_strike,Nolan Arenado strikes out swinging.,2024,Slider
SL,669308,676475,walk,ball,Alec Burleson walks.   Masyn Winn to 2nd.,2024,Slider
FF,669308,676475,No event,ball,Alec Burleson walks.   Masyn Winn to 2nd.,2024,4-Seam Fastball
FF,669308,676475,No event,foul,Alec Burleson walks.   Masyn Winn to 2nd.,2024,4-Seam Fastball
SL,669308,676475,No event,ball,Alec Burleson walks.   Masyn Winn to 2nd.,2024,Slider
FF,669308,676475,No event,foul,Alec Burleson walks.   Masyn Winn to 2nd.,2024,4-Seam Fastball
SL,669308,676475,No event,ball,Alec Burleson walks.   Masyn Winn to 2nd.,2024,Slider
FF,669308,691026,walk,ball,Masyn Winn walks.,2024,4-Seam Fastball
FF,669308,691026,No event,ball,Masyn Winn walks.,2024,4-Seam Fastball
SL,669308,691026,No event,ball,Masyn Winn walks.,2024,Slider
SL,669308,691026,No event,ball,Masyn Winn walks.,2024,Slider
FF,669308,686780,strikeout,swinging_strike,Pedro Pagés strikes out swinging.,2024,4-Seam Fastball
FF,669308,686780,No event,swinging_strike,Pedro Pagés strikes out swinging.,2024,4-Seam Fastball
FF,669308,686780,No event,ball,Pedro Pagés strikes out swinging.,2024,4-Seam Fastball
FF,669308,686780,No event,ball,Pedro Pagés strikes out swinging.,2024,4-Seam Fastball
SL,669308,686780,No event,ball,Pedro Pagés strikes out swinging.,2024,Slider
FF,669308,686780,No event,called_strike,Pedro Pagés strikes out swinging.,2024,4-Seam Fastball
FF,669308,502054,field_out,hit_into_play,"Tommy Pham grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,4-Seam Fastball
SL,669308,502054,No event,ball,"Tommy Pham grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,Slider
SL,669308,502054,No event,ball,"Tommy Pham grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,Slider
FF,669308,668901,strikeout,called_strike,Mark Vientos called out on strikes.,2024,4-Seam Fastball
SL,669308,668901,No event,swinging_strike,Mark Vientos called out on strikes.,2024,Slider
FF,669308,668901,No event,ball,Mark Vientos called out on strikes.,2024,4-Seam Fastball
FF,669308,668901,No event,foul,Mark Vientos called out on strikes.,2024,4-Seam Fastball
CH,669308,596019,double,hit_into_play,Francisco Lindor doubles (34) on a line drive to left fielder Tyler Wade.,2024,Changeup
FF,669308,596019,No event,foul,Francisco Lindor doubles (34) on a line drive to left fielder Tyler Wade.,2024,4-Seam Fastball
FF,669308,596019,No event,ball,Francisco Lindor doubles (34) on a line drive to left fielder Tyler Wade.,2024,4-Seam Fastball
FF,669308,596019,No event,swinging_strike,Francisco Lindor doubles (34) on a line drive to left fielder Tyler Wade.,2024,4-Seam Fastball
FF,669308,664056,strikeout,swinging_strike,Harrison Bader strikes out swinging.,2024,4-Seam Fastball
FF,669308,664056,No event,ball,Harrison Bader strikes out swinging.,2024,4-Seam Fastball
FF,669308,664056,No event,ball,Harrison Bader strikes out swinging.,2024,4-Seam Fastball
SL,669308,664056,No event,called_strike,Harrison Bader strikes out swinging.,2024,Slider
SL,669308,664056,No event,ball,Harrison Bader strikes out swinging.,2024,Slider
FF,669308,664056,No event,swinging_strike,Harrison Bader strikes out swinging.,2024,4-Seam Fastball
SL,669308,682626,field_out,hit_into_play,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,Slider
FF,669308,682626,No event,ball,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,4-Seam Fastball
SL,669308,682626,No event,foul,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,Slider
SL,669308,682626,No event,called_strike,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,Slider
FF,669308,682626,No event,ball,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,4-Seam Fastball
FF,669308,682626,No event,called_strike,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,4-Seam Fastball
FF,669308,682626,No event,ball,"Francisco Alvarez grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.",2024,4-Seam Fastball
FF,669308,668904,strikeout,swinging_strike,Royce Lewis strikes out swinging.,2024,4-Seam Fastball
FF,669308,668904,No event,foul,Royce Lewis strikes out swinging.,2024,4-Seam Fastball
SL,669308,668904,No event,called_strike,Royce Lewis strikes out swinging.,2024,Slider
SL,669308,668904,No event,ball,Royce Lewis strikes out swinging.,2024,Slider
FF,669308,668904,No event,foul,Royce Lewis strikes out swinging.,2024,4-Seam Fastball
CH,669308,663616,double,hit_into_play,Trevor Larnach doubles (13) on a sharp line drive to right fielder David Peralta.,2024,Changeup
CH,669308,663616,No event,called_strike,Trevor Larnach doubles (13) on a sharp line drive to right fielder David Peralta.,2024,Changeup
FF,669308,663616,No event,ball,Trevor Larnach doubles (13) on a sharp line drive to right fielder David Peralta.,2024,4-Seam Fastball
FF,669308,650489,strikeout,swinging_strike,Willi Castro strikes out swinging.,2024,4-Seam Fastball
SL,669308,650489,No event,called_strike,Willi Castro strikes out swinging.,2024,Slider
SL,669308,650489,No event,foul,Willi Castro strikes out swinging.,2024,Slider
CH,669308,650489,No event,ball,Willi Castro strikes out swinging.,2024,Changeup
SL,669308,668885,field_out,hit_into_play,Austin Martin flies out to center fielder Jackson Merrill.,2024,Slider
FF,669308,668885,No event,ball,Austin Martin flies out to center fielder Jackson Merrill.,2024,4-Seam Fastball
ST,669308,668885,No event,ball,Austin Martin flies out to center fielder Jackson Merrill.,2024,Sweeper
SL,669308,668885,No event,swinging_strike,Austin Martin flies out to center fielder Jackson Merrill.,2024,Slider
SL,669308,668885,No event,foul,Austin Martin flies out to center fielder Jackson Merrill.,2024,Slider
FF,669308,543877,field_out,hit_into_play,Christian Vázquez lines out to right fielder David Peralta.,2024,4-Seam Fastball
SL,669308,666397,single,hit_into_play,Edouard Julien singles on a soft ground ball to third baseman Tyler Wade.,2024,Slider
CH,669308,666397,No event,ball,Edouard Julien singles on a soft ground ball to third baseman Tyler Wade.,2024,Changeup
SL,669308,666397,No event,called_strike,Edouard Julien singles on a soft ground ball to third baseman Tyler Wade.,2024,Slider
SL,669308,669304,field_out,hit_into_play,Jose Miranda pops out to second baseman Luis Arraez.,2024,Slider
SL,669308,669304,No event,called_strike,Jose Miranda pops out to second baseman Luis Arraez.,2024,Slider
FF,669308,669304,No event,foul,Jose Miranda pops out to second baseman Luis Arraez.,2024,4-Seam Fastball
SL,669308,669304,No event,ball,Jose Miranda pops out to second baseman Luis Arraez.,2024,Slider
SL,669308,669304,No event,ball,Jose Miranda pops out to second baseman Luis Arraez.,2024,Slider
FF,669308,467793,field_out,hit_into_play,Carlos Santana pops out to shortstop Mason McCoy.,2024,4-Seam Fastball
CH,669308,467793,No event,called_strike,Carlos Santana pops out to shortstop Mason McCoy.,2024,Changeup
FF,669308,467793,No event,ball,Carlos Santana pops out to shortstop Mason McCoy.,2024,4-Seam Fastball
FF,669308,670242,strikeout,swinging_strike,Matt Wallner strikes out swinging.,2024,4-Seam Fastball
FF,669308,670242,No event,ball,Matt Wallner strikes out swinging.,2024,4-Seam Fastball
SL,669308,670242,No event,swinging_strike,Matt Wallner strikes out swinging.,2024,Slider
FF,669308,670242,No event,swinging_strike,Matt Wallner strikes out swinging.,2024,4-Seam Fastball
