pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,607625,608070,field_out,hit_into_play,"José Ramírez grounds out, second baseman Michael Massey to first baseman Cavan Biggio.",2025,Curveball
SI,607625,608070,No event,foul,"José Ramírez grounds out, second baseman Michael Massey to first baseman Cavan Biggio.",2025,Sinker
FC,607625,680757,home_run,hit_into_play,Steven Kwan homers (1) on a fly ball to right center field.,2025,Cutter
FS,607625,680757,No event,ball,Steven Kwan homers (1) on a fly ball to right center field.,2025,Split-Finger
FF,607625,680757,No event,ball,Steven Kwan homers (1) on a fly ball to right center field.,2025,4-Seam Fastball
FF,607625,677587,field_out,hit_into_play,Brayan Rocchio flies out to center fielder Kyle Isbel.,2025,4-Seam Fastball
CU,607625,682177,strikeout,swinging_strike,Daniel Schneemann strikes out swinging.,2025,Curveball
FC,607625,682177,No event,ball,Daniel Schneemann strikes out swinging.,2025,Cutter
FS,607625,682177,No event,ball,Daniel Schneemann strikes out swinging.,2025,Split-Finger
FC,607625,682177,No event,foul,Daniel Schneemann strikes out swinging.,2025,Cutter
CU,607625,682177,No event,called_strike,Daniel Schneemann strikes out swinging.,2025,Curveball
FC,607625,666310,field_out,hit_into_play,Bo Naylor lines out sharply to right fielder MJ Melendez.,2025,Cutter
CU,607625,666310,No event,ball,Bo Naylor lines out sharply to right fielder MJ Melendez.,2025,Curveball
CU,607625,666310,No event,foul,Bo Naylor lines out sharply to right fielder MJ Melendez.,2025,Curveball
FF,607625,666310,No event,called_strike,Bo Naylor lines out sharply to right fielder MJ Melendez.,2025,4-Seam Fastball
FC,607625,666310,No event,ball,Bo Naylor lines out sharply to right fielder MJ Melendez.,2025,Cutter
CU,607625,666310,No event,ball,Bo Naylor lines out sharply to right fielder MJ Melendez.,2025,Curveball
SL,607625,657041,field_out,hit_into_play,Lane Thomas flies out to left fielder Jonathan India.,2025,Slider
FC,607625,666134,strikeout,swinging_strike,Nolan Jones strikes out swinging.,2025,Cutter
CU,607625,666134,No event,foul,Nolan Jones strikes out swinging.,2025,Curveball
ST,607625,666134,No event,called_strike,Nolan Jones strikes out swinging.,2025,Sweeper
FF,607625,666134,No event,ball,Nolan Jones strikes out swinging.,2025,4-Seam Fastball
FC,607625,666134,No event,called_strike,Nolan Jones strikes out swinging.,2025,Cutter
FC,607625,666134,truncated_pa,ball,"José Ramírez caught stealing 2nd base, catcher Salvador Perez to shortstop Bobby Witt Jr.",2025,Cutter
FF,607625,666134,No event,foul,"José Ramírez caught stealing 2nd base, catcher Salvador Perez to shortstop Bobby Witt Jr.",2025,4-Seam Fastball
FC,607625,467793,sac_fly,hit_into_play,Carlos Santana out on a sacrifice fly to center fielder Kyle Isbel. Steven Kwan scores.,2025,Cutter
FS,607625,467793,No event,foul,Carlos Santana out on a sacrifice fly to center fielder Kyle Isbel. Steven Kwan scores.,2025,Split-Finger
FS,607625,467793,No event,ball,Carlos Santana out on a sacrifice fly to center fielder Kyle Isbel. Steven Kwan scores.,2025,Split-Finger
FF,607625,467793,No event,ball,Carlos Santana out on a sacrifice fly to center fielder Kyle Isbel. Steven Kwan scores.,2025,4-Seam Fastball
FS,607625,700932,field_out,hit_into_play,Kyle Manzardo flies out to right fielder MJ Melendez. Steven Kwan to 3rd.,2025,Split-Finger
CU,607625,700932,No event,called_strike,Kyle Manzardo flies out to right fielder MJ Melendez. Steven Kwan to 3rd.,2025,Curveball
SI,607625,608070,walk,ball,José Ramírez walks. Steven Kwan to 2nd.,2025,Sinker
SV,607625,608070,No event,ball,José Ramírez walks. Steven Kwan to 2nd.,2025,Slurve
CU,607625,608070,No event,ball,José Ramírez walks. Steven Kwan to 2nd.,2025,Curveball
CH,607625,608070,No event,called_strike,José Ramírez walks. Steven Kwan to 2nd.,2025,Changeup
FC,607625,608070,No event,ball,José Ramírez walks. Steven Kwan to 2nd.,2025,Cutter
FF,607625,680757,walk,ball,Steven Kwan walks.,2025,4-Seam Fastball
FC,607625,680757,No event,called_strike,Steven Kwan walks.,2025,Cutter
SI,607625,680757,No event,ball,Steven Kwan walks.,2025,Sinker
FF,607625,680757,No event,ball,Steven Kwan walks.,2025,4-Seam Fastball
CH,607625,680757,No event,ball,Steven Kwan walks.,2025,Changeup
CU,607625,680757,No event,called_strike,Steven Kwan walks.,2025,Curveball
