pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,663568,694806,grounded_into_double_play,hit_into_play,"Brandon Eike grounds into a double play, third baseman Mike Brosseau to second baseman Clay Dungan to first baseman Trenton Brooks. Lazaro Montes out at 2nd. Brandon Eike out at 1st.",2025,Sinker
SI,663568,694806,No event,foul,"Brandon Eike grounds into a double play, third baseman Mike Brosseau to second baseman Clay Dungan to first baseman Trenton Brooks. Lazaro Montes out at 2nd. Brandon Eike out at 1st.",2025,Sinker
SI,663568,694806,No event,blocked_ball,"Brandon Eike grounds into a double play, third baseman Mike Brosseau to second baseman Clay Dungan to first baseman Trenton Brooks. Lazaro Montes out at 2nd. Brandon Eike out at 1st.",2025,Sinker
SI,663568,694806,No event,ball,"Brandon Eike grounds into a double play, third baseman Mike Brosseau to second baseman Clay Dungan to first baseman Trenton Brooks. Lazaro Montes out at 2nd. Brandon Eike out at 1st.",2025,Sinker
FC,663568,682732,strikeout,foul_tip,Gabriel Moncada strikes out on a foul tip.,2025,Cutter
FF,663568,682732,No event,foul,Gabriel Moncada strikes out on a foul tip.,2025,4-Seam Fastball
FF,663568,682732,No event,foul,Gabriel Moncada strikes out on a foul tip.,2025,4-Seam Fastball
ST,663568,682732,No event,called_strike,Gabriel Moncada strikes out on a foul tip.,2025,Sweeper
SI,663568,703155,walk,ball,Lazaro Montes walks.,2025,Sinker
FC,663568,703155,No event,ball,Lazaro Montes walks.,2025,Cutter
FF,663568,703155,No event,foul,Lazaro Montes walks.,2025,4-Seam Fastball
SL,663568,703155,No event,ball,Lazaro Montes walks.,2025,Slider
FF,663568,703155,No event,foul,Lazaro Montes walks.,2025,4-Seam Fastball
FC,663568,703155,No event,foul,Lazaro Montes walks.,2025,Cutter
SI,663568,703155,No event,ball,Lazaro Montes walks.,2025,Sinker
SI,663568,692039,strikeout,called_strike,Carlos Jimenez called out on strikes.,2025,Sinker
SL,663568,692039,No event,blocked_ball,Carlos Jimenez called out on strikes.,2025,Slider
FF,663568,692039,No event,foul,Carlos Jimenez called out on strikes.,2025,4-Seam Fastball
FC,663568,692039,No event,swinging_strike,Carlos Jimenez called out on strikes.,2025,Cutter
FF,663568,808083,walk,ball,Kelvin Alcantara walks. Colin Davis to 2nd.,2025,4-Seam Fastball
FC,663568,808083,No event,ball,Kelvin Alcantara walks. Colin Davis to 2nd.,2025,Cutter
SL,663568,808083,No event,ball,Kelvin Alcantara walks. Colin Davis to 2nd.,2025,Slider
ST,663568,808083,No event,ball,Kelvin Alcantara walks. Colin Davis to 2nd.,2025,Sweeper
FF,663568,670156,walk,ball,Miles Mastrobuoni walks.,2025,4-Seam Fastball
FF,663568,670156,No event,ball,Miles Mastrobuoni walks.,2025,4-Seam Fastball
FC,663568,670156,No event,ball,Miles Mastrobuoni walks.,2025,Cutter
FC,663568,670156,No event,ball,Miles Mastrobuoni walks.,2025,Cutter
SI,663568,669208,field_out,hit_into_play,"Ryan Bliss grounds out, shortstop Francisco Acuna to first baseman Trenton Brooks.",2025,Sinker
SL,663568,669208,No event,ball,"Ryan Bliss grounds out, shortstop Francisco Acuna to first baseman Trenton Brooks.",2025,Slider
SI,663568,669208,No event,foul,"Ryan Bliss grounds out, shortstop Francisco Acuna to first baseman Trenton Brooks.",2025,Sinker
FF,663568,669208,No event,foul,"Ryan Bliss grounds out, shortstop Francisco Acuna to first baseman Trenton Brooks.",2025,4-Seam Fastball
FF,663568,692046,strikeout,swinging_strike,Axel Sanchez strikes out swinging.,2025,4-Seam Fastball
ST,663568,692046,No event,foul,Axel Sanchez strikes out swinging.,2025,Sweeper
ST,663568,692046,No event,swinging_strike,Axel Sanchez strikes out swinging.,2025,Sweeper
SI,663568,692046,No event,foul,Axel Sanchez strikes out swinging.,2025,Sinker
SI,663568,641598,field_out,hit_into_play,"Mitch Garver grounds out, third baseman Mike Brosseau to first baseman Trenton Brooks.",2025,Sinker
FF,663568,641598,No event,ball,"Mitch Garver grounds out, third baseman Mike Brosseau to first baseman Trenton Brooks.",2025,4-Seam Fastball
SL,663568,593871,strikeout,swinging_strike,Jorge Polanco strikes out swinging.,2025,Slider
FF,663568,593871,No event,swinging_strike,Jorge Polanco strikes out swinging.,2025,4-Seam Fastball
FF,663568,593871,No event,called_strike,Jorge Polanco strikes out swinging.,2025,4-Seam Fastball
SL,663568,456781,field_out,hit_into_play,Donovan Solano lines out sharply to center fielder Tyler Robertson.,2025,Slider
SL,663568,456781,No event,ball,Donovan Solano lines out sharply to center fielder Tyler Robertson.,2025,Slider
FF,663568,456781,No event,called_strike,Donovan Solano lines out sharply to center fielder Tyler Robertson.,2025,4-Seam Fastball
FC,663568,663728,field_out,hit_into_play,"Cal Raleigh grounds out, first baseman Trenton Brooks to pitcher Stephen Kolek.",2025,Cutter
FC,663568,663728,No event,foul,"Cal Raleigh grounds out, first baseman Trenton Brooks to pitcher Stephen Kolek.",2025,Cutter
CH,663568,663728,No event,ball,"Cal Raleigh grounds out, first baseman Trenton Brooks to pitcher Stephen Kolek.",2025,Changeup
FC,663568,663728,No event,ball,"Cal Raleigh grounds out, first baseman Trenton Brooks to pitcher Stephen Kolek.",2025,Cutter
FC,663568,692039,field_out,hit_into_play,"Carlos Jimenez grounds out, third baseman Mike Brosseau to first baseman Trenton Brooks. Kelvin Alcantara to 2nd.",2025,Cutter
FC,663568,692039,No event,called_strike,"Carlos Jimenez grounds out, third baseman Mike Brosseau to first baseman Trenton Brooks. Kelvin Alcantara to 2nd.",2025,Cutter
SI,663568,645302,single,hit_into_play,Victor Robles singles on a fly ball to second baseman Jake Cronenworth. Ryan Bliss scores. Miles Mastrobuoni to 3rd.,2025,Sinker
SL,663568,645302,No event,swinging_strike,Victor Robles singles on a fly ball to second baseman Jake Cronenworth. Ryan Bliss scores. Miles Mastrobuoni to 3rd.,2025,Slider
CH,663568,670156,single,hit_into_play,Miles Mastrobuoni singles on a ground ball to center fielder Tyler Robertson. J.P. Crawford scores. Ryan Bliss to 3rd.,2025,Changeup
FC,663568,670156,No event,called_strike,Miles Mastrobuoni singles on a ground ball to center fielder Tyler Robertson. J.P. Crawford scores. Ryan Bliss to 3rd.,2025,Cutter
SI,663568,669208,force_out,hit_into_play,"Ryan Bliss grounds into a force out, shortstop Xander Bogaerts to third baseman Mike Brosseau. Mitch Garver out at 3rd. J.P. Crawford to 2nd. Ryan Bliss to 1st.",2025,Sinker
SI,663568,669208,No event,called_strike,"Ryan Bliss grounds into a force out, shortstop Xander Bogaerts to third baseman Mike Brosseau. Mitch Garver out at 3rd. J.P. Crawford to 2nd. Ryan Bliss to 1st.",2025,Sinker
SI,663568,669208,No event,ball,"Ryan Bliss grounds into a force out, shortstop Xander Bogaerts to third baseman Mike Brosseau. Mitch Garver out at 3rd. J.P. Crawford to 2nd. Ryan Bliss to 1st.",2025,Sinker
SL,663568,669208,No event,ball,"Ryan Bliss grounds into a force out, shortstop Xander Bogaerts to third baseman Mike Brosseau. Mitch Garver out at 3rd. J.P. Crawford to 2nd. Ryan Bliss to 1st.",2025,Slider
SL,663568,669208,No event,ball,"Ryan Bliss grounds into a force out, shortstop Xander Bogaerts to third baseman Mike Brosseau. Mitch Garver out at 3rd. J.P. Crawford to 2nd. Ryan Bliss to 1st.",2025,Slider
SI,663568,641487,walk,ball,J.P. Crawford walks.,2025,Sinker
SL,663568,641487,No event,ball,J.P. Crawford walks.,2025,Slider
SI,663568,641487,No event,ball,J.P. Crawford walks.,2025,Sinker
FC,663568,641487,No event,foul,J.P. Crawford walks.,2025,Cutter
FC,663568,641487,No event,ball,J.P. Crawford walks.,2025,Cutter
ST,663568,641487,No event,called_strike,J.P. Crawford walks.,2025,Sweeper
SI,663568,641598,double,hit_into_play,Mitch Garver doubles (1) on a sharp fly ball to center fielder Tyler Robertson.,2025,Sinker
SL,663568,641598,No event,called_strike,Mitch Garver doubles (1) on a sharp fly ball to center fielder Tyler Robertson.,2025,Slider
SI,663568,641598,No event,foul,Mitch Garver doubles (1) on a sharp fly ball to center fielder Tyler Robertson.,2025,Sinker
SI,663568,641598,No event,ball,Mitch Garver doubles (1) on a sharp fly ball to center fielder Tyler Robertson.,2025,Sinker
SI,663568,641598,No event,ball,Mitch Garver doubles (1) on a sharp fly ball to center fielder Tyler Robertson.,2025,Sinker
SL,663568,593871,field_out,hit_into_play,"Jorge Polanco grounds out, first baseman Luis Arraez to pitcher Stephen Kolek.",2025,Slider
SI,663568,456781,single,hit_into_play,Donovan Solano singles on a ground ball to center fielder Jackson Merrill. Cal Raleigh to 2nd.,2025,Sinker
SI,663568,456781,No event,ball,Donovan Solano singles on a ground ball to center fielder Jackson Merrill. Cal Raleigh to 2nd.,2025,Sinker
FF,663568,663728,force_out,hit_into_play,"Cal Raleigh grounds into a force out, second baseman Jake Cronenworth to shortstop Xander Bogaerts. Julio Rodríguez out at 2nd. Cal Raleigh to 1st.",2025,4-Seam Fastball
SI,663568,663728,No event,foul,"Cal Raleigh grounds into a force out, second baseman Jake Cronenworth to shortstop Xander Bogaerts. Julio Rodríguez out at 2nd. Cal Raleigh to 1st.",2025,Sinker
FC,663568,663728,No event,foul,"Cal Raleigh grounds into a force out, second baseman Jake Cronenworth to shortstop Xander Bogaerts. Julio Rodríguez out at 2nd. Cal Raleigh to 1st.",2025,Cutter
CH,663568,663728,No event,ball,"Cal Raleigh grounds into a force out, second baseman Jake Cronenworth to shortstop Xander Bogaerts. Julio Rodríguez out at 2nd. Cal Raleigh to 1st.",2025,Changeup
FF,663568,663728,No event,foul,"Cal Raleigh grounds into a force out, second baseman Jake Cronenworth to shortstop Xander Bogaerts. Julio Rodríguez out at 2nd. Cal Raleigh to 1st.",2025,4-Seam Fastball
ST,663568,677594,single,hit_into_play,Julio Rodríguez singles on a ground ball to left fielder Jason Heyward.,2025,Sweeper
