pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,674444,800203,field_out,hit_into_play,Kevyn Castillo pops out to third baseman Jordan Groshans.,2025,
,674444,814091,field_out,hit_into_play,John Wimmer flies out to left fielder Nick Pratto.,2025,
,674444,814091,No event,swinging_strike,John Wimmer flies out to left fielder Nick Pratto.,2025,
,674444,814091,No event,ball,John Wimmer flies out to left fielder Nick Pratto.,2025,
,674444,800194,field_out,hit_into_play,Capri Ortiz flies out to center fielder Connor Scott.,2025,
SL,674444,606466,field_out,hit_into_play,Ketel Marte grounds out to first baseman Harold Castro.,2025,Slider
SL,674444,606466,No event,called_strike,Ketel Marte grounds out to first baseman Harold Castro.,2025,Slider
FC,674444,606466,No event,called_strike,Ketel Marte grounds out to first baseman Harold Castro.,2025,Cutter
FF,674444,672695,field_out,hit_into_play,Geraldo Perdomo pops out to third baseman Nick Loftin.,2025,4-Seam Fastball
FC,674444,691783,walk,ball,Jordan Lawlar walks.,2025,Cutter
SL,674444,691783,No event,foul,Jordan Lawlar walks.,2025,Slider
SL,674444,691783,No event,ball,Jordan Lawlar walks.,2025,Slider
FF,674444,691783,No event,foul,Jordan Lawlar walks.,2025,4-Seam Fastball
FF,674444,691783,No event,ball,Jordan Lawlar walks.,2025,4-Seam Fastball
SL,674444,691783,No event,foul,Jordan Lawlar walks.,2025,Slider
FF,674444,691783,No event,foul,Jordan Lawlar walks.,2025,4-Seam Fastball
FF,674444,691783,No event,ball,Jordan Lawlar walks.,2025,4-Seam Fastball
SL,674444,691783,No event,foul_bunt,Jordan Lawlar walks.,2025,Slider
SL,674444,680728,strikeout,swinging_strike_blocked,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,Slider
FF,674444,680728,No event,foul,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,4-Seam Fastball
FF,674444,680728,No event,swinging_strike,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,4-Seam Fastball
FC,674444,680728,No event,ball,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,Cutter
FF,674444,680728,No event,ball,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,4-Seam Fastball
FF,674444,680728,No event,called_strike,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,4-Seam Fastball
FC,674444,680728,No event,ball,"Adrian Del Castillo strikes out swinging, catcher Carter Jensen to first baseman Harold Castro.",2025,Cutter
SL,674444,687957,strikeout,swinging_strike,Dustin Harris strikes out swinging.,2025,Slider
SL,674444,687957,No event,swinging_strike_blocked,Dustin Harris strikes out swinging.,2025,Slider
FF,674444,687957,No event,foul,Dustin Harris strikes out swinging.,2025,4-Seam Fastball
FF,674444,696030,field_out,hit_into_play,"Alejandro Osuna grounds out, second baseman Stone Russell to first baseman Brett Squires. Alan Trejo to 3rd.",2025,4-Seam Fastball
SL,674444,696030,No event,ball,"Alejandro Osuna grounds out, second baseman Stone Russell to first baseman Brett Squires. Alan Trejo to 3rd.",2025,Slider
SL,674444,676701,single,hit_into_play,Alan Trejo singles on a line drive to center fielder Asbel Gonzalez. Ezequiel Duran scores.,2025,Slider
FF,674444,676701,No event,foul,Alan Trejo singles on a line drive to center fielder Asbel Gonzalez. Ezequiel Duran scores.,2025,4-Seam Fastball
FF,674444,676701,No event,ball,Alan Trejo singles on a line drive to center fielder Asbel Gonzalez. Ezequiel Duran scores.,2025,4-Seam Fastball
FF,674444,676701,No event,ball,Alan Trejo singles on a line drive to center fielder Asbel Gonzalez. Ezequiel Duran scores.,2025,4-Seam Fastball
FF,674444,676701,No event,called_strike,Alan Trejo singles on a line drive to center fielder Asbel Gonzalez. Ezequiel Duran scores.,2025,4-Seam Fastball
FF,674444,677649,walk,ball,Ezequiel Duran walks.,2025,4-Seam Fastball
FF,674444,677649,No event,ball,Ezequiel Duran walks.,2025,4-Seam Fastball
SL,674444,677649,No event,ball,Ezequiel Duran walks.,2025,Slider
SL,674444,677649,No event,swinging_strike,Ezequiel Duran walks.,2025,Slider
SL,674444,677649,No event,ball,Ezequiel Duran walks.,2025,Slider
SL,674444,665750,field_out,hit_into_play,"Leody Taveras grounds out, second baseman Stone Russell to first baseman Brett Squires.",2025,Slider
SL,674444,665750,No event,ball,"Leody Taveras grounds out, second baseman Stone Russell to first baseman Brett Squires.",2025,Slider
FC,674444,815888,strikeout,called_strike,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,Cutter
SL,674444,815888,No event,ball,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,Slider
SL,674444,815888,No event,foul,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,Slider
FC,674444,815888,No event,foul,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,Cutter
FF,674444,815888,No event,ball,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,4-Seam Fastball
FF,674444,815888,No event,ball,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,4-Seam Fastball
FF,674444,815888,No event,foul,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,4-Seam Fastball
FF,674444,815888,No event,swinging_strike,"Royals challenged (pitch result), call on the field was overturned: Leo De Vries called out on strikes.",2025,4-Seam Fastball
SL,674444,670092,single,hit_into_play,Trenton Brooks singles on a line drive to left fielder Tyler Gentry. Brandon Lockridge scores.,2025,Slider
FF,674444,670092,No event,foul,Trenton Brooks singles on a line drive to left fielder Tyler Gentry. Brandon Lockridge scores.,2025,4-Seam Fastball
FC,674444,670092,No event,foul,Trenton Brooks singles on a line drive to left fielder Tyler Gentry. Brandon Lockridge scores.,2025,Cutter
FF,674444,670092,No event,called_strike,Trenton Brooks singles on a line drive to left fielder Tyler Gentry. Brandon Lockridge scores.,2025,4-Seam Fastball
FC,674444,592348,field_out,hit_into_play,Niko Goodrum flies out to center fielder Joey Wiemer.,2025,Cutter
CH,674444,592348,No event,ball,Niko Goodrum flies out to center fielder Joey Wiemer.,2025,Changeup
SL,674444,592348,No event,ball,Niko Goodrum flies out to center fielder Joey Wiemer.,2025,Slider
FF,674444,592348,No event,ball,Niko Goodrum flies out to center fielder Joey Wiemer.,2025,4-Seam Fastball
FF,674444,592348,No event,swinging_strike,Niko Goodrum flies out to center fielder Joey Wiemer.,2025,4-Seam Fastball
FC,674444,592348,No event,called_strike,Niko Goodrum flies out to center fielder Joey Wiemer.,2025,Cutter
FF,674444,663604,single,hit_into_play,Brandon Lockridge singles on a ground ball to pitcher Steven Cruz.,2025,4-Seam Fastball
SL,674444,663604,No event,ball,Brandon Lockridge singles on a ground ball to pitcher Steven Cruz.,2025,Slider
SL,674444,663604,No event,swinging_strike,Brandon Lockridge singles on a ground ball to pitcher Steven Cruz.,2025,Slider
SL,674444,663604,No event,ball,Brandon Lockridge singles on a ground ball to pitcher Steven Cruz.,2025,Slider
FF,674444,663604,No event,called_strike,Brandon Lockridge singles on a ground ball to pitcher Steven Cruz.,2025,4-Seam Fastball
FF,674444,656582,field_out,hit_into_play,Connor Joe grounds out softly to first baseman Jac Caglianone.,2025,4-Seam Fastball
,674444,694206,strikeout,swinging_strike,Daniel Guilarte strikes out swinging.,2025,
,674444,694206,No event,swinging_strike,Daniel Guilarte strikes out swinging.,2025,
,674444,694206,No event,ball,Daniel Guilarte strikes out swinging.,2025,
,674444,694206,No event,blocked_ball,Daniel Guilarte strikes out swinging.,2025,
,674444,694206,No event,called_strike,Daniel Guilarte strikes out swinging.,2025,
,674444,694206,No event,ball,Daniel Guilarte strikes out swinging.,2025,
,674444,806983,field_out,hit_into_play,Yophery Rodriguez flies out to left fielder Spencer Nivens.,2025,
,674444,669384,strikeout,swinging_strike,Raynel Delgado strikes out swinging.,2025,
,674444,669384,No event,foul,Raynel Delgado strikes out swinging.,2025,
,674444,669384,No event,swinging_strike,Raynel Delgado strikes out swinging.,2025,
,674444,669384,No event,ball,Raynel Delgado strikes out swinging.,2025,
,674444,670232,single,hit_into_play,Ramón Rodríguez singles on a line drive to center fielder Carson Roccaforte.,2025,
,674444,670232,No event,ball,Ramón Rodríguez singles on a line drive to center fielder Carson Roccaforte.,2025,
,674444,670232,No event,swinging_strike,Ramón Rodríguez singles on a line drive to center fielder Carson Roccaforte.,2025,
,674444,670232,No event,called_strike,Ramón Rodríguez singles on a line drive to center fielder Carson Roccaforte.,2025,
SL,674444,691777,strikeout,swinging_strike,Max Muncy strikes out swinging.,2025,Slider
SL,674444,691777,No event,foul,Max Muncy strikes out swinging.,2025,Slider
SL,674444,691777,No event,called_strike,Max Muncy strikes out swinging.,2025,Slider
FC,674444,664670,single,hit_into_play,Alejo Lopez singles on a ground ball to center fielder Diego Hernandez. Willie MacIver to 2nd.,2025,Cutter
FF,674444,664670,No event,ball,Alejo Lopez singles on a ground ball to center fielder Diego Hernandez. Willie MacIver to 2nd.,2025,4-Seam Fastball
FF,674444,664670,No event,ball,Alejo Lopez singles on a ground ball to center fielder Diego Hernandez. Willie MacIver to 2nd.,2025,4-Seam Fastball
FF,674444,664670,No event,swinging_strike,Alejo Lopez singles on a ground ball to center fielder Diego Hernandez. Willie MacIver to 2nd.,2025,4-Seam Fastball
FC,674444,664670,No event,swinging_strike,Alejo Lopez singles on a ground ball to center fielder Diego Hernandez. Willie MacIver to 2nd.,2025,Cutter
SL,674444,680862,field_error,hit_into_play,Willie MacIver reaches on a fielding error by third baseman Jordan Groshans.,2025,Slider
FC,674444,680862,No event,ball,Willie MacIver reaches on a fielding error by third baseman Jordan Groshans.,2025,Cutter
FF,674444,680862,No event,foul,Willie MacIver reaches on a fielding error by third baseman Jordan Groshans.,2025,4-Seam Fastball
SL,674444,680862,No event,called_strike,Willie MacIver reaches on a fielding error by third baseman Jordan Groshans.,2025,Slider
SL,674444,680862,No event,foul,Willie MacIver reaches on a fielding error by third baseman Jordan Groshans.,2025,Slider
FF,674444,680862,No event,ball,Willie MacIver reaches on a fielding error by third baseman Jordan Groshans.,2025,4-Seam Fastball
SL,674444,666126,field_out,hit_into_play,Carlos Cortes lines out sharply to first baseman Brett Squires.,2025,Slider
SL,674444,666126,No event,foul,Carlos Cortes lines out sharply to first baseman Brett Squires.,2025,Slider
FC,674444,666126,No event,called_strike,Carlos Cortes lines out sharply to first baseman Brett Squires.,2025,Cutter
FC,674444,666126,No event,ball,Carlos Cortes lines out sharply to first baseman Brett Squires.,2025,Cutter
FC,674444,666126,No event,foul,Carlos Cortes lines out sharply to first baseman Brett Squires.,2025,Cutter
FF,674444,703607,strikeout,swinging_strike,Henry Bolte strikes out swinging.,2025,4-Seam Fastball
FF,674444,703607,No event,called_strike,Henry Bolte strikes out swinging.,2025,4-Seam Fastball
FF,674444,703607,No event,ball,Henry Bolte strikes out swinging.,2025,4-Seam Fastball
SL,674444,703607,No event,ball,Henry Bolte strikes out swinging.,2025,Slider
FF,674444,703607,No event,ball,Henry Bolte strikes out swinging.,2025,4-Seam Fastball
SL,674444,703607,No event,foul,Henry Bolte strikes out swinging.,2025,Slider
FF,674444,687957,field_out,hit_into_play,Dustin Harris flies out to third baseman Jordan Groshans in foul territory.,2025,4-Seam Fastball
FF,674444,687957,No event,ball,Dustin Harris flies out to third baseman Jordan Groshans in foul territory.,2025,4-Seam Fastball
SL,674444,687957,No event,ball,Dustin Harris flies out to third baseman Jordan Groshans in foul territory.,2025,Slider
FC,674444,687957,No event,foul,Dustin Harris flies out to third baseman Jordan Groshans in foul territory.,2025,Cutter
FF,674444,679822,strikeout,swinging_strike,Justin Foscue strikes out swinging.,2025,4-Seam Fastball
FF,674444,679822,No event,foul,Justin Foscue strikes out swinging.,2025,4-Seam Fastball
FF,674444,679822,No event,called_strike,Justin Foscue strikes out swinging.,2025,4-Seam Fastball
FF,674444,683227,field_out,hit_into_play,"Cody Freeman grounds out, third baseman Jordan Groshans to first baseman Jac Caglianone.",2025,4-Seam Fastball
FC,674444,671218,field_out,hit_into_play,Heliot Ramos flies out to right fielder Adam Frazier.,2024,Cutter
FF,674444,671218,No event,ball,Heliot Ramos flies out to right fielder Adam Frazier.,2024,4-Seam Fastball
FC,674444,671218,No event,called_strike,Heliot Ramos flies out to right fielder Adam Frazier.,2024,Cutter
FF,674444,666464,field_out,hit_into_play,"Royals challenged (play at 1st), call on the field was overturned: Jerar Encarnacion grounds out, pitcher Steven Cruz to first baseman Garrett Hampson to pitcher Steven Cruz.",2024,4-Seam Fastball
