pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,621383,605137,double_play,hit_into_play,"Josh Bell lines into an unassisted double play, second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,4-Seam Fastball
CH,621383,605137,No event,ball,"Josh Bell lines into an unassisted double play, second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,Changeup
SL,621383,605137,No event,foul,"Josh Bell lines into an unassisted double play, second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,Slider
CU,621383,663993,double,hit_into_play,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,Curveball
FF,621383,663993,No event,foul,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,4-Seam Fastball
FF,621383,663993,No event,foul,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,4-Seam Fastball
CU,621383,663993,No event,ball,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,Curveball
SI,621383,663993,No event,ball,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,Sinker
FF,621383,663993,No event,foul,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,4-Seam Fastball
SL,621383,663993,No event,swinging_strike,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,Slider
CU,621383,663993,No event,called_strike,Nathaniel Lowe doubles (1) on a sharp line drive to right fielder Nick Castellanos.,2025,Curveball
SL,621383,660688,field_out,hit_into_play,"Keibert Ruiz grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Slider
CH,621383,660688,No event,ball,"Keibert Ruiz grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Changeup
CU,621383,660688,No event,called_strike,"Keibert Ruiz grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",2025,Curveball
CU,621383,605137,field_out,hit_into_play,Josh Bell lines out to right fielder Nick Castellanos.,2025,Curveball
FF,621383,695578,strikeout,called_strike,James Wood called out on strikes.,2025,4-Seam Fastball
CU,621383,695578,No event,foul,James Wood called out on strikes.,2025,Curveball
SI,621383,695578,No event,ball,James Wood called out on strikes.,2025,Sinker
CU,621383,695578,No event,ball,James Wood called out on strikes.,2025,Curveball
FF,621383,695578,No event,foul,James Wood called out on strikes.,2025,4-Seam Fastball
SL,621383,695578,No event,called_strike,James Wood called out on strikes.,2025,Slider
FF,621383,686611,strikeout,swinging_strike,Dylan Crews strikes out swinging.,2025,4-Seam Fastball
CH,621383,686611,No event,foul,Dylan Crews strikes out swinging.,2025,Changeup
SL,621383,686611,No event,swinging_strike,Dylan Crews strikes out swinging.,2025,Slider
SI,621383,682928,single,hit_into_play,CJ Abrams singles on a sharp ground ball to right fielder Nick Castellanos.,2025,Sinker
CU,621383,682928,No event,ball,CJ Abrams singles on a sharp ground ball to right fielder Nick Castellanos.,2025,Curveball
CU,621383,682928,No event,ball,CJ Abrams singles on a sharp ground ball to right fielder Nick Castellanos.,2025,Curveball
FF,621383,682928,No event,foul,CJ Abrams singles on a sharp ground ball to right fielder Nick Castellanos.,2025,4-Seam Fastball
SL,621383,682928,No event,called_strike,CJ Abrams singles on a sharp ground ball to right fielder Nick Castellanos.,2025,Slider
FF,621383,699073,strikeout,foul_tip,Thayron Liranzo strikes out on a foul tip.,2025,4-Seam Fastball
CH,621383,699073,No event,ball,Thayron Liranzo strikes out on a foul tip.,2025,Changeup
FF,621383,699073,No event,foul,Thayron Liranzo strikes out on a foul tip.,2025,4-Seam Fastball
CU,621383,699073,No event,called_strike,Thayron Liranzo strikes out on a foul tip.,2025,Curveball
SL,621383,701162,strikeout,swinging_strike,Ben Malgeri strikes out swinging.,2025,Slider
FF,621383,701162,No event,called_strike,Ben Malgeri strikes out swinging.,2025,4-Seam Fastball
CH,621383,701162,No event,ball,Ben Malgeri strikes out swinging.,2025,Changeup
CU,621383,701162,No event,called_strike,Ben Malgeri strikes out swinging.,2025,Curveball
SL,621383,663330,home_run,hit_into_play,Jahmai Jones homers (3) on a fly ball to center field.,2025,Slider
FF,621383,672761,strikeout,swinging_strike,Wenceel Pérez strikes out swinging.,2025,4-Seam Fastball
SL,621383,672761,No event,foul,Wenceel Pérez strikes out swinging.,2025,Slider
FF,621383,672761,No event,ball,Wenceel Pérez strikes out swinging.,2025,4-Seam Fastball
CH,621383,672761,No event,foul,Wenceel Pérez strikes out swinging.,2025,Changeup
SL,621383,672761,No event,ball,Wenceel Pérez strikes out swinging.,2025,Slider
CU,621383,672761,No event,ball,Wenceel Pérez strikes out swinging.,2025,Curveball
SL,621383,672761,No event,called_strike,Wenceel Pérez strikes out swinging.,2025,Slider
SI,621383,666397,strikeout,called_strike,Edouard Julien called out on strikes.,2025,Sinker
SI,621383,666397,No event,called_strike,Edouard Julien called out on strikes.,2025,Sinker
SI,621383,666397,No event,ball,Edouard Julien called out on strikes.,2025,Sinker
SI,621383,666397,No event,foul,Edouard Julien called out on strikes.,2025,Sinker
