pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,676440,677951,walk,ball,Bobby Witt Jr. walks.,2025,4-Seam Fastball
FF,676440,677951,No event,ball,Bobby Witt Jr. walks.,2025,4-Seam Fastball
SL,676440,677951,No event,ball,Bobby Witt Jr. walks.,2025,Slider
FF,676440,677951,No event,foul,Bobby Witt Jr. walks.,2025,4-Seam Fastball
FF,676440,677951,No event,ball,Bobby Witt Jr. walks.,2025,4-Seam Fastball
FF,676440,677951,No event,foul,Bobby Witt Jr. walks.,2025,4-Seam Fastball
FF,676440,663697,field_out,hit_into_play,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,4-Seam Fastball
SL,676440,663697,No event,called_strike,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,Slider
FC,676440,663697,No event,ball,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,Cutter
FF,676440,663697,No event,foul,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,4-Seam Fastball
SL,676440,663697,No event,ball,Jonathan India pops out to third baseman Gabriel Arias in foul territory.,2025,Slider
FF,676440,664728,field_out,hit_into_play,Kyle Isbel grounds out to first baseman Carlos Santana.,2025,4-Seam Fastball
FF,676440,664728,No event,foul,Kyle Isbel grounds out to first baseman Carlos Santana.,2025,4-Seam Fastball
FF,676440,664728,No event,ball,Kyle Isbel grounds out to first baseman Carlos Santana.,2025,4-Seam Fastball
FC,676440,664728,No event,ball,Kyle Isbel grounds out to first baseman Carlos Santana.,2025,Cutter
SL,676440,666023,field_out,hit_into_play,"Freddy Fermin grounds out, third baseman Gabriel Arias to first baseman Carlos Santana.",2025,Slider
FF,676440,666023,No event,foul,"Freddy Fermin grounds out, third baseman Gabriel Arias to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,676440,666023,No event,ball,"Freddy Fermin grounds out, third baseman Gabriel Arias to first baseman Carlos Santana.",2025,4-Seam Fastball
CU,676440,666023,No event,ball,"Freddy Fermin grounds out, third baseman Gabriel Arias to first baseman Carlos Santana.",2025,Curveball
CU,676440,666023,No event,called_strike,"Freddy Fermin grounds out, third baseman Gabriel Arias to first baseman Carlos Santana.",2025,Curveball
SL,676440,666023,No event,swinging_strike,"Freddy Fermin grounds out, third baseman Gabriel Arias to first baseman Carlos Santana.",2025,Slider
SI,676440,672580,strikeout,called_strike,Maikel Garcia called out on strikes.,2025,Sinker
SI,676440,672580,No event,foul,Maikel Garcia called out on strikes.,2025,Sinker
SI,676440,672580,No event,called_strike,Maikel Garcia called out on strikes.,2025,Sinker
CU,676440,672580,No event,foul,Maikel Garcia called out on strikes.,2025,Curveball
SI,676440,672580,No event,ball,Maikel Garcia called out on strikes.,2025,Sinker
SI,676440,592669,field_out,hit_into_play,"Hunter Renfroe grounds out softly, pitcher Tanner Bibee to first baseman Carlos Santana.",2025,Sinker
CU,676440,592669,No event,foul,"Hunter Renfroe grounds out softly, pitcher Tanner Bibee to first baseman Carlos Santana.",2025,Curveball
SI,676440,592669,No event,ball,"Hunter Renfroe grounds out softly, pitcher Tanner Bibee to first baseman Carlos Santana.",2025,Sinker
SI,676440,592669,No event,called_strike,"Hunter Renfroe grounds out softly, pitcher Tanner Bibee to first baseman Carlos Santana.",2025,Sinker
CH,676440,686681,field_out,hit_into_play,Michael Massey flies out to center fielder Lane Thomas.,2025,Changeup
