pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,656557,656775,hit_by_pitch,hit_by_pitch,Cedric Mullins hit by pitch.,2025,Sweeper
ST,656557,656775,No event,called_strike,Cedric Mullins hit by pitch.,2025,Sweeper
FS,656557,656775,No event,ball,Cedric Mullins hit by pitch.,2025,Split-Finger
ST,656557,656775,No event,foul,Cedric Mullins hit by pitch.,2025,Sweeper
ST,656557,656775,No event,ball,Cedric Mullins hit by pitch.,2025,Sweeper
ST,656557,656775,No event,ball,Cedric Mullins hit by pitch.,2025,Sweeper
ST,656557,666185,strikeout,swinging_strike,Dylan Carlson strikes out swinging.,2025,Sweeper
ST,656557,666185,No event,ball,Dylan Carlson strikes out swinging.,2025,Sweeper
FS,656557,666185,No event,foul,Dylan Carlson strikes out swinging.,2025,Split-Finger
ST,656557,666185,No event,ball,Dylan Carlson strikes out swinging.,2025,Sweeper
ST,656557,666185,No event,foul_tip,Dylan Carlson strikes out swinging.,2025,Sweeper
FS,656557,666185,No event,ball,Dylan Carlson strikes out swinging.,2025,Split-Finger
ST,656557,666185,No event,called_strike,Dylan Carlson strikes out swinging.,2025,Sweeper
SI,656557,602104,single,hit_into_play,Ramón Urías singles on a sharp line drive to center fielder Ceddanne Rafaela. Heston Kjerstad scores.,2025,Sinker
SI,656557,602104,No event,ball,Ramón Urías singles on a sharp line drive to center fielder Ceddanne Rafaela. Heston Kjerstad scores.,2025,Sinker
ST,656557,602104,No event,ball,Ramón Urías singles on a sharp line drive to center fielder Ceddanne Rafaela. Heston Kjerstad scores.,2025,Sweeper
ST,656557,702616,field_out,hit_into_play,Jackson Holliday grounds out to first baseman Triston Casas. Heston Kjerstad to 3rd.,2025,Sweeper
ST,656557,702616,No event,called_strike,Jackson Holliday grounds out to first baseman Triston Casas. Heston Kjerstad to 3rd.,2025,Sweeper
FF,656557,677008,double,hit_into_play,Heston Kjerstad doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,4-Seam Fastball
ST,656557,677008,No event,ball,Heston Kjerstad doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sweeper
FS,656557,677008,No event,foul,Heston Kjerstad doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Split-Finger
ST,656557,677008,No event,swinging_strike,Heston Kjerstad doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sweeper
