pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,642048,693307,field_out,hit_into_play,Dillon Dingler flies out to right fielder Victor Robles.,2025,Changeup
SI,642048,693307,No event,called_strike,Dillon Dingler flies out to right fielder Victor Robles.,2025,Sinker
SI,642048,656716,field_out,hit_into_play,Zach McKinstry grounds out to first baseman Luke Raley. Spencer Torkelson to 3rd. Colt Keith to 2nd.,2025,Sinker
SI,642048,656716,No event,ball,Zach McKinstry grounds out to first baseman Luke Raley. Spencer Torkelson to 3rd. Colt Keith to 2nd.,2025,Sinker
ST,642048,690993,walk,ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sweeper
ST,642048,690993,No event,called_strike,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sweeper
ST,642048,690993,No event,ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sweeper
SI,642048,690993,No event,ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sinker
SI,642048,690993,No event,blocked_ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sinker
CH,642048,679529,single,hit_into_play,Spencer Torkelson singles on a line drive to left fielder Randy Arozarena.,2025,Changeup
SI,642048,679529,No event,called_strike,Spencer Torkelson singles on a line drive to left fielder Randy Arozarena.,2025,Sinker
SI,642048,679529,No event,ball,Spencer Torkelson singles on a line drive to left fielder Randy Arozarena.,2025,Sinker
ST,642048,679529,No event,called_strike,Spencer Torkelson singles on a line drive to left fielder Randy Arozarena.,2025,Sweeper
SI,642048,679529,No event,ball,Spencer Torkelson singles on a line drive to left fielder Randy Arozarena.,2025,Sinker
SI,642048,679529,No event,ball,Spencer Torkelson singles on a line drive to left fielder Randy Arozarena.,2025,Sinker
ST,642048,682985,strikeout,swinging_strike,Riley Greene strikes out swinging.,2025,Sweeper
ST,642048,682985,No event,ball,Riley Greene strikes out swinging.,2025,Sweeper
SL,642048,682985,No event,foul,Riley Greene strikes out swinging.,2025,Slider
SL,642048,682985,No event,called_strike,Riley Greene strikes out swinging.,2025,Slider
SI,642048,682985,No event,called_strike,Riley Greene strikes out swinging.,2025,Sinker
SI,642048,681481,field_out,hit_into_play,"Kerry Carpenter grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
ST,642048,681481,No event,blocked_ball,"Kerry Carpenter grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sweeper
ST,642048,681481,No event,ball,"Kerry Carpenter grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sweeper
SI,642048,681481,No event,foul,"Kerry Carpenter grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
SI,642048,681481,No event,foul,"Kerry Carpenter grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
SI,642048,681481,No event,ball,"Kerry Carpenter grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
SI,642048,669234,walk,ball,Justyn-Henry Malloy walks.,2025,Sinker
SI,642048,669234,No event,ball,Justyn-Henry Malloy walks.,2025,Sinker
CH,642048,669234,No event,ball,Justyn-Henry Malloy walks.,2025,Changeup
CH,642048,669234,No event,swinging_strike,Justyn-Henry Malloy walks.,2025,Changeup
SI,642048,669234,No event,ball,Justyn-Henry Malloy walks.,2025,Sinker
SI,642048,671732,field_out,hit_into_play,Lawrence Butler flies out to center fielder Julio Rodríguez.,2025,Sinker
ST,642048,671732,No event,ball,Lawrence Butler flies out to center fielder Julio Rodríguez.,2025,Sweeper
ST,642048,671732,No event,called_strike,Lawrence Butler flies out to center fielder Julio Rodríguez.,2025,Sweeper
SI,642048,671732,No event,foul,Lawrence Butler flies out to center fielder Julio Rodríguez.,2025,Sinker
ST,642048,671732,No event,ball,Lawrence Butler flies out to center fielder Julio Rodríguez.,2025,Sweeper
SI,642048,805779,field_out,hit_into_play,"Jacob Wilson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
CH,642048,691777,home_run,hit_into_play,Max Muncy homers (1) on a fly ball to left center field.,2025,Changeup
CH,642048,691777,No event,called_strike,Max Muncy homers (1) on a fly ball to left center field.,2025,Changeup
CH,642048,691777,No event,called_strike,Max Muncy homers (1) on a fly ball to left center field.,2025,Changeup
CH,642048,570482,field_out,hit_into_play,Gio Urshela lines out to right fielder Victor Robles.,2025,Changeup
FF,642048,570482,No event,ball,Gio Urshela lines out to right fielder Victor Robles.,2025,4-Seam Fastball
SI,642048,570482,No event,called_strike,Gio Urshela lines out to right fielder Victor Robles.,2025,Sinker
CH,642048,609280,walk,ball,Miguel Andujar walks.,2025,Changeup
SI,642048,609280,No event,foul,Miguel Andujar walks.,2025,Sinker
CH,642048,609280,No event,ball,Miguel Andujar walks.,2025,Changeup
CH,642048,609280,No event,ball,Miguel Andujar walks.,2025,Changeup
FF,642048,609280,No event,ball,Miguel Andujar walks.,2025,4-Seam Fastball
CH,642048,609280,No event,swinging_strike,Miguel Andujar walks.,2025,Changeup
SI,642048,691016,double,hit_into_play,Tyler Soderstrom hits a ground-rule double (1) on a line drive to right field. JJ Bleday scores. Shea Langeliers to 3rd.,2025,Sinker
CH,642048,669127,single,hit_into_play,Shea Langeliers singles on a line drive to left fielder Randy Arozarena. Lawrence Butler scores. JJ Bleday to 3rd.,2025,Changeup
CH,642048,669127,No event,swinging_strike,Shea Langeliers singles on a line drive to left fielder Randy Arozarena. Lawrence Butler scores. JJ Bleday to 3rd.,2025,Changeup
SI,642048,669127,No event,ball,Shea Langeliers singles on a line drive to left fielder Randy Arozarena. Lawrence Butler scores. JJ Bleday to 3rd.,2025,Sinker
SI,642048,668709,single,hit_into_play,JJ Bleday singles on a ground ball to third baseman Jorge Polanco. Jacob Wilson scores. Lawrence Butler to 3rd.,2025,Sinker
