pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,682120,630105,field_out,hit_into_play,Jake Cronenworth flies out to right fielder Nolan Jones.,2025,Curveball
CU,682120,630105,No event,foul,Jake Cronenworth flies out to right fielder Nolan Jones.,2025,Curveball
SI,682120,630105,No event,called_strike,Jake Cronenworth flies out to right fielder Nolan Jones.,2025,Sinker
SL,682120,630105,No event,ball,Jake Cronenworth flies out to right fielder Nolan Jones.,2025,Slider
CU,682120,701538,field_out,hit_into_play,Jackson Merrill grounds out to first baseman Kyle Manzardo.,2025,Curveball
CU,682120,701538,No event,foul,Jackson Merrill grounds out to first baseman Kyle Manzardo.,2025,Curveball
SI,682120,701538,No event,called_strike,Jackson Merrill grounds out to first baseman Kyle Manzardo.,2025,Sinker
CU,682120,592518,strikeout,swinging_strike,Manny Machado strikes out swinging.,2025,Curveball
CU,682120,592518,No event,ball,Manny Machado strikes out swinging.,2025,Curveball
FF,682120,592518,No event,swinging_strike,Manny Machado strikes out swinging.,2025,4-Seam Fastball
FF,682120,592518,No event,ball,Manny Machado strikes out swinging.,2025,4-Seam Fastball
CU,682120,592518,No event,called_strike,Manny Machado strikes out swinging.,2025,Curveball
SL,682120,650333,home_run,hit_into_play,Luis Arraez homers (1) on a fly ball to right field.,2025,Slider
CU,682120,650333,No event,ball,Luis Arraez homers (1) on a fly ball to right field.,2025,Curveball
SL,682120,650333,No event,called_strike,Luis Arraez homers (1) on a fly ball to right field.,2025,Slider
SL,682120,650333,No event,ball,Luis Arraez homers (1) on a fly ball to right field.,2025,Slider
FF,682120,521692,field_out,hit_into_play,Salvador Perez pops out to second baseman Daniel Schneemann.,2025,4-Seam Fastball
FF,682120,521692,No event,ball,Salvador Perez pops out to second baseman Daniel Schneemann.,2025,4-Seam Fastball
FF,682120,686469,hit_by_pitch,hit_by_pitch,Vinnie Pasquantino hit by pitch. Bobby Witt Jr. to 2nd.,2025,4-Seam Fastball
FF,682120,686469,No event,ball,Vinnie Pasquantino hit by pitch. Bobby Witt Jr. to 2nd.,2025,4-Seam Fastball
FF,682120,686469,No event,foul,Vinnie Pasquantino hit by pitch. Bobby Witt Jr. to 2nd.,2025,4-Seam Fastball
FF,682120,686469,No event,called_strike,Vinnie Pasquantino hit by pitch. Bobby Witt Jr. to 2nd.,2025,4-Seam Fastball
FF,682120,672580,strikeout,called_strike,Maikel Garcia called out on strikes.,2025,4-Seam Fastball
SL,682120,672580,No event,ball,Maikel Garcia called out on strikes.,2025,Slider
FF,682120,672580,No event,foul,Maikel Garcia called out on strikes.,2025,4-Seam Fastball
SL,682120,672580,No event,swinging_strike,Maikel Garcia called out on strikes.,2025,Slider
CU,682120,672580,No event,ball,Maikel Garcia called out on strikes.,2025,Curveball
CU,682120,592669,strikeout,called_strike,Hunter Renfroe called out on strikes.,2025,Curveball
FF,682120,592669,No event,foul,Hunter Renfroe called out on strikes.,2025,4-Seam Fastball
FF,682120,592669,No event,foul,Hunter Renfroe called out on strikes.,2025,4-Seam Fastball
CU,682120,592669,No event,ball,Hunter Renfroe called out on strikes.,2025,Curveball
SL,682120,686681,field_out,hit_into_play,Michael Massey lines out to shortstop Brayan Rocchio.,2025,Slider
SL,682120,686681,No event,called_strike,Michael Massey lines out to shortstop Brayan Rocchio.,2025,Slider
