pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,676680,543592,field_out,hit_into_play,Austin Nola flies out to right fielder Kai Murphy in foul territory.,2025,Sinker
SI,676680,668845,double,hit_into_play,Aaron Schunk doubles (1) on a line drive to left fielder Tim Locastro. Braiden Ward scores. Zac Veen to 3rd.,2025,Sinker
ST,676680,668845,No event,ball,Aaron Schunk doubles (1) on a line drive to left fielder Tim Locastro. Braiden Ward scores. Zac Veen to 3rd.,2025,Sweeper
ST,676680,680911,strikeout,swinging_strike,Owen Miller strikes out swinging.,2025,Sweeper
SI,676680,680911,No event,foul,Owen Miller strikes out swinging.,2025,Sinker
ST,676680,680911,No event,foul,Owen Miller strikes out swinging.,2025,Sweeper
FF,676680,680911,No event,ball,Owen Miller strikes out swinging.,2025,4-Seam Fastball
ST,676680,680911,No event,called_strike,Owen Miller strikes out swinging.,2025,Sweeper
SI,676680,680911,No event,called_strike,Owen Miller strikes out swinging.,2025,Sinker
SI,676680,691728,walk,ball,Zac Veen walks. Braiden Ward to 2nd.,2025,Sinker
ST,676680,691728,No event,ball,Zac Veen walks. Braiden Ward to 2nd.,2025,Sweeper
ST,676680,691728,No event,ball,Zac Veen walks. Braiden Ward to 2nd.,2025,Sweeper
SI,676680,691728,No event,ball,Zac Veen walks. Braiden Ward to 2nd.,2025,Sinker
SI,676680,656248,field_out,hit_into_play,Sean Bouchard flies out to right fielder Kai Murphy.,2025,Sinker
ST,676680,666134,single,hit_into_play,Nolan Jones singles on a line drive to right fielder Kai Murphy.,2025,Sweeper
ST,676680,666134,No event,ball,Nolan Jones singles on a line drive to right fielder Kai Murphy.,2025,Sweeper
ST,676680,666134,No event,swinging_strike,Nolan Jones singles on a line drive to right fielder Kai Murphy.,2025,Sweeper
ST,676680,666134,No event,called_strike,Nolan Jones singles on a line drive to right fielder Kai Murphy.,2025,Sweeper
,676680,642727,field_out,hit_into_play,Sergio Alcántara pops out to shortstop Mason McCoy.,2025,
,676680,642727,No event,called_strike,Sergio Alcántara pops out to shortstop Mason McCoy.,2025,
,676680,815589,field_out,hit_into_play,Bo Davidson flies out to right fielder Jake Snider.,2025,
,676680,815589,No event,foul,Bo Davidson flies out to right fielder Jake Snider.,2025,
,676680,815589,No event,foul,Bo Davidson flies out to right fielder Jake Snider.,2025,
,676680,815589,No event,ball,Bo Davidson flies out to right fielder Jake Snider.,2025,
,676680,815589,No event,ball,Bo Davidson flies out to right fielder Jake Snider.,2025,
,676680,694196,field_out,hit_into_play,Diego Velasquez lines out to center fielder Forrest Wall.,2025,
,676680,694196,No event,foul,Diego Velasquez lines out to center fielder Forrest Wall.,2025,
,676680,694196,No event,ball,Diego Velasquez lines out to center fielder Forrest Wall.,2025,
SI,676680,686668,strikeout,swinging_strike,Brenton Doyle strikes out swinging.,2025,Sinker
ST,676680,686668,No event,foul,Brenton Doyle strikes out swinging.,2025,Sweeper
FF,676680,686668,No event,foul,Brenton Doyle strikes out swinging.,2025,4-Seam Fastball
SI,676680,686668,No event,called_strike,Brenton Doyle strikes out swinging.,2025,Sinker
ST,676680,686668,No event,ball,Brenton Doyle strikes out swinging.,2025,Sweeper
ST,676680,686668,No event,ball,Brenton Doyle strikes out swinging.,2025,Sweeper
SI,676680,686668,No event,ball,Brenton Doyle strikes out swinging.,2025,Sinker
FF,676680,691011,strikeout,swinging_strike,Drew Romo strikes out swinging.,2025,4-Seam Fastball
ST,676680,691011,No event,foul,Drew Romo strikes out swinging.,2025,Sweeper
ST,676680,691011,No event,ball,Drew Romo strikes out swinging.,2025,Sweeper
