pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,663423,628451,field_out,hit_into_play,Andy Ibáñez lines out to right fielder Victor Robles.,2025,4-Seam Fastball
ST,663423,628451,No event,ball,Andy Ibáñez lines out to right fielder Victor Robles.,2025,Sweeper
FF,663423,628451,No event,foul,Andy Ibáñez lines out to right fielder Victor Robles.,2025,4-Seam Fastball
FF,663423,628451,No event,ball,Andy Ibáñez lines out to right fielder Victor Robles.,2025,4-Seam Fastball
FF,663423,628451,No event,called_strike,Andy Ibáñez lines out to right fielder Victor Robles.,2025,4-Seam Fastball
SI,663423,628451,No event,called_strike,Andy Ibáñez lines out to right fielder Victor Robles.,2025,Sinker
FF,663423,679529,field_out,hit_into_play,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,4-Seam Fastball
FF,663423,679529,No event,ball,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,4-Seam Fastball
ST,663423,679529,No event,swinging_strike,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sweeper
ST,663423,679529,No event,ball,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sweeper
FF,663423,679529,No event,ball,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,4-Seam Fastball
FF,663423,679529,No event,called_strike,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,4-Seam Fastball
SL,663423,682985,home_run,hit_into_play,Riley Greene homers (2) on a fly ball to left center field.,2025,Slider
FF,663423,682985,No event,ball,Riley Greene homers (2) on a fly ball to left center field.,2025,4-Seam Fastball
FF,663423,668709,field_out,hit_into_play,"JJ Bleday grounds out, second baseman Ryan Bliss to first baseman Donovan Solano.",2025,4-Seam Fastball
FF,663423,668709,No event,ball,"JJ Bleday grounds out, second baseman Ryan Bliss to first baseman Donovan Solano.",2025,4-Seam Fastball
FF,663423,668709,No event,called_strike,"JJ Bleday grounds out, second baseman Ryan Bliss to first baseman Donovan Solano.",2025,4-Seam Fastball
CU,663423,668709,No event,blocked_ball,"JJ Bleday grounds out, second baseman Ryan Bliss to first baseman Donovan Solano.",2025,Curveball
CU,663423,668709,No event,blocked_ball,"JJ Bleday grounds out, second baseman Ryan Bliss to first baseman Donovan Solano.",2025,Curveball
SI,663423,667670,field_out,hit_into_play,Brent Rooker flies out to center fielder Julio Rodríguez.,2025,Sinker
FF,663423,671732,strikeout,swinging_strike,Lawrence Butler strikes out swinging.,2025,4-Seam Fastball
FF,663423,671732,No event,swinging_strike,Lawrence Butler strikes out swinging.,2025,4-Seam Fastball
FC,663423,671732,No event,swinging_strike,Lawrence Butler strikes out swinging.,2025,Cutter
FF,663423,664913,walk,ball,Seth Brown walks.,2025,4-Seam Fastball
FC,663423,664913,No event,foul,Seth Brown walks.,2025,Cutter
FF,663423,664913,No event,ball,Seth Brown walks.,2025,4-Seam Fastball
SL,663423,664913,No event,ball,Seth Brown walks.,2025,Slider
FF,663423,664913,No event,foul,Seth Brown walks.,2025,4-Seam Fastball
FF,663423,664913,No event,ball,Seth Brown walks.,2025,4-Seam Fastball
SI,663423,805779,field_out,hit_into_play,"Jacob Wilson grounds out, second baseman Ryan Bliss to first baseman Rowdy Tellez.",2025,Sinker
SI,663423,805779,No event,called_strike,"Jacob Wilson grounds out, second baseman Ryan Bliss to first baseman Rowdy Tellez.",2025,Sinker
FF,663423,805779,No event,ball,"Jacob Wilson grounds out, second baseman Ryan Bliss to first baseman Rowdy Tellez.",2025,4-Seam Fastball
ST,663423,691777,field_out,hit_into_play,"Max Muncy grounds out, shortstop J.P. Crawford to first baseman Rowdy Tellez.",2025,Sweeper
SL,663423,570482,strikeout,called_strike,Gio Urshela called out on strikes.,2025,Slider
ST,663423,570482,No event,foul,Gio Urshela called out on strikes.,2025,Sweeper
ST,663423,570482,No event,ball,Gio Urshela called out on strikes.,2025,Sweeper
ST,663423,570482,No event,swinging_strike,Gio Urshela called out on strikes.,2025,Sweeper
SI,663423,570482,No event,swinging_strike,Gio Urshela called out on strikes.,2025,Sinker
FC,663423,691016,home_run,hit_into_play,Tyler Soderstrom homers (2) on a fly ball to right field.,2025,Cutter
SL,663423,691016,No event,ball,Tyler Soderstrom homers (2) on a fly ball to right field.,2025,Slider
ST,663423,677951,sac_fly,hit_into_play,Bobby Witt Jr. out on a sacrifice fly to left fielder Randy Arozarena. Harold Castro scores.,2025,Sweeper
ST,663423,677951,No event,ball,Bobby Witt Jr. out on a sacrifice fly to left fielder Randy Arozarena. Harold Castro scores.,2025,Sweeper
FC,663423,677951,No event,foul,Bobby Witt Jr. out on a sacrifice fly to left fielder Randy Arozarena. Harold Castro scores.,2025,Cutter
