pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,663474,592518,field_out,hit_into_play,Manny Machado lines out sharply to right fielder Jhonkensy Noel.,2025,4-Seam Fastball
FF,663474,592518,No event,swinging_strike,Manny Machado lines out sharply to right fielder Jhonkensy Noel.,2025,4-Seam Fastball
CU,663474,650333,field_out,hit_into_play,Luis Arraez flies out to right fielder Jhonkensy Noel.,2025,Curveball
CU,663474,650333,No event,blocked_ball,Luis Arraez flies out to right fielder Jhonkensy Noel.,2025,Curveball
FF,663474,650333,No event,foul,Luis Arraez flies out to right fielder Jhonkensy Noel.,2025,4-Seam Fastball
FF,663474,650333,No event,foul,Luis Arraez flies out to right fielder Jhonkensy Noel.,2025,4-Seam Fastball
SL,663474,665487,single,hit_into_play,Fernando Tatis Jr. singles on a sharp line drive to left fielder Steven Kwan.,2025,Slider
FF,663474,665487,No event,foul,Fernando Tatis Jr. singles on a sharp line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
SL,663474,665487,No event,ball,Fernando Tatis Jr. singles on a sharp line drive to left fielder Steven Kwan.,2025,Slider
FF,663474,553869,field_out,hit_into_play,"Elias Díaz grounds out, first baseman Carlos Santana to pitcher Triston McKenzie.",2025,4-Seam Fastball
FF,663474,553869,No event,swinging_strike,"Elias Díaz grounds out, first baseman Carlos Santana to pitcher Triston McKenzie.",2025,4-Seam Fastball
FF,663474,553869,No event,foul_tip,"Elias Díaz grounds out, first baseman Carlos Santana to pitcher Triston McKenzie.",2025,4-Seam Fastball
FF,663474,553869,No event,ball,"Elias Díaz grounds out, first baseman Carlos Santana to pitcher Triston McKenzie.",2025,4-Seam Fastball
FF,663474,518792,field_out,hit_into_play,Jason Heyward pops out to third baseman José Ramírez in foul territory.,2025,4-Seam Fastball
FF,663474,657757,walk,ball,Gavin Sheets walks.,2025,4-Seam Fastball
CU,663474,657757,No event,ball,Gavin Sheets walks.,2025,Curveball
FF,663474,657757,No event,foul,Gavin Sheets walks.,2025,4-Seam Fastball
