pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,700187,680474,strikeout,swinging_strike,Max Schuemann strikes out swinging.,2024,Sweeper
FF,700187,680474,No event,ball,Max Schuemann strikes out swinging.,2024,4-Seam Fastball
ST,700187,680474,No event,ball,Max Schuemann strikes out swinging.,2024,Sweeper
ST,700187,680474,No event,ball,Max Schuemann strikes out swinging.,2024,Sweeper
FF,700187,680474,No event,called_strike,Max Schuemann strikes out swinging.,2024,4-Seam Fastball
FF,700187,680474,No event,swinging_strike,Max Schuemann strikes out swinging.,2024,4-Seam Fastball
ST,700187,668832,strikeout,swinging_strike,Kyle McCann strikes out swinging.,2024,Sweeper
FF,700187,668832,No event,foul,Kyle McCann strikes out swinging.,2024,4-Seam Fastball
FF,700187,668832,No event,called_strike,Kyle McCann strikes out swinging.,2024,4-Seam Fastball
ST,700187,668832,No event,swinging_strike,Kyle McCann strikes out swinging.,2024,Sweeper
ST,700187,668832,No event,ball,Kyle McCann strikes out swinging.,2024,Sweeper
ST,700187,687231,double,hit_into_play,Darell Hernaiz doubles (3) on a sharp line drive to left fielder Randy Arozarena.   Seth Brown scores.    Zack Gelof scores.,2024,Sweeper
FF,700187,680869,single,hit_into_play,Zack Gelof singles on a line drive to center fielder Victor Robles.   Seth Brown to 3rd.,2024,4-Seam Fastball
FF,700187,680869,No event,foul,Zack Gelof singles on a line drive to center fielder Victor Robles.   Seth Brown to 3rd.,2024,4-Seam Fastball
ST,700187,664913,double,hit_into_play,Seth Brown doubles (11) on a line drive to right fielder Mitch Haniger.,2024,Sweeper
FF,700187,664913,No event,foul,Seth Brown doubles (11) on a line drive to right fielder Mitch Haniger.,2024,4-Seam Fastball
CH,700187,664913,No event,ball,Seth Brown doubles (11) on a line drive to right fielder Mitch Haniger.,2024,Changeup
ST,700187,664913,No event,foul,Seth Brown doubles (11) on a line drive to right fielder Mitch Haniger.,2024,Sweeper
ST,700187,664913,No event,ball,Seth Brown doubles (11) on a line drive to right fielder Mitch Haniger.,2024,Sweeper
ST,700187,691016,field_out,hit_into_play,Tyler Soderstrom flies out to center fielder Victor Robles.,2024,Sweeper
FF,700187,691016,No event,foul,Tyler Soderstrom flies out to center fielder Victor Robles.,2024,4-Seam Fastball
FF,700187,691016,No event,ball,Tyler Soderstrom flies out to center fielder Victor Robles.,2024,4-Seam Fastball
ST,700187,691016,No event,ball,Tyler Soderstrom flies out to center fielder Victor Robles.,2024,Sweeper
FF,700187,805779,field_out,hit_into_play,"Jacob Wilson grounds out, shortstop J. P. Crawford to first baseman Dylan Moore.",2024,4-Seam Fastball
FF,700187,680869,strikeout,called_strike,Zack Gelof called out on strikes.,2024,4-Seam Fastball
ST,700187,680869,No event,foul,Zack Gelof called out on strikes.,2024,Sweeper
ST,700187,680869,No event,ball,Zack Gelof called out on strikes.,2024,Sweeper
FF,700187,680869,No event,called_strike,Zack Gelof called out on strikes.,2024,4-Seam Fastball
FF,700187,680869,No event,ball,Zack Gelof called out on strikes.,2024,4-Seam Fastball
FF,700187,680869,No event,ball,Zack Gelof called out on strikes.,2024,4-Seam Fastball
ST,700187,680869,No event,swinging_strike,Zack Gelof called out on strikes.,2024,Sweeper
FF,700187,663662,strikeout,called_strike,Daz Cameron called out on strikes.,2024,4-Seam Fastball
FF,700187,663662,No event,foul,Daz Cameron called out on strikes.,2024,4-Seam Fastball
ST,700187,663662,No event,ball,Daz Cameron called out on strikes.,2024,Sweeper
ST,700187,663662,No event,ball,Daz Cameron called out on strikes.,2024,Sweeper
FF,700187,663662,No event,foul,Daz Cameron called out on strikes.,2024,4-Seam Fastball
ST,700187,663662,No event,called_strike,Daz Cameron called out on strikes.,2024,Sweeper
FF,700187,691016,double,hit_into_play,Tyler Soderstrom doubles (10) on a line drive to right fielder Mitch Haniger.,2024,4-Seam Fastball
FF,700187,691016,No event,called_strike,Tyler Soderstrom doubles (10) on a line drive to right fielder Mitch Haniger.,2024,4-Seam Fastball
FF,700187,691016,No event,called_strike,Tyler Soderstrom doubles (10) on a line drive to right fielder Mitch Haniger.,2024,4-Seam Fastball
FF,700187,691016,No event,ball,Tyler Soderstrom doubles (10) on a line drive to right fielder Mitch Haniger.,2024,4-Seam Fastball
ST,700187,691016,No event,ball,Tyler Soderstrom doubles (10) on a line drive to right fielder Mitch Haniger.,2024,Sweeper
ST,700187,691016,No event,ball,Tyler Soderstrom doubles (10) on a line drive to right fielder Mitch Haniger.,2024,Sweeper
FF,700187,608324,field_out,hit_into_play,"Alex Bregman grounds out, third baseman Dylan Moore to first baseman Luke Raley.",2024,4-Seam Fastball
FF,700187,663656,force_out,hit_into_play,"Kyle Tucker grounds into a force out, second baseman Jorge Polanco to shortstop J. P. Crawford. Jose Altuve out at 2nd. Kyle Tucker to 1st.",2024,4-Seam Fastball
ST,700187,663656,No event,blocked_ball,"Kyle Tucker grounds into a force out, second baseman Jorge Polanco to shortstop J. P. Crawford. Jose Altuve out at 2nd. Kyle Tucker to 1st.",2024,Sweeper
FF,700187,663656,No event,ball,"Kyle Tucker grounds into a force out, second baseman Jorge Polanco to shortstop J. P. Crawford. Jose Altuve out at 2nd. Kyle Tucker to 1st.",2024,4-Seam Fastball
FF,700187,663656,No event,ball,"Kyle Tucker grounds into a force out, second baseman Jorge Polanco to shortstop J. P. Crawford. Jose Altuve out at 2nd. Kyle Tucker to 1st.",2024,4-Seam Fastball
FF,700187,663656,No event,foul,"Kyle Tucker grounds into a force out, second baseman Jorge Polanco to shortstop J. P. Crawford. Jose Altuve out at 2nd. Kyle Tucker to 1st.",2024,4-Seam Fastball
FF,700187,663656,No event,foul,"Kyle Tucker grounds into a force out, second baseman Jorge Polanco to shortstop J. P. Crawford. Jose Altuve out at 2nd. Kyle Tucker to 1st.",2024,4-Seam Fastball
FF,700187,514888,single,hit_into_play,"Jose Altuve singles on a fly ball to shortstop J. P. Crawford, deflected by center fielder Julio Rodríguez.",2024,4-Seam Fastball
FF,700187,514888,No event,called_strike,"Jose Altuve singles on a fly ball to shortstop J. P. Crawford, deflected by center fielder Julio Rodríguez.",2024,4-Seam Fastball
FF,700187,676694,field_out,hit_into_play,"Jake Meyers grounds out, second baseman Jorge Polanco to first baseman Luke Raley.",2024,4-Seam Fastball
ST,700187,676694,No event,ball,"Jake Meyers grounds out, second baseman Jorge Polanco to first baseman Luke Raley.",2024,Sweeper
ST,700187,676694,No event,swinging_strike,"Jake Meyers grounds out, second baseman Jorge Polanco to first baseman Luke Raley.",2024,Sweeper
FF,700187,676694,No event,called_strike,"Jake Meyers grounds out, second baseman Jorge Polanco to first baseman Luke Raley.",2024,4-Seam Fastball
ST,700187,518792,home_run,hit_into_play,Jason Heyward homers (9) on a line drive to right center field.,2024,Sweeper
ST,700187,518792,No event,ball,Jason Heyward homers (9) on a line drive to right center field.,2024,Sweeper
ST,700187,518792,No event,swinging_strike,Jason Heyward homers (9) on a line drive to right center field.,2024,Sweeper
ST,700187,518792,No event,called_strike,Jason Heyward homers (9) on a line drive to right center field.,2024,Sweeper
ST,700187,608348,walk,ball,Carson Kelly walks. Ezequiel Duran to 3rd. Leody Taveras to 2nd.,2024,Sweeper
FF,700187,608348,No event,called_strike,Carson Kelly walks. Ezequiel Duran to 3rd. Leody Taveras to 2nd.,2024,4-Seam Fastball
