pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,621053,807713,field_out,hit_into_play,Matt Shaw pops out to catcher Shea Langeliers in foul territory.,2025,4-Seam Fastball
SI,621053,807713,No event,ball,Matt Shaw pops out to catcher Shea Langeliers in foul territory.,2025,Sinker
ST,621053,691718,single,hit_into_play,Pete Crow-Armstrong singles on a line drive to right fielder Lawrence Butler.,2025,Sweeper
FF,621053,691718,No event,called_strike,Pete Crow-Armstrong singles on a line drive to right fielder Lawrence Butler.,2025,4-Seam Fastball
CH,621053,663538,strikeout,swinging_strike,Nico Hoerner strikes out swinging.,2025,Changeup
FF,621053,663538,No event,foul,Nico Hoerner strikes out swinging.,2025,4-Seam Fastball
ST,621053,663538,No event,ball,Nico Hoerner strikes out swinging.,2025,Sweeper
ST,621053,663538,No event,called_strike,Nico Hoerner strikes out swinging.,2025,Sweeper
SI,621053,663538,No event,called_strike,Nico Hoerner strikes out swinging.,2025,Sinker
SI,621053,621020,field_out,hit_into_play,"Dansby Swanson grounds out, third baseman Luis Urías to first baseman Tyler Soderstrom.",2025,Sinker
ST,621053,665804,field_out,hit_into_play,Miguel Amaya flies out to left fielder Miguel Andujar.,2025,Sweeper
ST,621053,665804,No event,called_strike,Miguel Amaya flies out to left fielder Miguel Andujar.,2025,Sweeper
ST,621053,665804,No event,ball,Miguel Amaya flies out to left fielder Miguel Andujar.,2025,Sweeper
ST,621053,665804,No event,called_strike,Miguel Amaya flies out to left fielder Miguel Andujar.,2025,Sweeper
FF,621053,807713,strikeout,swinging_strike,Matt Shaw strikes out swinging.,2025,4-Seam Fastball
SI,621053,807713,No event,called_strike,Matt Shaw strikes out swinging.,2025,Sinker
FF,621053,807713,No event,ball,Matt Shaw strikes out swinging.,2025,4-Seam Fastball
FF,621053,807713,No event,called_strike,Matt Shaw strikes out swinging.,2025,4-Seam Fastball
FC,621053,691718,field_out,hit_into_play,Pete Crow-Armstrong flies out to right fielder Lawrence Butler.,2025,Cutter
ST,621053,691718,No event,blocked_ball,Pete Crow-Armstrong flies out to right fielder Lawrence Butler.,2025,Sweeper
CH,621053,691718,No event,ball,Pete Crow-Armstrong flies out to right fielder Lawrence Butler.,2025,Changeup
FF,621053,691718,No event,foul,Pete Crow-Armstrong flies out to right fielder Lawrence Butler.,2025,4-Seam Fastball
FC,621053,691718,No event,foul_tip,Pete Crow-Armstrong flies out to right fielder Lawrence Butler.,2025,Cutter
