pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,682989,687952,field_out,hit_into_play,Christian Encarnacion-Strand flies out to center fielder Mickey Moniak.,2025,
,682989,687952,No event,foul,Christian Encarnacion-Strand flies out to center fielder Mickey Moniak.,2025,
,682989,687952,No event,called_strike,Christian Encarnacion-Strand flies out to center fielder Mickey Moniak.,2025,
,682989,687952,No event,ball,Christian Encarnacion-Strand flies out to center fielder Mickey Moniak.,2025,
,682989,687952,No event,ball,Christian Encarnacion-Strand flies out to center fielder Mickey Moniak.,2025,
,682989,687952,No event,ball,Christian Encarnacion-Strand flies out to center fielder Mickey Moniak.,2025,
,682989,663886,walk,ball,Tyler Stephenson walks.,2025,
,682989,663886,No event,ball,Tyler Stephenson walks.,2025,
,682989,663886,No event,foul,Tyler Stephenson walks.,2025,
,682989,663886,No event,ball,Tyler Stephenson walks.,2025,
,682989,663886,No event,foul,Tyler Stephenson walks.,2025,
,682989,663886,No event,ball,Tyler Stephenson walks.,2025,
,682989,668715,strikeout,swinging_strike,Spencer Steer strikes out swinging.,2025,
,682989,668715,No event,foul,Spencer Steer strikes out swinging.,2025,
,682989,668715,No event,swinging_strike,Spencer Steer strikes out swinging.,2025,
,682989,668715,No event,ball,Spencer Steer strikes out swinging.,2025,
,682989,682829,home_run,hit_into_play,Elly De La Cruz homers (3) on a fly ball to right center field.,2025,
,682989,682829,No event,foul,Elly De La Cruz homers (3) on a fly ball to right center field.,2025,
,682989,682829,No event,called_strike,Elly De La Cruz homers (3) on a fly ball to right center field.,2025,
,682989,666158,strikeout,called_strike,Gavin Lux called out on strikes.,2025,
,682989,666158,No event,foul,Gavin Lux called out on strikes.,2025,
,682989,666158,No event,called_strike,Gavin Lux called out on strikes.,2025,
,682989,666158,No event,foul,Gavin Lux called out on strikes.,2025,
,682989,666158,No event,ball,Gavin Lux called out on strikes.,2025,
,682989,666158,No event,ball,Gavin Lux called out on strikes.,2025,
,682989,680574,home_run,hit_into_play,Matt McLain homers (1) on a fly ball to left center field. Stuart Fairchild scores.,2025,
,682989,680574,No event,called_strike,Matt McLain homers (1) on a fly ball to left center field. Stuart Fairchild scores.,2025,
,682989,680574,No event,ball,Matt McLain homers (1) on a fly ball to left center field. Stuart Fairchild scores.,2025,
,682989,680574,No event,ball,Matt McLain homers (1) on a fly ball to left center field. Stuart Fairchild scores.,2025,
,682989,656413,single,hit_into_play,Stuart Fairchild singles on a ground ball to left fielder Gustavo Campero.,2025,
,682989,656413,No event,swinging_strike,Stuart Fairchild singles on a ground ball to left fielder Gustavo Campero.,2025,
,682989,689041,field_out,hit_into_play,Rhylan Thomas grounds out to first baseman Ryan Noda.,2025,
,682989,689041,No event,ball,Rhylan Thomas grounds out to first baseman Ryan Noda.,2025,
,682989,695596,strikeout,swinging_strike,Nick Raposo strikes out swinging.,2025,
,682989,695596,No event,foul,Nick Raposo strikes out swinging.,2025,
,682989,695596,No event,ball,Nick Raposo strikes out swinging.,2025,
,682989,695596,No event,called_strike,Nick Raposo strikes out swinging.,2025,
,682989,801126,field_out,hit_into_play,Brock Rodden grounds out to first baseman Ryan Noda.,2025,
,682989,801126,No event,swinging_strike,Brock Rodden grounds out to first baseman Ryan Noda.,2025,
,682989,801126,No event,ball,Brock Rodden grounds out to first baseman Ryan Noda.,2025,
,682989,801126,No event,called_strike,Brock Rodden grounds out to first baseman Ryan Noda.,2025,
FF,682989,669701,single,hit_into_play,"Josh Smith singles on a sharp line drive to right fielder Mickey Moniak.   Carson Kelly scores.    Marcus Semien scores.  Josh Smith out at 2nd on the throw, right fielder Mickey Moniak to first baseman Nolan Schanuel to shortstop Zach Neto.",2024,4-Seam Fastball
FF,682989,669701,No event,ball,"Josh Smith singles on a sharp line drive to right fielder Mickey Moniak.   Carson Kelly scores.    Marcus Semien scores.  Josh Smith out at 2nd on the throw, right fielder Mickey Moniak to first baseman Nolan Schanuel to shortstop Zach Neto.",2024,4-Seam Fastball
FF,682989,543760,single,hit_into_play,Marcus Semien singles on a line drive to center fielder Bryce Teodosio.   Ezequiel Duran scores.    Carson Kelly to 3rd.,2024,4-Seam Fastball
SL,682989,543760,No event,blocked_ball,Marcus Semien singles on a line drive to center fielder Bryce Teodosio.   Ezequiel Duran scores.    Carson Kelly to 3rd.,2024,Slider
SI,682989,608348,walk,ball,Carson Kelly walks.   Ezequiel Duran to 2nd.,2024,Sinker
SL,682989,608348,No event,ball,Carson Kelly walks.   Ezequiel Duran to 2nd.,2024,Slider
FF,682989,608348,No event,ball,Carson Kelly walks.   Ezequiel Duran to 2nd.,2024,4-Seam Fastball
SI,682989,608348,No event,foul,Carson Kelly walks.   Ezequiel Duran to 2nd.,2024,Sinker
SL,682989,608348,No event,foul,Carson Kelly walks.   Ezequiel Duran to 2nd.,2024,Slider
FF,682989,608348,No event,ball,Carson Kelly walks.   Ezequiel Duran to 2nd.,2024,4-Seam Fastball
SI,682989,677649,No event,ball,Ezequiel Duran walks.,2024,Sinker
SI,682989,677649,No event,foul,Ezequiel Duran walks.,2024,Sinker
SL,682989,677649,No event,ball,Ezequiel Duran walks.,2024,Slider
FF,682989,677649,No event,ball,Ezequiel Duran walks.,2024,4-Seam Fastball
FF,682989,641680,field_out,hit_into_play,Jonah Heim flies out to left fielder Taylor Ward.,2024,4-Seam Fastball
FF,682989,641680,No event,foul,Jonah Heim flies out to left fielder Taylor Ward.,2024,4-Seam Fastball
