pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,593974,671286,strikeout,swinging_strike,Johnathan Rodriguez strikes out swinging.,2025,Changeup
CH,593974,671286,No event,swinging_strike,Johnathan Rodriguez strikes out swinging.,2025,Changeup
SI,593974,671286,No event,called_strike,Johnathan Rodriguez strikes out swinging.,2025,Sinker
CH,593974,672356,single,hit_into_play,Gabriel Arias singles on a ground ball to pitcher Wandy Peralta. Nolan Jones to 3rd.,2025,Changeup
CH,593974,672356,No event,ball,Gabriel Arias singles on a ground ball to pitcher Wandy Peralta. Nolan Jones to 3rd.,2025,Changeup
SI,593974,672356,No event,ball,Gabriel Arias singles on a ground ball to pitcher Wandy Peralta. Nolan Jones to 3rd.,2025,Sinker
CH,593974,672356,No event,foul,Gabriel Arias singles on a ground ball to pitcher Wandy Peralta. Nolan Jones to 3rd.,2025,Changeup
CH,593974,678877,field_out,hit_into_play,"Jhonkensy Noel grounds out sharply, third baseman Jose Iglesias to first baseman Luis Arraez.",2025,Changeup
CH,593974,595978,field_out,hit_into_play,"Austin Hedges grounds out softly, pitcher Wandy Peralta to first baseman Luis Arraez.",2025,Changeup
CH,593974,595978,No event,ball,"Austin Hedges grounds out softly, pitcher Wandy Peralta to first baseman Luis Arraez.",2025,Changeup
CH,593974,595978,No event,called_strike,"Austin Hedges grounds out softly, pitcher Wandy Peralta to first baseman Luis Arraez.",2025,Changeup
FF,593974,672356,field_out,hit_into_play,"Gabriel Arias grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,4-Seam Fastball
CH,593974,672356,No event,swinging_strike,"Gabriel Arias grounds out, third baseman Manny Machado to first baseman Luis Arraez.",2025,Changeup
SI,593974,700932,field_out,hit_into_play,"Kyle Manzardo grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Sinker
SI,593974,700932,No event,ball,"Kyle Manzardo grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Sinker
CH,593974,650559,field_out,hit_into_play,"Bryan De La Cruz grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Changeup
SI,593974,650559,No event,swinging_strike,"Bryan De La Cruz grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez.",2025,Sinker
