pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,694361,696521,strikeout,swinging_strike,Garrett Spain strikes out swinging.,2025,
,694361,696521,No event,foul,Garrett Spain strikes out swinging.,2025,
,694361,696521,No event,ball,Garrett Spain strikes out swinging.,2025,
,694361,696521,No event,swinging_strike,Garrett Spain strikes out swinging.,2025,
,694361,696521,No event,ball,Garrett Spain strikes out swinging.,2025,
,694361,696521,No event,foul,Garrett Spain strikes out swinging.,2025,
,694361,696521,No event,ball,Garrett Spain strikes out swinging.,2025,
,694361,694385,field_out,hit_into_play,Brock Wilken flies out to right fielder Lazaro Montes.,2025,
,694361,694385,No event,called_strike,Brock Wilken flies out to right fielder Lazaro Montes.,2025,
,694361,694385,No event,ball,Brock Wilken flies out to right fielder Lazaro Montes.,2025,
,694361,694385,No event,ball,Brock Wilken flies out to right fielder Lazaro Montes.,2025,
,694361,694385,No event,ball,Brock Wilken flies out to right fielder Lazaro Montes.,2025,
,694361,668930,field_out,hit_into_play,Brice Turang grounds out to first baseman Austin Shenton.,2025,
,694361,668930,No event,foul,Brice Turang grounds out to first baseman Austin Shenton.,2025,
,694361,668930,No event,ball,Brice Turang grounds out to first baseman Austin Shenton.,2025,
,694361,668930,No event,ball,Brice Turang grounds out to first baseman Austin Shenton.,2025,
,694361,668930,No event,ball,Brice Turang grounds out to first baseman Austin Shenton.,2025,
,694361,668930,No event,foul,Brice Turang grounds out to first baseman Austin Shenton.,2025,
,694361,668930,No event,foul,Brice Turang grounds out to first baseman Austin Shenton.,2025,
SL,694361,683090,field_out,hit_into_play,Matthew Lugo flies out to left fielder Randy Arozarena.,2025,Slider
FF,694361,605204,strikeout,called_strike,J.D. Davis called out on strikes.,2025,4-Seam Fastball
CU,694361,605204,No event,swinging_strike,J.D. Davis called out on strikes.,2025,Curveball
FF,694361,605204,No event,ball,J.D. Davis called out on strikes.,2025,4-Seam Fastball
FF,694361,605204,No event,called_strike,J.D. Davis called out on strikes.,2025,4-Seam Fastball
FF,694361,676116,walk,ball,Ryan Noda walks.,2025,4-Seam Fastball
SL,694361,676116,No event,ball,Ryan Noda walks.,2025,Slider
FF,694361,676116,No event,ball,Ryan Noda walks.,2025,4-Seam Fastball
CU,694361,676116,No event,foul,Ryan Noda walks.,2025,Curveball
SL,694361,676116,No event,swinging_strike,Ryan Noda walks.,2025,Slider
CU,694361,676116,No event,blocked_ball,Ryan Noda walks.,2025,Curveball
FF,694361,676116,No event,swinging_strike,Ryan Noda walks.,2025,4-Seam Fastball
CU,694361,695681,strikeout,swinging_strike,Christian Moore strikes out swinging.,2025,Curveball
CU,694361,695681,No event,ball,Christian Moore strikes out swinging.,2025,Curveball
FF,694361,695681,No event,swinging_strike,Christian Moore strikes out swinging.,2025,4-Seam Fastball
FF,694361,695681,No event,called_strike,Christian Moore strikes out swinging.,2025,4-Seam Fastball
CU,694361,621493,double,hit_into_play,Taylor Ward doubles (2) on a sharp fly ball to center fielder Miles Mastrobuoni. Chuckie Robinson to 3rd.,2025,Curveball
SL,694361,621493,No event,called_strike,Taylor Ward doubles (2) on a sharp fly ball to center fielder Miles Mastrobuoni. Chuckie Robinson to 3rd.,2025,Slider
CU,694361,621493,No event,ball,Taylor Ward doubles (2) on a sharp fly ball to center fielder Miles Mastrobuoni. Chuckie Robinson to 3rd.,2025,Curveball
FF,694361,642020,walk,ball,Chuckie Robinson walks.,2025,4-Seam Fastball
FF,694361,642020,No event,foul,Chuckie Robinson walks.,2025,4-Seam Fastball
FF,694361,642020,No event,called_strike,Chuckie Robinson walks.,2025,4-Seam Fastball
FF,694361,642020,No event,ball,Chuckie Robinson walks.,2025,4-Seam Fastball
SL,694361,642020,No event,ball,Chuckie Robinson walks.,2025,Slider
SL,694361,642020,No event,ball,Chuckie Robinson walks.,2025,Slider
FF,694361,608336,strikeout,swinging_strike,Joey Gallo strikes out swinging.,2025,4-Seam Fastball
SL,694361,608336,No event,ball,Joey Gallo strikes out swinging.,2025,Slider
SL,694361,608336,No event,swinging_strike,Joey Gallo strikes out swinging.,2025,Slider
FF,694361,608336,No event,called_strike,Joey Gallo strikes out swinging.,2025,4-Seam Fastball
CU,694361,596103,strikeout,swinging_strike,Austin Slater strikes out swinging.,2025,Curveball
CU,694361,596103,No event,called_strike,Austin Slater strikes out swinging.,2025,Curveball
FF,694361,596103,No event,foul,Austin Slater strikes out swinging.,2025,4-Seam Fastball
FF,694361,672820,field_out,hit_into_play,Lenyn Sosa lines out sharply to right fielder Victor Robles.,2025,4-Seam Fastball
CU,694361,672820,No event,ball,Lenyn Sosa lines out sharply to right fielder Victor Robles.,2025,Curveball
FF,694361,672820,No event,foul,Lenyn Sosa lines out sharply to right fielder Victor Robles.,2025,4-Seam Fastball
FF,694361,672820,No event,called_strike,Lenyn Sosa lines out sharply to right fielder Victor Robles.,2025,4-Seam Fastball
FF,694361,681546,field_out,hit_into_play,"James Outman grounds out, pitcher Will Klein to first baseman Tyler Locklear.",2025,4-Seam Fastball
CU,694361,681546,No event,foul,"James Outman grounds out, pitcher Will Klein to first baseman Tyler Locklear.",2025,Curveball
CU,694361,681546,No event,ball,"James Outman grounds out, pitcher Will Klein to first baseman Tyler Locklear.",2025,Curveball
SL,694361,681546,No event,called_strike,"James Outman grounds out, pitcher Will Klein to first baseman Tyler Locklear.",2025,Slider
SL,694361,681546,No event,foul,"James Outman grounds out, pitcher Will Klein to first baseman Tyler Locklear.",2025,Slider
FF,694361,605131,double,hit_into_play,Austin Barnes doubles (1) on a line drive to right fielder Dominic Canzone. Griffin Lockwood-Powell scores.,2025,4-Seam Fastball
FF,694361,605131,No event,called_strike,Austin Barnes doubles (1) on a line drive to right fielder Dominic Canzone. Griffin Lockwood-Powell scores.,2025,4-Seam Fastball
FF,694361,592696,strikeout,swinging_strike,Eddie Rosario strikes out swinging.,2025,4-Seam Fastball
CU,694361,592696,No event,foul,Eddie Rosario strikes out swinging.,2025,Curveball
SL,694361,592696,No event,swinging_strike,Eddie Rosario strikes out swinging.,2025,Slider
CU,694361,592696,No event,called_strike,Eddie Rosario strikes out swinging.,2025,Curveball
SL,694361,592696,No event,blocked_ball,Eddie Rosario strikes out swinging.,2025,Slider
FF,694361,500743,double,hit_into_play,Miguel Rojas doubles (1) on a line drive to center fielder Julio Rodríguez. Enrique Hernández scores.,2025,4-Seam Fastball
SL,694361,571771,single,hit_into_play,Enrique Hernández singles on a fly ball to center fielder Julio Rodríguez.,2025,Slider
FF,694361,571771,No event,foul,Enrique Hernández singles on a fly ball to center fielder Julio Rodríguez.,2025,4-Seam Fastball
CU,694361,571771,No event,ball,Enrique Hernández singles on a fly ball to center fielder Julio Rodríguez.,2025,Curveball
SL,694361,571771,No event,foul,Enrique Hernández singles on a fly ball to center fielder Julio Rodríguez.,2025,Slider
SL,694361,571771,No event,called_strike,Enrique Hernández singles on a fly ball to center fielder Julio Rodríguez.,2025,Slider
FF,694361,624424,strikeout,foul_tip,Michael Conforto strikes out on a foul tip.,2025,4-Seam Fastball
CU,694361,624424,No event,ball,Michael Conforto strikes out on a foul tip.,2025,Curveball
FF,694361,624424,No event,swinging_strike,Michael Conforto strikes out on a foul tip.,2025,4-Seam Fastball
FF,694361,624424,No event,ball,Michael Conforto strikes out on a foul tip.,2025,4-Seam Fastball
CU,694361,624424,No event,ball,Michael Conforto strikes out on a foul tip.,2025,Curveball
CU,694361,624424,No event,called_strike,Michael Conforto strikes out on a foul tip.,2025,Curveball
FF,694361,670712,strikeout,swinging_strike,Mike Brosseau strikes out swinging.,2025,4-Seam Fastball
SL,694361,670712,No event,foul,Mike Brosseau strikes out swinging.,2025,Slider
SL,694361,670712,No event,foul,Mike Brosseau strikes out swinging.,2025,Slider
FF,694361,670712,No event,ball,Mike Brosseau strikes out swinging.,2025,4-Seam Fastball
