pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,673513,678877,walk,ball,Jhonkensy Noel walks. Bo Naylor to 2nd.,2025,4-Seam Fastball
SL,673513,678877,No event,blocked_ball,Jhonkensy Noel walks. Bo Naylor to 2nd.,2025,Slider
FS,673513,678877,No event,ball,Jhonkensy Noel walks. Bo Naylor to 2nd.,2025,Split-Finger
FS,673513,678877,No event,ball,Jhonkensy Noel walks. Bo Naylor to 2nd.,2025,Split-Finger
FS,673513,672356,strikeout,swinging_strike,Gabriel Arias strikes out swinging.,2025,Split-Finger
SL,673513,672356,No event,swinging_strike_blocked,Gabriel Arias strikes out swinging.,2025,Slider
FF,673513,672356,No event,ball,Gabriel Arias strikes out swinging.,2025,4-Seam Fastball
FS,673513,672356,No event,ball,Gabriel Arias strikes out swinging.,2025,Split-Finger
FS,673513,672356,No event,called_strike,Gabriel Arias strikes out swinging.,2025,Split-Finger
FF,673513,666310,walk,ball,Bo Naylor walks.,2025,4-Seam Fastball
FF,673513,666310,No event,ball,Bo Naylor walks.,2025,4-Seam Fastball
FF,673513,666310,No event,ball,Bo Naylor walks.,2025,4-Seam Fastball
SL,673513,666310,No event,swinging_strike,Bo Naylor walks.,2025,Slider
SL,673513,666310,No event,ball,Bo Naylor walks.,2025,Slider
FS,673513,666134,strikeout,swinging_strike,Nolan Jones strikes out swinging.,2025,Split-Finger
FF,673513,666134,No event,foul,Nolan Jones strikes out swinging.,2025,4-Seam Fastball
ST,673513,666134,No event,ball,Nolan Jones strikes out swinging.,2025,Sweeper
FF,673513,666134,No event,foul,Nolan Jones strikes out swinging.,2025,4-Seam Fastball
FF,673513,666134,No event,swinging_strike,Nolan Jones strikes out swinging.,2025,4-Seam Fastball
FF,673513,666134,No event,ball,Nolan Jones strikes out swinging.,2025,4-Seam Fastball
ST,673513,680757,strikeout,swinging_strike_blocked,Steven Kwan strikes out swinging.,2025,Sweeper
FF,673513,680757,No event,foul,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
FF,673513,680757,No event,foul,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
SL,673513,680757,No event,ball,Steven Kwan strikes out swinging.,2025,Slider
FF,673513,680757,No event,ball,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
FS,673513,677587,strikeout,swinging_strike,Brayan Rocchio strikes out swinging.,2025,Split-Finger
FS,673513,677587,No event,swinging_strike,Brayan Rocchio strikes out swinging.,2025,Split-Finger
FS,673513,677587,No event,blocked_ball,Brayan Rocchio strikes out swinging.,2025,Split-Finger
ST,673513,677587,No event,swinging_strike,Brayan Rocchio strikes out swinging.,2025,Sweeper
FS,673513,595978,strikeout,swinging_strike,Austin Hedges strikes out swinging.,2025,Split-Finger
FF,673513,595978,No event,ball,Austin Hedges strikes out swinging.,2025,4-Seam Fastball
ST,673513,595978,No event,ball,Austin Hedges strikes out swinging.,2025,Sweeper
FS,673513,595978,No event,called_strike,Austin Hedges strikes out swinging.,2025,Split-Finger
FS,673513,595978,No event,ball,Austin Hedges strikes out swinging.,2025,Split-Finger
FF,673513,595978,No event,foul,Austin Hedges strikes out swinging.,2025,4-Seam Fastball
FF,673513,672284,field_out,hit_into_play,Jarred Kelenic flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
SL,673513,672284,No event,ball,Jarred Kelenic flies out to center fielder Jackson Merrill.,2025,Slider
FF,673513,672284,No event,ball,Jarred Kelenic flies out to center fielder Jackson Merrill.,2025,4-Seam Fastball
FS,673513,606115,strikeout,swinging_strike_blocked,Orlando Arcia strikes out swinging.,2025,Split-Finger
FF,673513,606115,No event,foul,Orlando Arcia strikes out swinging.,2025,4-Seam Fastball
FS,673513,606115,No event,foul,Orlando Arcia strikes out swinging.,2025,Split-Finger
ST,673513,686948,field_out,hit_into_play,Drake Baldwin flies out sharply to center fielder Jackson Merrill.,2025,Sweeper
FF,673513,686948,No event,foul,Drake Baldwin flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,673513,686948,No event,foul,Drake Baldwin flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,673513,686948,No event,ball,Drake Baldwin flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,673513,686948,No event,ball,Drake Baldwin flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
