pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,579328,687363,field_out,hit_into_play,Victor Scott II flies out to center fielder Jo Adell.,2025,Slider
FF,579328,687363,No event,foul_tip,Victor Scott II flies out to center fielder Jo Adell.,2025,4-Seam Fastball
SL,579328,687363,No event,called_strike,Victor Scott II flies out to center fielder Jo Adell.,2025,Slider
CU,579328,691023,walk,ball,Jordan Walker walks.,2025,Curveball
FF,579328,691023,No event,ball,Jordan Walker walks.,2025,4-Seam Fastball
CH,579328,691023,No event,ball,Jordan Walker walks.,2025,Changeup
FF,579328,691023,No event,foul,Jordan Walker walks.,2025,4-Seam Fastball
FF,579328,691023,No event,foul,Jordan Walker walks.,2025,4-Seam Fastball
FF,579328,691023,No event,foul,Jordan Walker walks.,2025,4-Seam Fastball
CU,579328,691023,No event,ball,Jordan Walker walks.,2025,Curveball
ST,579328,680977,field_out,hit_into_play,"Brendan Donovan grounds out, second baseman Luis Rengifo to first baseman Nolan Schanuel.",2025,Sweeper
ST,579328,680977,No event,called_strike,"Brendan Donovan grounds out, second baseman Luis Rengifo to first baseman Nolan Schanuel.",2025,Sweeper
SL,579328,680977,No event,swinging_strike,"Brendan Donovan grounds out, second baseman Luis Rengifo to first baseman Nolan Schanuel.",2025,Slider
SL,579328,671056,home_run,hit_into_play,Iván Herrera homers (2) on a fly ball to left field. Nolan Arenado scores.,2025,Slider
SL,579328,671056,No event,ball,Iván Herrera homers (2) on a fly ball to left field. Nolan Arenado scores.,2025,Slider
CH,579328,671056,No event,blocked_ball,Iván Herrera homers (2) on a fly ball to left field. Nolan Arenado scores.,2025,Changeup
FF,579328,671056,No event,foul,Iván Herrera homers (2) on a fly ball to left field. Nolan Arenado scores.,2025,4-Seam Fastball
FF,579328,571448,single,hit_into_play,Nolan Arenado singles on a line drive to right fielder Mike Trout.,2025,4-Seam Fastball
CH,579328,571448,No event,ball,Nolan Arenado singles on a line drive to right fielder Mike Trout.,2025,Changeup
SL,579328,571448,No event,foul,Nolan Arenado singles on a line drive to right fielder Mike Trout.,2025,Slider
CH,579328,663609,field_out,hit_into_play,Luken Baker pops out to third baseman Yoán Moncada in foul territory.,2025,Changeup
SL,579328,663609,No event,called_strike,Luken Baker pops out to third baseman Yoán Moncada in foul territory.,2025,Slider
SL,579328,663609,No event,called_strike,Luken Baker pops out to third baseman Yoán Moncada in foul territory.,2025,Slider
SL,579328,575929,field_out,hit_into_play,Willson Contreras lines out to left fielder Taylor Ward.,2025,Slider
FF,579328,575929,No event,ball,Willson Contreras lines out to left fielder Taylor Ward.,2025,4-Seam Fastball
CU,579328,575929,No event,swinging_strike,Willson Contreras lines out to left fielder Taylor Ward.,2025,Curveball
SL,579328,575929,No event,called_strike,Willson Contreras lines out to left fielder Taylor Ward.,2025,Slider
