pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,677161,676059,field_out,hit_into_play,"Jordan Westburg grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
FF,677161,668939,grounded_into_double_play,hit_into_play,"Adley Rutschman grounds into a double play, second baseman Kristian Campbell to shortstop Trevor Story to first baseman Triston Casas. Cedric Mullins out at 2nd. Adley Rutschman out at 1st.",2025,4-Seam Fastball
FC,677161,668939,No event,swinging_strike,"Adley Rutschman grounds into a double play, second baseman Kristian Campbell to shortstop Trevor Story to first baseman Triston Casas. Cedric Mullins out at 2nd. Adley Rutschman out at 1st.",2025,Cutter
ST,677161,668939,No event,ball,"Adley Rutschman grounds into a double play, second baseman Kristian Campbell to shortstop Trevor Story to first baseman Triston Casas. Cedric Mullins out at 2nd. Adley Rutschman out at 1st.",2025,Sweeper
ST,677161,668939,No event,ball,"Adley Rutschman grounds into a double play, second baseman Kristian Campbell to shortstop Trevor Story to first baseman Triston Casas. Cedric Mullins out at 2nd. Adley Rutschman out at 1st.",2025,Sweeper
ST,677161,608369,field_out,hit_into_play,Corey Seager flies out to left fielder Kristian Campbell.,2025,Sweeper
CH,677161,608369,No event,ball,Corey Seager flies out to left fielder Kristian Campbell.,2025,Changeup
ST,677161,608369,No event,foul,Corey Seager flies out to left fielder Kristian Campbell.,2025,Sweeper
CH,677161,608369,No event,ball,Corey Seager flies out to left fielder Kristian Campbell.,2025,Changeup
FC,677161,543760,field_out,hit_into_play,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Cutter
ST,677161,543760,No event,foul,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,677161,543760,No event,ball,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,677161,543760,No event,foul,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,677161,543760,No event,ball,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,677161,543760,No event,foul,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
FF,677161,543760,No event,ball,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
ST,677161,665750,field_out,hit_into_play,"Leody Taveras grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Sweeper
FF,677161,641680,field_out,hit_into_play,Jonah Heim flies out to center fielder Jarren Duran.,2025,4-Seam Fastball
FF,677161,641680,No event,swinging_strike,Jonah Heim flies out to center fielder Jarren Duran.,2025,4-Seam Fastball
FF,677161,641680,No event,called_strike,Jonah Heim flies out to center fielder Jarren Duran.,2025,4-Seam Fastball
ST,677161,677649,strikeout,swinging_strike,Ezequiel Duran strikes out swinging.,2025,Sweeper
ST,677161,677649,No event,blocked_ball,Ezequiel Duran strikes out swinging.,2025,Sweeper
FF,677161,677649,No event,foul,Ezequiel Duran strikes out swinging.,2025,4-Seam Fastball
FF,677161,677649,No event,foul,Ezequiel Duran strikes out swinging.,2025,4-Seam Fastball
ST,677161,677649,No event,missed_bunt,Ezequiel Duran strikes out swinging.,2025,Sweeper
SI,677161,669394,field_out,hit_into_play,Jake Burger lines out sharply to center fielder Jarren Duran. Adolis García to 3rd.,2025,Sinker
FF,677161,666969,double,hit_into_play,Adolis García doubles (2) on a sharp line drive to center fielder Jarren Duran.,2025,4-Seam Fastball
ST,677161,666969,No event,foul,Adolis García doubles (2) on a sharp line drive to center fielder Jarren Duran.,2025,Sweeper
,677161,669707,double_play,hit_into_play,"Jared Triolo lines into a double play, shortstop Nick Sogard to second baseman Kristian Campbell. Tommy Pham out at 2nd.",2025,
ST,677161,621439,strikeout,called_strike,Byron Buxton called out on strikes.,2025,Sweeper
FF,677161,621439,No event,ball,Byron Buxton called out on strikes.,2025,4-Seam Fastball
SI,677161,621439,No event,foul,Byron Buxton called out on strikes.,2025,Sinker
ST,677161,621439,No event,ball,Byron Buxton called out on strikes.,2025,Sweeper
ST,677161,621439,No event,called_strike,Byron Buxton called out on strikes.,2025,Sweeper
SI,677161,621439,No event,called_strike,Byron Buxton called out on strikes.,2025,Sinker
FF,677161,621043,field_out,hit_into_play,"Carlos Correa grounds out, third baseman Nick Sogard to first baseman Romy Gonzalez.",2025,4-Seam Fastball
ST,677161,621043,No event,called_strike,"Carlos Correa grounds out, third baseman Nick Sogard to first baseman Romy Gonzalez.",2025,Sweeper
FC,677161,621043,No event,ball,"Carlos Correa grounds out, third baseman Nick Sogard to first baseman Romy Gonzalez.",2025,Cutter
FF,677161,650489,strikeout,swinging_strike,Willi Castro strikes out swinging.,2025,4-Seam Fastball
CH,677161,650489,No event,ball,Willi Castro strikes out swinging.,2025,Changeup
FC,677161,650489,No event,swinging_strike,Willi Castro strikes out swinging.,2025,Cutter
FC,677161,650489,No event,ball,Willi Castro strikes out swinging.,2025,Cutter
FF,677161,650489,No event,foul,Willi Castro strikes out swinging.,2025,4-Seam Fastball
FC,677161,665856,field_out,hit_into_play,Jair Camargo lines out sharply to center fielder Ceddanne Rafaela.,2025,Cutter
FC,677161,665856,No event,blocked_ball,Jair Camargo lines out sharply to center fielder Ceddanne Rafaela.,2025,Cutter
ST,677161,680577,double_play,hit_into_play,"DaShawn Keirsey Jr. lines into a double play, center fielder Ceddanne Rafaela to catcher Connor Wong. Christian Vázquez out at home.",2025,Sweeper
CH,677161,680577,No event,foul,"DaShawn Keirsey Jr. lines into a double play, center fielder Ceddanne Rafaela to catcher Connor Wong. Christian Vázquez out at home.",2025,Changeup
CH,677161,680577,No event,called_strike,"DaShawn Keirsey Jr. lines into a double play, center fielder Ceddanne Rafaela to catcher Connor Wong. Christian Vázquez out at home.",2025,Changeup
FF,677161,680577,No event,foul,"DaShawn Keirsey Jr. lines into a double play, center fielder Ceddanne Rafaela to catcher Connor Wong. Christian Vázquez out at home.",2025,4-Seam Fastball
FC,677161,680577,No event,ball,"DaShawn Keirsey Jr. lines into a double play, center fielder Ceddanne Rafaela to catcher Connor Wong. Christian Vázquez out at home.",2025,Cutter
FC,677161,680577,No event,ball,"DaShawn Keirsey Jr. lines into a double play, center fielder Ceddanne Rafaela to catcher Connor Wong. Christian Vázquez out at home.",2025,Cutter
FF,677161,668885,double,hit_into_play,Austin Martin doubles (1) on a line drive to right fielder Roman Anthony. Ty France scores. Christian Vázquez to 3rd.,2025,4-Seam Fastball
,677161,672284,field_out,hit_into_play,"Jarred Kelenic grounds out, shortstop Trevor Story to first baseman Romy Gonzalez.",2025,
,677161,672284,No event,called_strike,"Jarred Kelenic grounds out, shortstop Trevor Story to first baseman Romy Gonzalez.",2025,
,677161,672284,No event,called_strike,"Jarred Kelenic grounds out, shortstop Trevor Story to first baseman Romy Gonzalez.",2025,
,677161,686551,field_out,hit_into_play,Christian Cairo flies out to left fielder Jarren Duran.,2025,
,677161,686551,No event,called_strike,Christian Cairo flies out to left fielder Jarren Duran.,2025,
,677161,686551,No event,ball,Christian Cairo flies out to left fielder Jarren Duran.,2025,
,677161,686551,No event,swinging_strike,Christian Cairo flies out to left fielder Jarren Duran.,2025,
,677161,686551,No event,ball,Christian Cairo flies out to left fielder Jarren Duran.,2025,
FF,677161,645305,strikeout,called_strike,Ali Sánchez called out on strikes.,2025,4-Seam Fastball
ST,677161,645305,No event,swinging_strike,Ali Sánchez called out on strikes.,2025,Sweeper
SI,677161,645305,No event,called_strike,Ali Sánchez called out on strikes.,2025,Sinker
FF,677161,694661,strikeout,called_strike,Riley Tirotta called out on strikes.,2025,4-Seam Fastball
ST,677161,694661,No event,ball,Riley Tirotta called out on strikes.,2025,Sweeper
ST,677161,694661,No event,called_strike,Riley Tirotta called out on strikes.,2025,Sweeper
FC,677161,694661,No event,swinging_strike,Riley Tirotta called out on strikes.,2025,Cutter
SI,677161,694661,No event,ball,Riley Tirotta called out on strikes.,2025,Sinker
FF,677161,666182,field_out,hit_into_play,"Bo Bichette grounds out, second baseman Vaughn Grissom to first baseman Nathan Hickey.",2025,4-Seam Fastball
FC,677161,682729,strikeout,swinging_strike,Jonatan Clase strikes out swinging.,2025,Cutter
FF,677161,682729,No event,ball,Jonatan Clase strikes out swinging.,2025,4-Seam Fastball
CH,677161,682729,No event,swinging_strike_blocked,Jonatan Clase strikes out swinging.,2025,Changeup
FC,677161,682729,No event,called_strike,Jonatan Clase strikes out swinging.,2025,Cutter
FF,677161,682729,No event,ball,Jonatan Clase strikes out swinging.,2025,4-Seam Fastball
FC,677161,682729,No event,ball,Jonatan Clase strikes out swinging.,2025,Cutter
SI,677161,676914,single,hit_into_play,Davis Schneider singles on a line drive to right fielder Jhostynxon Garcia. George Springer scores. Alejandro Kirk to 2nd.,2025,Sinker
ST,677161,676914,No event,swinging_strike,Davis Schneider singles on a line drive to right fielder Jhostynxon Garcia. George Springer scores. Alejandro Kirk to 2nd.,2025,Sweeper
FF,677161,676391,field_out,hit_into_play,Ernie Clement pops out to third baseman Nick Sogard.,2025,4-Seam Fastball
FC,677161,676391,No event,foul,Ernie Clement pops out to third baseman Nick Sogard.,2025,Cutter
FF,677161,676391,No event,called_strike,Ernie Clement pops out to third baseman Nick Sogard.,2025,4-Seam Fastball
,677161,692944,field_out,hit_into_play,Kevin Villavicencio grounds out to first baseman Nick Sogard.,2025,
,677161,692944,No event,ball,Kevin Villavicencio grounds out to first baseman Nick Sogard.,2025,
,677161,692944,No event,ball,Kevin Villavicencio grounds out to first baseman Nick Sogard.,2025,
,677161,692944,No event,foul,Kevin Villavicencio grounds out to first baseman Nick Sogard.,2025,
,677161,692944,No event,swinging_strike,Kevin Villavicencio grounds out to first baseman Nick Sogard.,2025,
,677161,692944,No event,called_strike,Kevin Villavicencio grounds out to first baseman Nick Sogard.,2025,
,677161,665782,field_out,hit_into_play,"Luis De Los Santos grounds out, shortstop Marcelo Mayer to first baseman Nick Sogard.",2025,
,677161,665782,No event,ball,"Luis De Los Santos grounds out, shortstop Marcelo Mayer to first baseman Nick Sogard.",2025,
,677161,691267,strikeout,swinging_strike,Alex Ramírez strikes out swinging.,2025,
,677161,691267,No event,foul,Alex Ramírez strikes out swinging.,2025,
,677161,691267,No event,foul,Alex Ramírez strikes out swinging.,2025,
,677161,691267,No event,ball,Alex Ramírez strikes out swinging.,2025,
,677161,691267,No event,called_strike,Alex Ramírez strikes out swinging.,2025,
,677161,691267,No event,foul,Alex Ramírez strikes out swinging.,2025,
,677161,676044,single,hit_into_play,Bob Seymour singles on a sharp line drive to right fielder Phillip Sikes.   Kameron Misner scores.    Coco Montes to 3rd.,2025,
,677161,676044,No event,ball,Bob Seymour singles on a sharp line drive to right fielder Phillip Sikes.   Kameron Misner scores.    Coco Montes to 3rd.,2025,
,677161,676044,No event,ball,Bob Seymour singles on a sharp line drive to right fielder Phillip Sikes.   Kameron Misner scores.    Coco Montes to 3rd.,2025,
,677161,676044,No event,foul,Bob Seymour singles on a sharp line drive to right fielder Phillip Sikes.   Kameron Misner scores.    Coco Montes to 3rd.,2025,
,677161,676044,No event,called_strike,Bob Seymour singles on a sharp line drive to right fielder Phillip Sikes.   Kameron Misner scores.    Coco Montes to 3rd.,2025,
,677161,663796,walk,ball,Coco Montes walks.,2025,
,677161,663796,No event,ball,Coco Montes walks.,2025,
,677161,663796,No event,ball,Coco Montes walks.,2025,
,677161,663796,No event,swinging_strike,Coco Montes walks.,2025,
,677161,663796,No event,ball,Coco Montes walks.,2025,
,677161,670224,single,hit_into_play,Kameron Misner singles on a line drive to right fielder Phillip Sikes.,2025,
,677161,670224,No event,foul,Kameron Misner singles on a line drive to right fielder Phillip Sikes.,2025,
,677161,670224,No event,ball,Kameron Misner singles on a line drive to right fielder Phillip Sikes.,2025,
,677161,670224,No event,ball,Kameron Misner singles on a line drive to right fielder Phillip Sikes.,2025,
,677161,668663,strikeout,swinging_strike,Tres Barrera strikes out swinging.,2025,
,677161,668663,No event,ball,Tres Barrera strikes out swinging.,2025,
,677161,668663,No event,foul,Tres Barrera strikes out swinging.,2025,
,677161,668663,No event,swinging_strike,Tres Barrera strikes out swinging.,2025,
,677161,668663,No event,ball,Tres Barrera strikes out swinging.,2025,
,677161,803033,strikeout,swinging_strike,Matthew Etzel strikes out swinging.,2025,
,677161,803033,No event,ball,Matthew Etzel strikes out swinging.,2025,
,677161,803033,No event,foul,Matthew Etzel strikes out swinging.,2025,
,677161,803033,No event,foul,Matthew Etzel strikes out swinging.,2025,
,677161,807727,field_out,hit_into_play,"Charles McAdoo grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2025,
,677161,807727,No event,ball,"Charles McAdoo grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2025,
,677161,807727,No event,called_strike,"Charles McAdoo grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2025,
,677161,807727,No event,foul,"Charles McAdoo grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2025,
,677161,807727,No event,ball,"Charles McAdoo grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2025,
,677161,807727,No event,ball,"Charles McAdoo grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2025,
,677161,677870,field_out,hit_into_play,Leo Jiménez flies out to right fielder Nate Eaton.,2025,
,677161,677870,No event,foul,Leo Jiménez flies out to right fielder Nate Eaton.,2025,
,677161,678742,field_error,hit_into_play,Rainer Nunez reaches on a throwing error by shortstop Trevor Story.,2025,
,677161,702302,field_out,hit_into_play,"RJ Schreck grounds out, pitcher Zack Kelly to first baseman Triston Casas.",2025,
,677161,702302,No event,ball,"RJ Schreck grounds out, pitcher Zack Kelly to first baseman Triston Casas.",2025,
,677161,702302,No event,called_strike,"RJ Schreck grounds out, pitcher Zack Kelly to first baseman Triston Casas.",2025,
ST,677161,650402,single,hit_into_play,Gleyber Torres singles on a ground ball to left fielder Tyler O'Neill. Anthony Volpe scores. Alex Verdugo to 2nd.,2024,Sweeper
FF,677161,657077,walk,ball,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,4-Seam Fastball
CH,677161,657077,No event,ball,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,Changeup
FC,677161,657077,No event,ball,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,Cutter
CH,677161,657077,No event,ball,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,Changeup
ST,677161,657077,No event,foul,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,Sweeper
ST,677161,657077,No event,called_strike,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,Sweeper
FC,677161,657077,No event,called_strike,Alex Verdugo walks. Anthony Volpe to 2nd.,2024,Cutter
FC,677161,683011,walk,ball,Anthony Volpe walks.,2024,Cutter
FC,677161,683011,No event,called_strike,Anthony Volpe walks.,2024,Cutter
FC,677161,683011,No event,called_strike,Anthony Volpe walks.,2024,Cutter
FF,677161,683011,No event,ball,Anthony Volpe walks.,2024,4-Seam Fastball
FC,677161,683011,No event,ball,Anthony Volpe walks.,2024,Cutter
FF,677161,683011,No event,ball,Anthony Volpe walks.,2024,4-Seam Fastball
ST,677161,683011,field_out,hit_into_play,Anthony Volpe lines out to left fielder Jarren Duran.,2024,Sweeper
ST,677161,683011,No event,called_strike,Anthony Volpe lines out to left fielder Jarren Duran.,2024,Sweeper
ST,677161,668939,field_out,hit_into_play,"Adley Rutschman grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2024,Sweeper
CH,677161,668939,No event,called_strike,"Adley Rutschman grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2024,Changeup
FC,677161,668939,No event,ball,"Adley Rutschman grounds out, first baseman Triston Casas to pitcher Zack Kelly.",2024,Cutter
FC,677161,656811,strikeout,swinging_strike,Ryan O'Hearn strikes out swinging.,2024,Cutter
FC,677161,656811,No event,foul,Ryan O'Hearn strikes out swinging.,2024,Cutter
CH,677161,656811,No event,ball,Ryan O'Hearn strikes out swinging.,2024,Changeup
FF,677161,656811,No event,ball,Ryan O'Hearn strikes out swinging.,2024,4-Seam Fastball
FC,677161,656811,No event,foul,Ryan O'Hearn strikes out swinging.,2024,Cutter
FC,677161,656811,No event,swinging_strike,Ryan O'Hearn strikes out swinging.,2024,Cutter
FC,677161,656811,No event,ball,Ryan O'Hearn strikes out swinging.,2024,Cutter
FC,677161,623993,walk,ball,Anthony Santander walks.,2024,Cutter
FF,677161,623993,No event,ball,Anthony Santander walks.,2024,4-Seam Fastball
CH,677161,623993,No event,ball,Anthony Santander walks.,2024,Changeup
FF,677161,623993,No event,ball,Anthony Santander walks.,2024,4-Seam Fastball
FF,677161,656775,walk,blocked_ball,Cedric Mullins walks.,2024,4-Seam Fastball
ST,677161,656775,No event,ball,Cedric Mullins walks.,2024,Sweeper
FC,677161,656775,No event,foul,Cedric Mullins walks.,2024,Cutter
ST,677161,656775,No event,ball,Cedric Mullins walks.,2024,Sweeper
ST,677161,656775,No event,called_strike,Cedric Mullins walks.,2024,Sweeper
CH,677161,656775,No event,ball,Cedric Mullins walks.,2024,Changeup
FC,677161,683002,strikeout,called_strike,Gunnar Henderson called out on strikes.,2024,Cutter
FF,677161,683002,No event,foul,Gunnar Henderson called out on strikes.,2024,4-Seam Fastball
FC,677161,683002,No event,foul,Gunnar Henderson called out on strikes.,2024,Cutter
FC,677161,683002,No event,ball,Gunnar Henderson called out on strikes.,2024,Cutter
ST,677161,676113,single,hit_into_play,"Zach DeLoach singles on a ground ball to right fielder Wilyer Abreu. Dominic Fletcher scores. Gavin Sheets scores. Jacob Amaya to 3rd. Zach DeLoach to 2nd. Zach DeLoach advances to 2nd, on a throwing error by right fielder Wilyer Abreu.",2024,Sweeper
CH,677161,676113,No event,ball,"Zach DeLoach singles on a ground ball to right fielder Wilyer Abreu. Dominic Fletcher scores. Gavin Sheets scores. Jacob Amaya to 3rd. Zach DeLoach to 2nd. Zach DeLoach advances to 2nd, on a throwing error by right fielder Wilyer Abreu.",2024,Changeup
FF,677161,676113,No event,foul,"Zach DeLoach singles on a ground ball to right fielder Wilyer Abreu. Dominic Fletcher scores. Gavin Sheets scores. Jacob Amaya to 3rd. Zach DeLoach to 2nd. Zach DeLoach advances to 2nd, on a throwing error by right fielder Wilyer Abreu.",2024,4-Seam Fastball
ST,677161,676070,single,hit_into_play,Jacob Amaya singles on a fly ball to right fielder Wilyer Abreu. Nicky Lopez scores. Dominic Fletcher to 3rd. Gavin Sheets to 2nd.,2024,Sweeper
ST,677161,676070,No event,called_strike,Jacob Amaya singles on a fly ball to right fielder Wilyer Abreu. Nicky Lopez scores. Dominic Fletcher to 3rd. Gavin Sheets to 2nd.,2024,Sweeper
FC,677161,666150,double,hit_into_play,Dominic Fletcher doubles (8) on a line drive to left fielder Tyler O'Neill. Bryan Ramos scores. Nicky Lopez to 3rd.,2024,Cutter
FF,677161,666150,No event,ball,Dominic Fletcher doubles (8) on a line drive to left fielder Tyler O'Neill. Bryan Ramos scores. Nicky Lopez to 3rd.,2024,4-Seam Fastball
CH,677161,666150,No event,foul,Dominic Fletcher doubles (8) on a line drive to left fielder Tyler O'Neill. Bryan Ramos scores. Nicky Lopez to 3rd.,2024,Changeup
FF,677161,666150,No event,swinging_strike,Dominic Fletcher doubles (8) on a line drive to left fielder Tyler O'Neill. Bryan Ramos scores. Nicky Lopez to 3rd.,2024,4-Seam Fastball
CH,677161,666150,No event,ball,Dominic Fletcher doubles (8) on a line drive to left fielder Tyler O'Neill. Bryan Ramos scores. Nicky Lopez to 3rd.,2024,Changeup
CH,677161,666150,No event,foul,Dominic Fletcher doubles (8) on a line drive to left fielder Tyler O'Neill. Bryan Ramos scores. Nicky Lopez to 3rd.,2024,Changeup
FC,677161,672820,single,hit_into_play,Lenyn Sosa singles on a line drive to right fielder Wilyer Abreu. Bryan Ramos to 2nd.,2024,Cutter
ST,677161,686676,strikeout,swinging_strike,Korey Lee strikes out swinging.,2024,Sweeper
FC,677161,686676,No event,called_strike,Korey Lee strikes out swinging.,2024,Cutter
FC,677161,686676,No event,swinging_strike,Korey Lee strikes out swinging.,2024,Cutter
FC,677161,686676,No event,ball,Korey Lee strikes out swinging.,2024,Cutter
FF,677161,683734,single,hit_into_play,Andrew Vaughn singles on a line drive to right fielder Wilyer Abreu.,2024,4-Seam Fastball
ST,677161,683734,No event,ball,Andrew Vaughn singles on a line drive to right fielder Wilyer Abreu.,2024,Sweeper
CH,677161,683734,No event,ball,Andrew Vaughn singles on a line drive to right fielder Wilyer Abreu.,2024,Changeup
CH,677161,683734,No event,foul,Andrew Vaughn singles on a line drive to right fielder Wilyer Abreu.,2024,Changeup
ST,677161,683734,No event,called_strike,Andrew Vaughn singles on a line drive to right fielder Wilyer Abreu.,2024,Sweeper
ST,677161,673357,force_out,hit_into_play,"Luis Robert Jr. grounds into a force out, shortstop Ceddanne Rafaela to second baseman Enmanuel Valdez. Nicky Lopez out at 2nd.",2024,Sweeper
ST,677161,673357,No event,called_strike,"Luis Robert Jr. grounds into a force out, shortstop Ceddanne Rafaela to second baseman Enmanuel Valdez. Nicky Lopez out at 2nd.",2024,Sweeper
FC,677161,670032,single,hit_into_play,Nicky Lopez singles on a ground ball to center fielder Jarren Duran.,2024,Cutter
CH,677161,670032,No event,ball,Nicky Lopez singles on a ground ball to center fielder Jarren Duran.,2024,Changeup
FC,677161,670032,No event,ball,Nicky Lopez singles on a ground ball to center fielder Jarren Duran.,2024,Cutter
FC,677161,676070,field_out,hit_into_play,"Jacob Amaya grounds out, pitcher Zack Kelly to first baseman Triston Casas.",2024,Cutter
ST,677161,676070,No event,ball,"Jacob Amaya grounds out, pitcher Zack Kelly to first baseman Triston Casas.",2024,Sweeper
FF,677161,676070,No event,swinging_strike,"Jacob Amaya grounds out, pitcher Zack Kelly to first baseman Triston Casas.",2024,4-Seam Fastball
ST,677161,642020,field_out,hit_into_play,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Sweeper
ST,677161,642020,No event,foul,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Sweeper
CH,677161,642020,No event,ball,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Changeup
FF,677161,642020,No event,foul,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,4-Seam Fastball
ST,677161,642020,No event,foul,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Sweeper
ST,677161,642020,No event,called_strike,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Sweeper
FF,677161,642020,No event,swinging_strike,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,4-Seam Fastball
FC,677161,642020,No event,ball,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Cutter
FC,677161,642020,No event,ball,"Chuckie Robinson grounds out, shortstop Ceddanne Rafaela to first baseman Triston Casas.",2024,Cutter
ST,677161,621438,strikeout,swinging_strike,Tyrone Taylor strikes out swinging.,2024,Sweeper
FF,677161,621438,No event,ball,Tyrone Taylor strikes out swinging.,2024,4-Seam Fastball
ST,677161,621438,No event,ball,Tyrone Taylor strikes out swinging.,2024,Sweeper
ST,677161,621438,No event,swinging_strike,Tyrone Taylor strikes out swinging.,2024,Sweeper
ST,677161,621438,No event,called_strike,Tyrone Taylor strikes out swinging.,2024,Sweeper
FC,677161,621438,No event,ball,Tyrone Taylor strikes out swinging.,2024,Cutter
FF,677161,608385,field_out,hit_into_play,"Jesse Winker grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",2024,4-Seam Fastball
CH,677161,608385,No event,ball,"Jesse Winker grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",2024,Changeup
FC,677161,608385,No event,foul,"Jesse Winker grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",2024,Cutter
FC,677161,608385,No event,ball,"Jesse Winker grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",2024,Cutter
ST,677161,624413,field_out,hit_into_play,"Pete Alonso grounds out, third baseman Rafael Devers to first baseman Triston Casas.",2024,Sweeper
FF,677161,624413,No event,ball,"Pete Alonso grounds out, third baseman Rafael Devers to first baseman Triston Casas.",2024,4-Seam Fastball
ST,677161,624413,No event,called_strike,"Pete Alonso grounds out, third baseman Rafael Devers to first baseman Triston Casas.",2024,Sweeper
CH,677161,663837,field_out,hit_into_play,Matt Vierling lines out to center fielder Jarren Duran.,2024,Changeup
CH,677161,663837,No event,ball,Matt Vierling lines out to center fielder Jarren Duran.,2024,Changeup
ST,677161,663837,No event,foul,Matt Vierling lines out to center fielder Jarren Duran.,2024,Sweeper
FC,677161,663837,No event,foul,Matt Vierling lines out to center fielder Jarren Duran.,2024,Cutter
FF,677161,663837,No event,called_strike,Matt Vierling lines out to center fielder Jarren Duran.,2024,4-Seam Fastball
FC,677161,682985,home_run,hit_into_play,Riley Greene homers (20) on a fly ball to right field.    Parker Meadows scores.,2024,Cutter
FF,677161,678009,single,hit_into_play,Parker Meadows singles on a line drive to center fielder Jarren Duran.,2024,4-Seam Fastball
CH,677161,678009,No event,swinging_strike,Parker Meadows singles on a line drive to center fielder Jarren Duran.,2024,Changeup
CH,677161,678009,No event,ball,Parker Meadows singles on a line drive to center fielder Jarren Duran.,2024,Changeup
FC,677161,678009,No event,swinging_strike,Parker Meadows singles on a line drive to center fielder Jarren Duran.,2024,Cutter
ST,677161,693307,strikeout,swinging_strike,Dillon Dingler strikes out swinging.,2024,Sweeper
ST,677161,693307,No event,swinging_strike,Dillon Dingler strikes out swinging.,2024,Sweeper
ST,677161,693307,No event,ball,Dillon Dingler strikes out swinging.,2024,Sweeper
FC,677161,693307,No event,foul_tip,Dillon Dingler strikes out swinging.,2024,Cutter
FC,677161,694388,field_out,hit_into_play,"Joey Loperfido grounds out sharply, first baseman Triston Casas to pitcher Zack Kelly.",2024,Cutter
ST,677161,694388,No event,ball,"Joey Loperfido grounds out sharply, first baseman Triston Casas to pitcher Zack Kelly.",2024,Sweeper
FF,677161,543807,walk,ball,George Springer walks.   Leo Jiménez to 2nd.,2024,4-Seam Fastball
FF,677161,543807,No event,foul,George Springer walks.   Leo Jiménez to 2nd.,2024,4-Seam Fastball
FF,677161,543807,No event,foul,George Springer walks.   Leo Jiménez to 2nd.,2024,4-Seam Fastball
FF,677161,543807,No event,ball,George Springer walks.   Leo Jiménez to 2nd.,2024,4-Seam Fastball
FC,677161,543807,No event,swinging_strike,George Springer walks.   Leo Jiménez to 2nd.,2024,Cutter
FF,677161,543807,No event,called_strike,George Springer walks.   Leo Jiménez to 2nd.,2024,4-Seam Fastball
FC,677161,543807,No event,ball,George Springer walks.   Leo Jiménez to 2nd.,2024,Cutter
ST,677161,543807,No event,ball,George Springer walks.   Leo Jiménez to 2nd.,2024,Sweeper
FC,677161,672642,strikeout,called_strike,Steward Berroa called out on strikes.,2024,Cutter
CH,677161,672642,No event,called_strike,Steward Berroa called out on strikes.,2024,Changeup
